Director,Instances,Total_Box_Office,Total_Production_Budget,Total_Metascore,Total_IMDB_Rating,Average_Box_Office,Average_IMDB_Rating,Success_Metric
Robert Lorenz,2,51329230.0,83000000,102.0,12.5,25664615.0,6.25,6.7632923
Joel Coen,13,529018362.0,321500000,978.0,94.69999999999999,40693720.15384615,7.284615384615384,8.098489787692307
Ethan Coen,13,529018362.0,321500000,978.0,94.69999999999999,40693720.15384615,7.284615384615384,8.098489787692307
Harold Becker,5,192949154.0,186000000,243.0,31.4,38589830.8,6.279999999999999,7.051796615999999
Hans Petter Moland,2,32203952.0,66500000,135.0,13.3,16101976.0,6.65,6.97203952
Harald Zwart,2,79103751.0,85000000,74.0,10.899999999999999,39551875.5,5.449999999999999,6.241037509999999
Scott Stewart,3,86723747.0,89500000,123.0,17.3,28907915.666666668,5.766666666666667,6.34482498
Patrick Gilmore,1,26483452.0,60000000,48.0,6.7,26483452.0,6.7,7.22966904
Walter Salles,2,26217648.0,85000000,108.0,11.6,13108824.0,5.8,6.06217648
Rod Lurie,4,39434427.0,82800000,207.0,26.9,9858606.75,6.725,6.922172134999999
Iain Softley,3,115549624.0,148000000,145.0,20.0,38516541.333333336,6.666666666666667,7.436997493333334
Francis Ford Coppola,14,nan,390100000,nan,98.2,nan,7.014285714285714,nan
Tony Bill,1,13090630.0,60000000,47.0,6.5,13090630.0,6.5,6.7618126
Akiva Goldsman,1,12600231.0,60000000,31.0,6.1,12600231.0,6.1,6.35200462
Stephen Herek,8,nan,244000000,nan,49.1,nan,6.1375,nan
John Dahl,4,57484068.0,99000000,241.0,26.9,14371017.0,6.725,7.012420339999999
David Koepp,5,110505018.0,167000000,278.0,32.1,22101003.6,6.42,6.862020072
Uwe Boll,4,22609364.0,112000000,57.0,11.299999999999999,5652341.0,2.8249999999999997,2.93804682
Tomasz Baginski,1,1090155.0,60000000,35.0,4.4,1090155.0,4.4,4.4218031
Andrea Di Stefano,2,496252.0,77000000,117.0,13.1,248126.0,6.55,6.55496252
Craig Brewer,3,nan,77800000,172.0,19.5,nan,6.5,nan
Joe Cornish,2,17814965.0,72000000,141.0,12.8,8907482.5,6.4,6.57814965
Peter MacDonald,1,53715611.0,58000000,36.0,5.8,53715611.0,5.8,6.87431222
Billy Wilder,5,nan,69133848,nan,39.3,nan,7.859999999999999,nan
Anthony Hemingway,1,49876377.0,58000000,46.0,5.9,49876377.0,5.9,6.8975275400000005
Mark Neveldine,4,101932080.0,132000000,156.0,21.6,25483020.0,5.4,5.9096604
Brian Taylor,3,100147317.0,119000000,118.0,16.9,33382439.0,5.633333333333333,6.300982113333333
John Madden,8,nan,167300000,494.0,54.300000000000004,nan,6.7875000000000005,nan
Kevin Bray,2,72354036.0,70000000,78.0,12.1,36177018.0,6.05,6.77354036
Gabriele Muccino,5,259952813.0,185700000,207.0,33.4,51990562.6,6.68,7.7198112519999995
Mike Gabriel,1,141579773.0,55000000,58.0,6.7,141579773.0,6.7,9.53159546
James Foley,5,253130370.0,147500000,261.0,29.5,50626074.0,5.9,6.9125214800000006
Sam Weisman,4,188815882.0,142000000,159.0,21.9,47203970.5,5.475,6.419079409999999
Jesse Dylan,2,135743854.0,67000000,72.0,12.5,67871927.0,6.25,7.60743854
Wayne Wang,5,185076834.0,144000000,252.0,30.4,37015366.8,6.08,6.820307336
Andrey Konchalovskiy,1,63408614.0,55000000,41.0,6.4,63408614.0,6.4,7.66817228
Albert Magnoli,2,68254338.0,62000000,nan,11.2,34127169.0,5.6,6.28254338
Paul Bernard,1,nan,55000000,nan,6.7,nan,6.7,nan
Alan Parker,4,104247718.0,148000000,188.0,27.700000000000003,26061929.5,6.925000000000001,7.446238590000001
Simon McQuoid,2,84652062.0,75000000,88.0,12.0,42326031.0,6.0,6.84652062
John Frankenheimer,5,nan,148800000,262.0,30.8,nan,6.16,nan
Steve Antin,1,39440655.0,55000000,47.0,6.4,39440655.0,6.4,7.188813100000001
Akiva Schaffer,3,58930457.0,100000000,147.0,19.1,19643485.666666668,6.366666666666667,6.75953638
Kent Alterman,1,33479698.0,55000000,47.0,5.8,33479698.0,5.8,6.46959396
Alex Garland,2,58175259.0,68000000,157.0,14.5,29087629.5,7.25,7.83175259
Peter Lord,2,137885690.0,97000000,161.0,13.8,68942845.0,6.9,8.278856900000001
Jeff Newitt,1,31051126.0,55000000,73.0,6.7,31051126.0,6.7,7.3210225200000005
Shekhar Kapur,3,64772374.0,115000000,169.0,20.700000000000003,21590791.333333332,6.900000000000001,7.331815826666668
Ron Maxwell,2,23652894.0,80000000,nan,13.8,11826447.0,6.9,7.136528940000001
Robert Butler,1,11538235.0,55000000,nan,4.9,11538235.0,4.9,5.1307647
Julien Lecat,2,nan,66400000,nan,nan,nan,nan,nan
Curtis Hanson,7,260585588.0,238000000,450.0,47.0,37226512.571428575,6.714285714285714,7.458815965714286
Jim Gillespie,2,72665295.0,72000000,nan,11.1,36332647.5,5.55,6.27665295
Richard Lester,5,nan,100560000,nan,32.6,nan,6.5200000000000005,nan
Masami Ôbari,1,nan,54000000,nan,6.6,nan,6.6,nan
Jay Chandrasekhar,5,153566877.0,93700000,213.0,29.9,30713375.4,5.9799999999999995,6.594267508
Scott Cooper,4,143189947.0,133500000,279.0,28.0,35797486.75,7.0,7.715949735
Eli Roth,8,220927360.0,139800000,413.0,47.099999999999994,27615920.0,5.887499999999999,6.439818399999999
Phyllida Lloyd,2,174187656.0,66000000,103.0,12.9,87093828.0,6.45,8.19187656
David Dobkin,5,355745232.0,200000000,255.0,33.5,71149046.4,6.7,8.122980928
Terrence Malick,4,65862652.0,120000000,325.0,28.9,16465663.0,7.225,7.55431326
Milos Forman,3,195561734.0,74400000,229.0,24.5,65187244.666666664,8.166666666666666,9.470411559999999
Pierre Morel,4,215161888.0,142000000,161.0,26.5,53790472.0,6.625,7.7008094400000004
Paul Hunter,1,23358708.0,52000000,40.0,5.4,23358708.0,5.4,5.86717416
John Whitesell,5,210964632.0,154000000,151.0,24.7,42192926.4,4.9399999999999995,5.783858528
Aaron Schneider,2,nan,57300000,141.0,14.0,nan,7.0,nan
George Nolfi,3,nan,92200000,154.0,20.0,nan,6.666666666666667,nan
Will Gluck,4,269959359.0,138000000,229.0,26.3,67489839.75,6.575,7.924796795000001
Spike Lee,18,nan,276325000,1205.0,120.69999999999997,nan,6.705555555555554,nan
Tony Leondis,2,105618115.0,72000000,52.0,9.3,52809057.5,4.65,5.706181150000001
Brian Helgeland,6,244562326.0,207000000,295.0,40.4,40760387.666666664,6.733333333333333,7.548541086666667
Frank Marshall,4,252576755.0,153000000,209.0,26.2,63144188.75,6.55,7.8128837749999995
Hideo Nakata,1,76231249.0,50000000,44.0,5.4,76231249.0,5.4,6.924624980000001
Bennett Miller,3,116452322.0,81000000,256.0,21.9,38817440.666666664,7.3,8.076348813333333
Joe Roth,2,167388212.0,96000000,66.0,11.100000000000001,83694106.0,5.550000000000001,7.223882120000001
James McTeigue,5,nan,152000000,210.0,32.0,nan,6.4,nan
Andy Fickman,6,365569468.0,180000000,218.0,34.6,60928244.666666664,5.766666666666667,6.98523156
Angela Robinson,2,66121262.0,53500000,89.0,10.3,33060631.0,5.15,5.81121262
Matthew O'Callaghan,1,58360760.0,50000000,62.0,6.5,58360760.0,6.5,7.6672152
Jon Hurwitz,2,95120249.0,62000000,106.0,13.2,47560124.5,6.6,7.55120249
Hayden Schlossberg,2,95120249.0,62000000,106.0,13.2,47560124.5,6.6,7.55120249
Tommy Wirkola,2,105760880.0,70000000,78.0,12.8,52880440.0,6.4,7.4576088
Adrian Lyne,3,302342661.0,71000000,169.0,19.8,100780887.0,6.6000000000000005,8.615617740000001
Alexander Witt,1,51201453.0,50000000,35.0,6.1,51201453.0,6.1,7.12402906
Jorge R. Gutiérrez,1,50151543.0,50000000,67.0,7.2,50151543.0,7.2,8.20303086
Richard Loncraine,4,69855908.0,101200000,243.0,26.099999999999998,17463977.0,6.5249999999999995,6.87427954
Steven Quale,2,90203602.0,90000000,94.0,11.7,45101801.0,5.85,6.752036019999999
Christophe Gans,1,46982632.0,50000000,31.0,6.5,46982632.0,6.5,7.43965264
Raaghav Vinay Shivagange,1,nan,50000000,nan,6.7,nan,6.7,nan
Adrian Grunberg,1,44819352.0,50000000,26.0,6.1,44819352.0,6.1,6.99638704
Howard Deutch,3,80284780.0,100000000,88.0,17.9,26761593.333333332,5.966666666666666,6.501898533333333
John Landis,5,nan,90600000,260.0,33.6,nan,6.720000000000001,nan
Chuck Jones,1,41482207.0,50000000,69.0,6.4,41482207.0,6.4,7.22964414
Carl Franklin,3,105878602.0,122000000,174.0,19.8,35292867.333333336,6.6000000000000005,7.305857346666667
Beeban Kidron,1,40226215.0,50000000,44.0,6.0,40226215.0,6.0,6.8045243
Danny Boyle,10,289498081.0,198050000,700.0,73.10000000000001,28949808.1,7.3100000000000005,7.888996162000001
Steven Seagal,1,38590458.0,50000000,33.0,4.6,38590458.0,4.6,5.37180916
Troy Miller,2,60839021.0,80000000,59.0,8.8,30419510.5,4.4,5.00839021
Andrew Bergman,2,36072208.0,86000000,71.0,9.8,18036104.0,4.9,5.260722080000001
Barbet Schroeder,2,46888171.0,90000000,122.0,12.0,23444085.5,6.0,6.46888171
Peter Webber,2,39341957.0,62000000,107.0,13.0,19670978.5,6.5,6.89341957
Bong Joon Ho,2,6765573.0,90000000,169.0,14.2,3382786.5,7.1,7.16765573
John Carpenter,12,313505048.0,227425000,756.0,84.2,26125420.666666668,7.016666666666667,7.53917508
Philip Kaufman,3,53456032.0,90500000,187.0,20.3,17818677.333333332,6.766666666666667,7.123040213333333
Wes Anderson,7,219866410.0,180000000,546.0,53.1,31409487.14285714,7.585714285714286,8.213904028571429
David Gordon Green,13,364256012.0,239542000,nan,79.5,28019693.230769232,6.115384615384615,6.67577848
Jim Sheridan,4,109376006.0,129000000,196.0,25.6,27344001.5,6.4,6.94688003
Richard LaGravenese,5,122815858.0,115000000,279.0,33.0,24563171.6,6.6,7.091263432
John Stockwell,5,nan,103200000,nan,29.799999999999997,nan,5.959999999999999,nan
David Cronenberg,7,81861592.0,148652000,521.0,49.400000000000006,11694513.142857144,7.057142857142858,7.291033120000001
Patrick Read Johnson,2,32196975.0,53000000,nan,11.5,16098487.5,5.75,6.07196975
Reinaldo Marcus Green,1,15129285.0,50000000,76.0,7.5,15129285.0,7.5,7.8025857
Patrick Lussier,4,nan,102000000,nan,21.400000000000002,nan,5.3500000000000005,nan
Costa-Gavras,1,10541523.0,50000000,45.0,6.3,10541523.0,6.3,6.51083046
Roland Joffé,3,46152032.0,102000000,nan,18.8,15384010.666666666,6.266666666666667,6.57434688
Danny DeVito,4,75792748.0,150000000,210.0,25.799999999999997,18948187.0,6.449999999999999,6.828963739999999
Nick Park,3,171213005.0,122000000,243.0,20.7,57071001.666666664,6.8999999999999995,8.041420033333333
Richard Curtis,3,83036982.0,107000000,168.0,22.7,27678994.0,7.566666666666666,8.120246546666667
George Armitage,2,34573833.0,65000000,118.0,12.2,17286916.5,6.1,6.445738329999999
Aaron Woodley,1,5801249.0,50000000,28.0,4.8,5801249.0,4.8,4.9160249799999995
Reed Morano,1,5437971.0,50000000,45.0,5.4,5437971.0,5.4,5.5087594200000005
Howard McCain,1,166003.0,50000000,40.0,6.2,166003.0,6.2,6.20332006
Juan Solanas,1,105095.0,50000000,45.0,6.3,105095.0,6.3,6.3021019
Dibakar Banerjee,1,nan,50000000,nan,7.3,nan,7.3,nan
James Wong,4,160697729.0,127000000,147.0,20.9,40174432.25,5.225,6.0284886449999995
Olivier Megaton,4,297491627.0,173000000,167.0,24.700000000000003,74372906.75,6.175000000000001,7.6624581350000005
Brad Furman,3,92762654.0,117500000,165.0,19.9,30920884.666666668,6.633333333333333,7.251751026666666
Warren Beatty,4,252289848.0,125500000,291.0,27.200000000000003,63072462.0,6.800000000000001,8.06144924
Alastair Fothergill,1,32011576.0,47000000,72.0,7.9,32011576.0,7.9,8.54023152
Mark Linfield,1,32011576.0,47000000,72.0,7.9,32011576.0,7.9,8.54023152
Penny Marshall,5,329355544.0,174000000,303.0,35.1,65871108.8,7.0200000000000005,8.337422176
Paul Bolger,1,15589393.0,47000000,28.0,4.5,15589393.0,4.5,4.81178786
Yvette Kaplan,1,15589393.0,47000000,28.0,4.5,15589393.0,4.5,4.81178786
Greg Tiernan,2,113275079.0,66000000,94.0,10.6,56637539.5,5.3,6.43275079
Andrei Tarkovsky,1,22168.0,47000000,93.0,8.0,22168.0,8.0,8.00044336
Stephen Frears,11,248187113.0,214600000,796.0,77.3,22562464.818181816,7.027272727272727,7.478522023636364
Jaco Van Dormael,1,3622.0,46500000,63.0,7.7,3622.0,7.7,7.7000724400000005
P.J. Hogan,1,127120029.0,46000000,50.0,6.3,127120029.0,6.3,8.84240058
Aaron Blaise,1,85336277.0,46000000,48.0,6.8,85336277.0,6.8,8.50672554
Robert Walker,1,85336277.0,46000000,48.0,6.8,85336277.0,6.8,8.50672554
Josh Greenbaum,1,23988885.0,46000000,nan,6.3,23988885.0,6.3,6.7797776999999995
Terence Young,4,109660444.0,58000000,nan,24.2,27415111.0,6.05,6.59830222
David Zucker,7,425677370.0,165500000,278.0,37.4,60811052.85714286,5.3428571428571425,6.5590782
Trish Sie,1,104897530.0,45000000,40.0,5.8,104897530.0,5.8,7.8979506
Tate Taylor,4,321702275.0,105000000,234.0,27.1,80425568.75,6.775,8.383511375000001
Thomas Carter,3,188449846.0,73000000,151.0,20.099999999999998,62816615.333333336,6.699999999999999,7.956332306666666
Roger Michell,4,217267369.0,133000000,276.0,27.299999999999997,54316842.25,6.824999999999999,7.911336844999999
Luis Llosa,2,123248349.0,90000000,nan,10.5,61624174.5,5.25,6.48248349
Marielle Heller,3,71984922.0,57000000,254.0,21.1,23994974.0,7.033333333333334,7.513232813333334
Melville Shavelson,1,nan,45000000,nan,7.1,nan,7.1,nan
Noah Baumbach,5,nan,77500000,410.0,35.6,nan,7.12,nan
Russell Mulcahy,5,nan,126000000,nan,30.400000000000002,nan,6.08,nan
Gene Stupnitsky,2,133592588.0,65000000,nan,13.100000000000001,66796294.0,6.550000000000001,7.88592588
Joel Zwick,2,289554530.0,50000000,101.0,11.0,144777265.0,5.5,8.3955453
Benny Boom,2,54949349.0,48000000,84.0,11.600000000000001,27474674.5,5.800000000000001,6.34949349
Scott Beck,1,32062904.0,45000000,40.0,5.4,32062904.0,5.4,6.04125808
Bryan Woods,1,32062904.0,45000000,40.0,5.4,32062904.0,5.4,6.04125808
David R. Ellis,4,179463348.0,144000000,186.0,23.3,44865837.0,5.825,6.72231674
Mike Flanagan,5,nan,60070000,nan,32.4,nan,6.4799999999999995,nan
John A. Davis,2,109078767.0,70000000,124.0,11.899999999999999,54539383.5,5.949999999999999,7.040787669999999
Peter Howitt,4,69123259.0,113000000,179.0,24.8,17280814.75,6.2,6.545616295
John Schultz,4,107322358.0,110000000,162.0,20.0,26830589.5,5.0,5.53661179
Julie Taymor,3,50765234.0,77000000,160.0,19.9,16921744.666666668,6.633333333333333,6.971768226666666
Mathieu Kassovitz,2,82227152.0,85000000,64.0,11.3,41113576.0,5.65,6.4722715200000005
James Whale,2,nan,49000000,nan,15.1,nan,7.55,nan
John Gray,1,20351264.0,45000000,33.0,5.4,20351264.0,5.4,5.80702528
Sean Penn,2,38087445.0,65000000,144.0,14.899999999999999,19043722.5,7.449999999999999,7.83087445
Chris Bailey,1,17811382.0,45000000,45.0,5.7,17811382.0,5.7,6.05622764
Mark Koetsier,1,17811382.0,45000000,45.0,5.7,17811382.0,5.7,6.05622764
Simon Wincer,5,149516645.0,133000000,256.0,28.799999999999997,29903329.0,5.76,6.35806658
Billy Bob Thornton,2,39984474.0,49833610,139.0,13.8,19992237.0,6.9,7.29984474
Danny Pang,2,50672966.0,61000000,58.0,10.6,25336483.0,5.3,5.80672966
Oxide Chun Pang,2,50672966.0,61000000,58.0,10.6,25336483.0,5.3,5.80672966
André Øvredal,2,82584255.0,73000000,nan,12.3,41292127.5,6.15,6.97584255
Pete Travis,2,85681020.0,85000000,100.0,13.7,42840510.0,6.85,7.7068102
Bruce Robinson,1,13109815.0,45000000,56.0,6.1,13109815.0,6.1,6.3621963
Dave Wilson,1,12561824.0,45000000,44.0,5.7,12561824.0,5.7,5.95123648
David L. Cunningham,1,8794452.0,45000000,38.0,4.7,8794452.0,4.7,4.875889040000001
Oliver Parker,5,nan,93100000,nan,32.5,nan,6.5,nan
T. Hee,3,252762501.0,60489247,297.0,22.5,84254167.0,7.5,9.18508334
George P. Cosmatos,4,258275184.0,139000000,nan,25.0,64568796.0,6.25,7.54137592
Lawrence Kasanoff,1,nan,45000000,nan,1.3,nan,1.3,nan
Burr Steers,4,111045213.0,121000000,202.0,25.5,27761303.25,6.375,6.930226065
Brian Gibson,2,61855681.0,59000000,nan,13.0,30927840.5,6.5,7.11855681
Evan Goldberg,2,107575377.0,76000000,119.0,13.1,53787688.5,6.55,7.625753769999999
Seth Rogen,2,107575377.0,76000000,119.0,13.1,53787688.5,6.55,7.625753769999999
Michael Cimino,2,52463659.0,59000000,143.0,14.8,26231829.5,7.4,7.92463659
Paul Feig,5,434043473.0,150500000,295.0,32.0,86808694.6,6.4,8.136173892
Gus Van Sant,10,397481534.0,144500000,674.0,71.6,39748153.4,7.159999999999999,7.954963068
Roger Kumble,3,81122414.0,89000000,111.0,15.899999999999999,27040804.666666668,5.3,5.840816093333333
Fede Alvarez,2,69081194.0,60000000,100.0,12.6,34540597.0,6.3,6.9908119399999995
John Hamburg,4,219906685.0,121000000,nan,25.0,54976671.25,6.25,7.349533425
Reginald Hudlin,4,110650898.0,94000000,151.0,23.4,27662724.5,5.85,6.40325449
Joseph L. Mankiewicz,1,57777778.0,42000000,60.0,7.0,57777778.0,7.0,8.15555556
Jonathan Levine,7,nan,151750000,407.0,44.7,nan,6.385714285714286,nan
Barbra Streisand,3,156090362.0,84000000,nan,20.0,52030120.666666664,6.666666666666667,7.7072690800000005
Catherine Hardwicke,8,494101403.0,178000000,nan,47.7,61762675.375,5.9625,7.1977535075
Mark Pellington,2,60502547.0,63500000,117.0,13.600000000000001,30251273.5,6.800000000000001,7.405025470000001
John Glen,5,258887293.0,167500000,274.0,32.8,51777458.6,6.56,7.595549172
Etan Cohen,2,120985079.0,82000000,58.0,9.9,60492539.5,4.95,6.15985079
Julie Anne Robinson,2,89364911.0,62000000,55.0,11.3,44682455.5,5.65,6.5436491100000005
John Herzfeld,2,nan,47000000,55.0,11.0,nan,5.5,nan
Andrew Niccol,3,74202504.0,113000000,179.0,22.0,24734168.0,7.333333333333333,7.828016693333333
Annabel Jankel,1,20915465.0,42000000,35.0,4.1,20915465.0,4.1,4.518309299999999
Rocky Morton,1,20915465.0,42000000,35.0,4.1,20915465.0,4.1,4.518309299999999
Asger Leth,1,18620000.0,42000000,40.0,6.6,18620000.0,6.6,6.9723999999999995
Sngmoo Lee,1,5666340.0,42000000,45.0,6.2,5666340.0,6.2,6.3133268000000005
Bryan Spicer,1,4529843.0,42000000,18.0,4.5,4529843.0,4.5,4.59059686
Dexter Fletcher,2,112157549.0,64000000,123.0,14.6,56078774.5,7.3,8.42157549
Gordon Chan,1,22219192.0,41000000,38.0,5.2,22219192.0,5.2,5.64438384
Sean McNamara,4,59643279.0,74500000,167.0,25.2,14910819.75,6.3,6.598216395
John G. Avildsen,3,299389699.0,49000000,190.0,22.7,99796566.33333333,7.566666666666666,9.562597993333332
Sam Taylor-Johnson,2,167624478.0,41900000,113.0,11.3,83812239.0,5.65,7.326244780000001
Rian Johnson,4,237456938.0,90450000,293.0,29.2,59364234.5,7.3,8.48728469
Anne Fletcher,7,nan,210000000,333.0,42.7,nan,6.1000000000000005,nan
Bruce Beresford,4,228838404.0,73500000,213.0,28.7,57209601.0,7.175,8.31919202
Ken Kwapis,5,226468113.0,148000000,250.0,31.0,45293622.6,6.2,7.105872452
Wes Craven,11,597715122.0,279800000,607.0,68.5,54337738.36363637,6.2272727272727275,7.314027494545455
Gavin O'Connor,6,182900015.0,148312000,359.0,42.0,30483335.833333332,7.0,7.609666716666666
Nick Cassavetes,4,286285499.0,133500000,173.0,28.2,71571374.75,7.05,8.481427495
Ric Roman Waugh,5,nan,98850000,263.0,31.300000000000004,nan,6.260000000000001,nan
Michael Chaves,2,120364789.0,49000000,94.0,11.5,60182394.5,5.75,6.95364789
Masayuki Suô,1,9499091.0,40000000,68.0,7.7,9499091.0,7.7,7.88998182
Ericson Core,1,57806952.0,40000000,63.0,7.0,57806952.0,7.0,8.15613904
Cal Brunker,4,176678938.0,136000000,nan,23.4,44169734.5,5.85,6.73339469
Mark A.Z. Dippé,1,54870175.0,40000000,34.0,5.2,54870175.0,5.2,6.2974035
Alejandro Agresti,1,52330111.0,40000000,52.0,6.8,52330111.0,6.8,7.846602219999999
Nimród Antal,3,71409531.0,78000000,162.0,19.200000000000003,23803177.0,6.400000000000001,6.876063540000001
Peter Hedges,3,58086723.0,53300000,183.0,20.3,19362241.0,6.766666666666667,7.153911486666667
Paul Weiland,1,46012734.0,40000000,37.0,5.8,46012734.0,5.8,6.72025468
Steve McQueen,4,nan,71500000,326.0,nan,nan,nan,nan
Colin Strause,2,63190686.0,50000000,55.0,9.1,31595343.0,4.55,5.18190686
Greg Strause,2,63190686.0,50000000,55.0,9.1,31595343.0,4.55,5.18190686
Antonia King,1,nan,40000000,nan,6.6,nan,6.6,nan
Joan Chen,1,37761915.0,40000000,24.0,5.6,37761915.0,5.6,6.3552383
Greg Mottola,4,189824622.0,107300000,243.0,27.2,47456155.5,6.8,7.74912311
Diane Keaton,1,36050230.0,40000000,33.0,4.8,36050230.0,4.8,5.5210045999999995
Kelly Makin,1,33864342.0,40000000,49.0,5.9,33864342.0,5.9,6.57728684
Carl Gottlieb,1,33864342.0,40000000,49.0,5.9,33864342.0,5.9,6.57728684
Susanna Fogel,1,33562069.0,40000000,52.0,6.0,33562069.0,6.0,6.67124138
Jason Winer,1,33035397.0,40000000,36.0,5.7,33035397.0,5.7,6.36070794
Christian Duguay,2,35050858.0,80000000,47.0,10.100000000000001,17525429.0,5.050000000000001,5.40050858
Richard Stanley,1,27663982.0,40000000,37.0,4.5,27663982.0,4.5,5.0532796399999995
Justin Chadwick,3,37593677.0,100000000,148.0,20.0,12531225.666666666,6.666666666666667,6.91729118
Andrew Jay Cohen,1,25584504.0,40000000,30.0,5.6,25584504.0,5.6,6.11169008
Pat O'Connor,1,25288103.0,40000000,27.0,6.7,25288103.0,6.7,7.2057620600000005
Frederik Du Chau,2,72283320.0,70000000,93.0,11.4,36141660.0,5.7,6.4228332
Irwin Winkler,4,102217001.0,95000000,189.0,26.1,25554250.25,6.525,7.036085005
Dennis Gansel,1,21218403.0,40000000,38.0,5.7,21218403.0,5.7,6.12436806
Joseph Kahn,2,nan,50000000,86.0,9.7,nan,4.85,nan
Brian Henson,2,48087959.0,52000000,91.0,13.2,24043979.5,6.6,7.0808795899999994
Paul Thomas Anderson,9,170166075.0,237500000,759.0,66.69999999999999,18907341.666666668,7.41111111111111,7.789257944444443
Sofia Coppola,5,77949793.0,67000000,377.0,34.0,15589958.6,6.8,7.111799172
Donovan Marsh,1,15767460.0,40000000,43.0,6.6,15767460.0,6.6,6.9153492
Stephen Kay,3,61765926.0,64000000,nan,14.8,20588642.0,4.933333333333334,5.345106173333334
Elaine May,1,14375181.0,40000000,52.0,4.6,14375181.0,4.6,4.8875036199999995
Mira Nair,7,70098352.0,113700000,nan,47.0,10014050.285714285,6.714285714285714,6.91456672
Dennie Gordon,3,77264569.0,81000000,94.0,16.7,25754856.333333332,5.566666666666666,6.081763793333333
Ulu Grosbard,1,13898649.0,40000000,45.0,6.3,13898649.0,6.3,6.57797298
Charles Shyer,1,13399812.0,40000000,49.0,6.2,13399812.0,6.2,6.46799624
William Malone,3,nan,62000000,nan,13.4,nan,4.466666666666667,nan
Christian Alvart,2,23592704.0,67000000,53.0,12.9,11796352.0,6.45,6.68592704
Jerry Jameson,2,nan,42000000,nan,10.5,nan,5.25,nan
S.S. Rajamouli,2,26924659.0,70000000,nan,16.2,13462329.5,8.1,8.36924659
Gary Fleder,5,97295119.0,141500000,223.0,33.1,19459023.8,6.62,7.009180476
Paul McGuigan,5,73340578.0,138500000,214.0,33.0,14668115.6,6.6,6.893362312
John Crowley,2,43655364.0,51000000,128.0,13.9,21827682.0,6.95,7.38655364
Jean-Marie Poiré,1,4781539.0,40000000,38.0,5.7,4781539.0,5.7,5.79563078
Marc F. Adler,1,694782.0,40000000,27.0,4.3,694782.0,4.3,4.31389564
Jason Maurer,1,694782.0,40000000,27.0,4.3,694782.0,4.3,4.31389564
Richard Shepard,3,14088078.0,57000000,174.0,19.6,4696026.0,6.533333333333334,6.627253853333334
Jeff Nathanson,1,464275.0,40000000,47.0,5.7,464275.0,5.7,5.7092855
Patrick Tam,1,nan,40000000,nan,6.8,nan,6.8,nan
Tong Kay Ming Terry,1,nan,40000000,nan,6.8,nan,6.8,nan
M.J. Bassett,1,nan,40000000,48.0,6.1,nan,6.1,nan
Amanda Boyle,1,nan,40000000,nan,6.4,nan,6.4,nan
Mario Van Peebles,3,nan,67300000,nan,15.1,nan,5.033333333333333,nan
Yuefeng Song,1,nan,40000000,nan,6.3,nan,6.3,nan
Sergio Pablos,1,nan,40000000,65.0,8.2,nan,8.2,nan
Carlos Martínez López,1,nan,40000000,65.0,8.2,nan,8.2,nan
Tom McCarthy,5,nan,69500000,388.0,36.4,nan,7.279999999999999,nan
Yuthlert Sippapak,1,nan,40000000,nan,4.7,nan,4.7,nan
Tiwa Moeithaisong,1,nan,40000000,nan,4.7,nan,4.7,nan
Jonathan Lynn,4,140657042.0,82000000,203.0,26.8,35164260.5,6.7,7.40328521
Michael Davis,1,12807139.0,39000000,49.0,6.6,12807139.0,6.6,6.85614278
Charles S. Dutton,1,5884190.0,39000000,36.0,5.3,5884190.0,5.3,5.4176838
David Carson,1,75671125.0,38000000,55.0,6.6,75671125.0,6.6,8.113422499999999
Greg Berlanti,3,95947607.0,49000000,162.0,20.9,31982535.666666668,6.966666666666666,7.606317379999999
Norman Jewison,5,nan,108000000,nan,35.0,nan,7.0,nan
David Mirkin,1,40336607.0,38000000,47.0,6.2,40336607.0,6.2,7.00673214
J Blakeson,2,35083767.0,39500000,98.0,11.9,17541883.5,5.95,6.30083767
Luis Mandoki,3,84127485.0,98000000,120.0,18.0,28042495.0,6.0,6.5608499
John Pasquin,2,168311003.0,60000000,99.0,12.0,84155501.5,6.0,7.68311003
Julius Avery,2,41714224.0,56000000,105.0,12.7,20857112.0,6.35,6.76714224
Andrea Berloff,1,12180032.0,38000000,35.0,5.6,12180032.0,5.6,5.84360064
Jeb Stuart,2,6602043.0,48000000,nan,12.9,3301021.5,6.45,6.51602043
Jacques Audiard,2,3404875.0,47000000,154.0,14.100000000000001,1702437.5,7.050000000000001,7.084048750000001
Steve Miner,4,63211015.0,73250000,133.0,23.299999999999997,15802753.75,5.824999999999999,6.141055075
David Leland,2,nan,46000000,nan,10.9,nan,5.45,nan
Kirk Jones,5,181987045.0,103500000,255.0,32.699999999999996,36397409.0,6.539999999999999,7.267948179999999
Gary Winick,4,171870998.0,97150000,202.0,24.5,42967749.5,6.125,6.98435499
Jennifer Flackett,1,48006762.0,37000000,55.0,6.0,48006762.0,6.0,6.96013524
Mark Levin,1,48006762.0,37000000,55.0,6.0,48006762.0,6.0,6.96013524
Christian Ditter,1,46843513.0,37000000,51.0,6.1,46843513.0,6.1,7.03687026
Kevin Smith,13,nan,161377000,664.0,82.7,nan,6.361538461538462,nan
Chad Ferrin,1,nan,37000000,nan,3.8,nan,3.8,nan
Bradley Cooper,1,215333122.0,36000000,88.0,7.6,215333122.0,7.6,11.90666244
