Director,Instances,Total_Box_Office,Total_Production_Budget,Total_Metascore,Total_IMDB_Rating,Average_Box_Office,Average_IMDB_Rating,Success_Metric
Björn Stein,1,62321039.0,70000000,39.0,6.3,62321039.0,6.3,7.54642078
Charlie Bean,1,59364177.0,70000000,55.0,6.0,59364177.0,6.0,7.18728354
Paul Fisher,1,59364177.0,70000000,55.0,6.0,59364177.0,6.0,7.18728354
Bob Logan,1,59364177.0,70000000,55.0,6.0,59364177.0,6.0,7.18728354
Gary Shore,1,56280355.0,70000000,40.0,6.2,56280355.0,6.2,7.3256071
Rob Reiner,14,588208356.0,419000000,nan,95.7,42014882.571428575,6.835714285714286,7.6760119371428575
Kerry Conran,1,37762677.0,70000000,64.0,6.1,37762677.0,6.1,6.85525354
Neil Jordan,9,253168720.0,264000000,nan,60.4,28129857.777777776,6.711111111111111,7.273708266666667
Andrzej Bartkowiak,5,179398880.0,203000000,178.0,26.400000000000002,35879776.0,5.28,5.99759552
Craig Gillespie,6,132231729.0,178500000,nan,41.9,22038621.5,6.983333333333333,7.424105763333333
Mikael Håfström,4,166193302.0,151500000,191.0,26.1,41548325.5,6.525,7.35596651
Gary McKendry,1,25124966.0,70000000,44.0,6.4,25124966.0,6.4,6.90249932
Mikael Salomon,1,19870567.0,70000000,36.0,5.9,19870567.0,5.9,6.29741134
Gregory Hoblit,3,92775754.0,136000000,148.0,19.9,30925251.333333332,6.633333333333333,7.25183836
Faryn Pearl,1,15753600.0,70000000,50.0,5.7,15753600.0,5.7,6.015072
Wych Kaosayananda,1,14307963.0,70000000,19.0,3.6,14307963.0,3.6,3.8861592600000003
Bobby Farrelly,10,628025976.0,441000000,521.0,61.50000000000001,62802597.6,6.15,7.406051952
Peter Farrelly,11,713106147.0,464000000,590.0,69.7,64827831.54545455,6.336363636363637,7.632920267272728
Daniel St. Pierre,1,8462347.0,70000000,25.0,5.0,8462347.0,5.0,5.16924694
Michael Caton-Jones,4,114947527.0,198000000,167.0,23.799999999999997,28736881.75,5.949999999999999,6.524737634999999
Alejandro Amenábar,3,97248605.0,107000000,161.0,20.299999999999997,32416201.666666668,6.766666666666666,7.414990699999999
Gina Prince-Bythewood,5,nan,153000000,349.0,34.8,nan,6.959999999999999,nan
David Ilundain,1,nan,70000000,nan,6.7,nan,6.7,nan
David Slade,3,341125391.0,98950000,169.0,18.7,113708463.66666667,6.233333333333333,8.507502606666666
Jordan Peele,3,474558325.0,93000000,243.0,21.4,158186108.33333334,7.133333333333333,10.297055499999999
Phil Alden Robinson,1,118907036.0,68000000,45.0,6.4,118907036.0,6.4,8.77814072
Seth MacFarlane,3,343431172.0,158000000,154.0,19.299999999999997,114477057.33333333,6.433333333333333,8.72287448
Joseph Ruben,2,102564622.0,118000000,nan,11.5,51282311.0,5.75,6.7756462200000005
Lawrence Kasdan,5,96309280.0,197700000,249.0,31.4,19261856.0,6.279999999999999,6.66523712
Kinka Usher,1,29762011.0,68000000,65.0,6.1,29762011.0,6.1,6.69524022
Alexander Payne,6,276110747.0,155500000,496.0,42.8,46018457.833333336,7.133333333333333,8.05370249
Lisa Joy,1,3900193.0,67972729,46.0,5.9,3900193.0,5.9,5.97800386
