,Writer_Avg_Rating,Director_Avg_Rating,Actor_Avg_Rating,runtimeMinutes,OMDB_Metascore,genres,OMDB_Rated,ReleaseMonth,averageRating,actual,predictions
5253,5.35,5.8,6.09,110.0,37.0,4,0,4.0,6.3,6.3,6.038999999999978
5254,6.93,6.93,7.3,107.0,78.0,3,3,7.0,7.3,7.3,7.28333333333332
5255,7.05,6.7,6.41,123.0,74.0,4,3,12.0,8.0,8.0,7.707666666666669
5256,5.6,5.85,5.82,92.0,34.0,2,3,11.0,5.6,5.6,5.550333333333315
5257,6.56,6.57,5.92,108.0,70.0,2,3,3.0,6.0,6.0,6.208666666666669
5258,6.67,6.64,6.02,95.0,63.0,10,3,4.0,6.7,6.7,6.634333333333353
5259,6.67,6.45,6.11,103.0,67.0,4,0,11.0,6.6,6.6,6.639999999999979
5260,5.8,7.3,7.1,104.0,57.0,3,3,9.0,7.3,7.3,7.0769999999999875
5261,4.2,5.94,5.79,89.0,34.0,6,0,1.0,4.2,4.2,4.5423333333333344
5262,6.3,6.0,5.44,97.0,32.0,6,0,8.0,5.3,5.3,5.417333333333313
5263,6.9,5.8,6.06,104.0,63.0,4,3,2.0,6.9,6.9,6.811000000000027
5264,6.3,6.3,6.13,91.0,66.0,2,0,8.0,7.0,7.0,6.735333333333329
5265,7.29,7.67,6.05,196.0,88.0,4,3,6.0,8.1,8.1,8.087333333333305
5266,5.4,5.78,5.75,125.0,71.0,4,0,3.0,5.6,5.6,5.812999999999978
5267,5.79,5.6,5.77,93.0,22.0,2,0,5.0,5.6,5.6,5.587666666666651
5268,7.4,7.3,7.3,78.0,77.0,4,3,6.0,7.3,7.3,7.313666666666656
5269,7.36,7.33,6.89,131.0,82.0,4,3,3.0,7.3,7.3,7.3793333333333155
5270,6.48,7.29,6.51,117.0,67.0,2,0,3.0,7.2,7.2,7.18833333333334
5271,7.16,6.99,6.74,98.0,89.0,4,2,9.0,7.3,7.3,7.290666666666652
5272,7.3,7.8,6.39,92.0,82.0,3,0,6.0,7.3,7.3,7.3829999999999885
5273,6.75,6.23,6.47,129.0,65.0,0,1,3.0,7.1,7.1,7.101666666666641
5274,6.26,6.7,5.68,107.0,62.0,4,2,3.0,6.7,6.7,6.649666666666664
5275,6.36,6.3,6.14,103.0,53.0,6,3,6.0,6.3,6.3,6.326666666666643
5276,6.2,6.85,6.03,87.0,78.0,2,3,10.0,6.2,6.2,6.290666666666686
5277,6.02,6.21,6.0,87.0,65.0,4,3,6.0,6.0,6.0,6.035666666666674
5278,7.0,6.94,6.73,98.0,67.0,3,3,7.0,6.7,6.7,6.808000000000016
5279,6.55,6.6,6.08,109.0,68.0,4,0,10.0,6.6,6.6,6.633999999999976
5280,7.23,7.1,6.8,72.0,62.0,3,3,6.0,6.8,6.8,6.886666666666647
5281,9.0,9.0,8.58,91.0,55.0,3,3,1.0,9.0,9.0,8.92433333333334
5282,6.58,6.6,6.8,110.0,64.0,2,0,6.0,6.9,6.9,6.903333333333357
5283,4.4,4.4,5.28,77.0,44.0,2,0,3.0,4.8,4.8,4.673666666666655
5284,5.98,5.8,5.97,102.0,81.0,2,0,12.0,6.4,6.4,6.384999999999991
5285,6.18,6.1,6.28,90.0,43.0,6,0,1.0,5.9,5.9,5.988000000000018
5286,6.44,6.8,5.95,96.0,46.0,2,3,6.0,7.0,7.0,6.767999999999998
5287,5.19,5.28,5.84,107.0,15.0,3,2,7.0,5.0,5.0,4.995666666666666
5288,6.31,6.22,6.21,99.0,58.0,2,0,9.0,6.4,6.4,6.409000000000022
5289,6.55,6.55,6.25,112.0,52.0,2,0,12.0,6.5,6.5,6.472666666666668
5290,5.9,5.93,6.17,87.0,69.0,2,0,5.0,5.9,5.9,5.980000000000015
5291,5.61,6.11,6.48,102.0,71.0,2,1,8.0,6.7,6.7,6.578666666666684
5292,6.85,6.69,6.13,138.0,66.0,10,3,7.0,6.2,6.2,6.499333333333353
5293,5.98,6.16,5.38,98.0,49.0,6,3,11.0,6.0,6.0,5.855333333333335
5294,6.81,6.87,6.41,115.0,79.0,6,0,2.0,6.8,6.8,7.173333333333339
5295,4.76,4.6,5.42,89.0,24.0,6,0,12.0,4.6,4.6,4.6229999999999905
5296,4.52,4.3,5.23,99.0,9.0,4,2,9.0,4.3,4.3,4.282333333333317
5297,7.43,7.43,6.89,46.0,75.0,3,1,4.0,7.3,7.3,7.414333333333316
5298,6.18,6.32,5.74,96.0,67.0,2,3,2.0,5.9,5.9,6.033666666666688
5299,5.72,5.6,5.96,98.0,22.0,2,0,2.0,5.5,5.5,5.558333333333334
5300,7.07,7.27,6.54,129.0,60.0,2,0,2.0,7.7,7.7,7.502333333333337
5301,7.5,7.58,6.35,140.0,92.0,4,0,2.0,7.6,7.6,7.653333333333308
5302,5.7,5.7,5.24,85.0,25.0,10,3,12.0,5.7,5.7,5.467333333333357
5303,5.89,6.0,5.79,88.0,37.0,4,1,9.0,5.8,5.8,5.7206666666666495
5304,6.27,6.06,6.2,116.0,58.0,0,0,10.0,6.4,6.4,6.410000000000024
5305,5.87,6.38,6.9,84.0,63.0,4,3,4.0,6.9,6.9,6.876333333333358
5306,2.1,4.9,6.15,110.0,1.0,4,3,6.0,2.1,2.1,2.3050000000000086
5307,5.75,5.95,5.97,115.0,68.0,4,3,7.0,6.1,6.1,6.121999999999986
5308,5.45,5.1,5.88,110.0,36.0,4,0,12.0,5.1,5.1,5.191999999999986
5309,6.04,5.45,5.86,84.0,54.0,6,0,8.0,5.8,5.8,5.892000000000002
5310,6.89,6.81,6.71,122.0,88.0,4,3,9.0,6.8,6.8,6.9309999999999805
5311,6.35,6.8,6.27,137.0,67.0,12,2,4.0,7.1,7.1,7.049666666666639
5312,6.48,6.56,6.1,100.0,69.0,10,3,8.0,6.1,6.1,6.31999999999998
5313,6.5,6.5,6.31,110.0,51.0,6,3,11.0,6.9,6.9,6.75666666666669
5314,6.34,6.83,5.99,90.0,48.0,2,1,2.0,5.9,5.9,6.084000000000018
5315,5.84,5.89,6.15,108.0,56.0,10,2,9.0,5.9,5.9,5.95433333333335
5316,5.2,5.2,5.51,97.0,33.0,4,2,12.0,5.2,5.2,5.239666666666683
5317,5.9,5.8,6.09,98.0,51.0,2,0,7.0,6.0,6.0,6.021999999999998
5318,5.82,5.47,5.98,95.0,14.0,4,3,9.0,4.9,4.9,5.135000000000014
5319,5.72,6.05,6.8,135.0,63.0,3,3,11.0,6.8,6.8,6.83199999999998
5320,6.7,6.32,6.41,154.0,47.0,0,3,4.0,6.8,6.8,6.798333333333318
5321,5.0,4.3,5.52,92.0,35.0,12,3,6.0,5.0,5.0,4.900999999999999
5322,4.8,4.62,4.87,86.0,17.0,2,0,4.0,4.7,4.7,4.603666666666682
5323,7.4,7.3,6.32,89.0,88.0,3,2,3.0,7.4,7.4,7.409666666666693
