Writer,Instances,Total_Box_Office,Total_Production_Budget,Total_Metascore,Total_IMDB_Rating
Wayne Powers,3,200160879.0,130000000.0,140.0,17.8
Geoff Rodkey,3,178655897.0,126000000.0,95.0,13.2
Philip LaZebnik,2,242992961.0,115000000.0,122.0,13.9
Nicholas Meyer,2,151495180.0,90000000.0,nan,13.4
Marc Lawrence,5,308859314.0,243000000.0,204.0,29.3
Todd Alcott,1,90757863.0,60000000.0,72.0,6.5
Paul Weitz,4,157625867.0,143000000.0,226.0,24.3
Jonathan Hales,1,91047077.0,60000000.0,45.0,5.5
William Osborne,2,202985465.0,75000000.0,98.0,11.6
William Blinn,1,88237754.0,60000000.0,55.0,6.1
Stevie Long,1,88237754.0,60000000.0,55.0,6.1
John O'Brien,4,235250256.0,142000000.0,206.0,24.5
Robert Towne,5,nan,135500000.0,367.0,36.0
Tom Cruise,1,82670733.0,60000000.0,60.0,6.1
Sam Harper,2,138698335.0,79000000.0,62.0,11.0
Frank B. Gilbreth Jr.,2,221185717.0,100000000.0,80.0,11.4
Ryan Murphy,3,99459235.0,81000000.0,150.0,17.5
Jennifer Salt,1,80574010.0,60000000.0,50.0,5.8
Elizabeth Gilbert,1,80574010.0,60000000.0,50.0,5.8
Lee Child,1,80070736.0,60000000.0,50.0,7.0
A.J. Quinnell,1,77911774.0,60000000.0,47.0,7.7
Nick Evans,1,75383563.0,60000000.0,65.0,6.7
Henry Selick,1,82435595.0,60000000.0,80.0,7.7
Lewis Colick,5,170592200.0,217000000.0,nan,31.9
Duncan Kennedy,2,nan,95000000.0,nan,11.100000000000001
Ol Parker,5,nan,88400000.0,nan,33.5
Daniel Pipski,1,68275985.0,60000000.0,50.0,6.1
Steve Bing,1,66934963.0,60000000.0,16.0,4.5
Barry O'Brien,1,66934963.0,60000000.0,16.0,4.5
Christian Gudegast,3,134207980.0,126000000.0,113.0,18.9
Jim Webb,1,61335230.0,60000000.0,45.0,6.4
Randy Kornfield,2,77914995.0,90000000.0,87.0,11.2
Peter Briggs,2,119247916.0,110000000.0,144.0,13.6
Michael Berk,1,58060186.0,60000000.0,37.0,5.5
Douglas Schwartz,2,101913610.0,78000000.0,90.0,12.5
Gregory J. Bonann,1,58060186.0,60000000.0,37.0,5.5
Roy Huggins,2,241043165.0,104000000.0,134.0,14.3
Jonathan Harr,1,56709981.0,60000000.0,68.0,6.6
Annie Mumolo,2,225557957.0,92500000.0,131.0,13.399999999999999
Chris Butler,2,104026139.0,115000000.0,156.0,14.7
Kenneth Ross,1,54930280.0,60000000.0,36.0,6.4
Joan Didion,1,51088705.0,60000000.0,nan,6.1
John Gregory Dunne,1,51088705.0,60000000.0,nan,6.1
Alanna Nash,1,51088705.0,60000000.0,nan,6.1
Kate DiCamillo,2,83524187.0,75000000.0,107.0,12.399999999999999
Will McRobb,3,328224226.0,128000000.0,126.0,16.4
Adam Pava,1,50837305.0,60000000.0,61.0,6.8
Alan Snow,1,50837305.0,60000000.0,61.0,6.8
Richard Hatem,2,85770453.0,102000000.0,104.0,11.9
J.F. Lawton,3,228911164.0,104000000.0,141.0,17.4
Stephen Hunter,1,47003582.0,60000000.0,53.0,7.1
Alice Hoffman,2,65330223.0,72000000.0,97.0,11.7
Paul Lieberman,1,46000903.0,60000000.0,40.0,6.7
Stacey Harman,1,45020282.0,60000000.0,40.0,6.0
Peyo,1,45020282.0,60000000.0,40.0,6.0
Josh Singer,3,171895779.0,130000000.0,260.0,22.6
James R. Hansen,1,44936545.0,60000000.0,84.0,7.3
Gene Stupnitsky,4,277222723.0,144000000.0,nan,23.6
Lee Eisenberg,3,226770441.0,99000000.0,nan,17.200000000000003
Andrew Bovell,2,60551745.0,75000000.0,128.0,13.3
Gregg Chabot,1,43061982.0,60000000.0,39.0,6.2
Kevin Peterka,1,43061982.0,60000000.0,39.0,6.2
Javier Abad,1,42194060.0,60000000.0,39.0,6.0
Jorge Blanco,1,42194060.0,60000000.0,39.0,6.0
Russell Gewirtz,2,128594905.0,110000000.0,112.0,13.6
John L. Greene,1,36850101.0,60000000.0,33.0,5.1
Sherri Stoner,2,137178295.0,115000000.0,82.0,11.2
Deanna Oliver,2,137178295.0,115000000.0,82.0,11.2
Gerald Petievich,1,36280697.0,60000000.0,49.0,6.1
Randy Brown,2,97468260.0,73000000.0,102.0,13.899999999999999
Robert Ramsey,4,74377032.0,195000000.0,202.0,24.5
Matthew Stone,3,54677326.0,145000000.0,167.0,19.1
John Romano,2,93336828.0,100000000.0,134.0,13.6
Douglas Preston,1,33956608.0,60000000.0,55.0,5.8
Lincoln Child,1,33956608.0,60000000.0,55.0,5.8
Amy Holden Jones,2,46749821.0,66000000.0,115.0,12.1
Ryne Douglas Pearson,2,112892923.0,110000000.0,78.0,12.3
Frank Baldwin,1,32138862.0,60000000.0,57.0,6.2
Kim Fupz Aakeson,1,32138862.0,60000000.0,57.0,6.2
Peter Tolan,6,317291695.0,240500000.0,263.0,36.6
Susannah Grant,6,436688182.0,272000000.0,337.0,39.2
Steve Lopez,1,31720158.0,60000000.0,61.0,6.7
Jessica Postigo,1,31165421.0,60000000.0,33.0,5.8
Cassandra Clare,1,31165421.0,60000000.0,33.0,5.8
Steven Pressfield,2,35630388.0,70000000.0,79.0,10.6
Brandon Camp,4,nan,84500000.0,164.0,24.400000000000002
Mike Thompson,2,53288510.0,78000000.0,58.0,11.8
David Seltzer,5,171132130.0,102800000.0,257.0,34.400000000000006
Min-Woo Hyung,1,29137000.0,60000000.0,41.0,5.7
Joel Cohen,2,69349366.0,85000000.0,nan,11.2
Alec Sokolow,2,69349366.0,85000000.0,nan,11.2
Jim Davis,1,28426747.0,60000000.0,37.0,5.0
Philip Eisner,1,26673242.0,60000000.0,35.0,6.6
Kôji Suzuki,3,230832734.0,158000000.0,153.0,18.1
Hideo Nakata,1,25473352.0,60000000.0,52.0,5.6
Takashige Ichise,1,25473352.0,60000000.0,52.0,5.6
James Ellroy,4,122830988.0,130000000.0,252.0,27.199999999999996
Émile Gaudreault,2,28684923.0,65500000.0,89.0,12.8
Sylvie Bouchard,1,22431897.0,60000000.0,48.0,6.1
Will Eisner,1,19806188.0,60000000.0,30.0,4.7
Cornelia Funke,1,17303424.0,60000000.0,49.0,6.1
Kaname Fujioka,1,15162470.0,60000000.0,47.0,5.2
William Malone,2,nan,63000000.0,nan,9.2
Daniel Chuba,1,14230455.0,60000000.0,19.0,4.8
David C. Wilson,1,14230455.0,60000000.0,19.0,4.8
Phil Sears,1,13090630.0,60000000.0,47.0,6.5
Blake T. Evans,1,13090630.0,60000000.0,47.0,6.5
David S. Ward,3,218887778.0,76500000.0,192.0,22.0
Mark Helprin,1,12600231.0,60000000.0,31.0,6.1
Tom Schulman,5,171504463.0,145400000.0,211.0,29.699999999999996
Rob Greenberg,1,11803254.0,60000000.0,43.0,5.1
Bill Corbett,1,11803254.0,60000000.0,43.0,5.1
Kim Morgan,1,11338107.0,60000000.0,70.0,7.0
William Lindsay Gresham,1,11338107.0,60000000.0,70.0,7.0
William B. Breuer,1,10167373.0,60000000.0,48.0,6.6
Hampton Sides,1,10167373.0,60000000.0,48.0,6.6
Kurt Voelker,2,34708649.0,100000000.0,75.0,12.600000000000001
Jun Zheng,1,9420546.0,60000000.0,48.0,5.9
Augusta Gore,1,8286741.0,60000000.0,60.0,6.7
A.S. Byatt,1,8286741.0,60000000.0,60.0,6.7
Eric Aronson,1,7696134.0,60000000.0,27.0,5.5
Kyril Bonfiglioli,1,7696134.0,60000000.0,27.0,5.5
Tim Hill,1,4810790.0,60000000.0,65.0,5.9
Doug Taylor,2,21785826.0,90000000.0,81.0,9.6
Jason Rappaport,1,4775656.0,60000000.0,15.0,3.8
Dan Stroncak,1,4775656.0,60000000.0,15.0,3.8
Josh Campbell,2,73173153.0,75000000.0,111.0,11.600000000000001
Matt Stuecken,2,73173153.0,75000000.0,111.0,11.600000000000001
Kiel Murray,1,1090155.0,60000000.0,35.0,4.4
Matt Cook,4,113856554.0,160000000.0,227.0,26.6
Rowan Joffe,5,68017862.0,128000000.0,298.0,31.8
Andrea Di Stefano,2,496252.0,77000000.0,117.0,13.1
Eddie Murphy,5,nan,166000000.0,188.0,28.1
David Sheffield,4,nan,184000000.0,190.0,20.0
Ward Greene,1,93602326.0,60000000.0,78.0,7.3
Joe Rinaldi,1,93602326.0,60000000.0,78.0,7.3
Ben Zazove,1,43242871.0,59000000.0,36.0,5.2
Andy Riley,1,43242871.0,59000000.0,36.0,5.2
Kevin Cecil,1,43242871.0,59000000.0,36.0,5.2
Jason Hall,3,367083974.0,118000000.0,172.0,19.5
Chris Kyle,1,350159020.0,58000000.0,72.0,7.3
Scott McEwen,1,350159020.0,58000000.0,72.0,7.3
Scott Alexander,7,262008600.0,197500000.0,362.0,46.0
Larry Karaszewski,6,214070270.0,172500000.0,321.0,40.9
David Morrell,4,294098052.0,163500000.0,190.0,27.0
Sheldon Lettich,5,141564073.0,101500000.0,nan,31.3
Billy Wilder,5,nan,69133848.0,nan,39.3
Samuel A. Taylor,2,nan,62000000.0,nan,13.8
John Ridley,5,206631245.0,156000000.0,359.0,32.7
Aaron McGruder,1,49876377.0,58000000.0,46.0,5.9
John B. Holway,1,49876377.0,58000000.0,46.0,5.9
Marc Lévy,1,48318130.0,58000000.0,47.0,6.7
Jared Stern,2,80025764.0,113000000.0,78.0,12.0
Joseph Barbera,2,119507407.0,83000000.0,61.0,8.9
Deborah Kaplan,5,147075959.0,149000000.0,196.0,28.0
Duncan Brantley,1,31373938.0,58000000.0,56.0,6.0
Rick Reilly,1,31373938.0,58000000.0,56.0,6.0
David Caspe,1,36931089.0,57500000.0,31.0,5.5
Andrew Neiderman,1,60944660.0,57000000.0,60.0,7.5
Scott M. Gimple,1,51774002.0,57000000.0,34.0,4.3
Seth Hoffman,1,51774002.0,57000000.0,34.0,4.3
Patrick Read Johnson,2,66736948.0,60000000.0,87.0,11.7
Charles Edward Pogue,1,51367375.0,57000000.0,49.0,6.4
Paul Zbyszewski,1,28331233.0,57000000.0,38.0,6.2
Craig Rosenberg,1,28331233.0,57000000.0,38.0,6.2
Shawn Slovo,2,29843668.0,71000000.0,98.0,12.600000000000001
Louis de Bernières,2,nan,66100000.0,nan,13.2
James Lapine,1,128002372.0,56200000.0,69.0,5.9
Stephen Sondheim,1,128002372.0,56200000.0,69.0,5.9
David Dorfman,2,151196428.0,70000000.0,67.0,10.9
Mort Briskin,1,46437717.0,56000000.0,44.0,6.3
David Klass,2,106965590.0,83000000.0,90.0,12.899999999999999
Channing Gibson,2,81150064.0,81000000.0,80.0,12.1
Winston Groom,1,330455270.0,55000000.0,82.0,8.8
Chris Viscardi,2,277347081.0,68000000.0,73.0,10.3
Anthony McCarten,3,309029989.0,100000000.0,195.0,23.0
Peter Morgan,8,396297855.0,239400000.0,554.0,59.300000000000004
Kevin Bisch,1,179495555.0,55000000.0,58.0,6.6
Carl Binder,1,141579773.0,55000000.0,58.0,6.7
Mario Puzo,7,599236589.0,238000000.0,539.0,52.4
Bill Richmond,1,128814019.0,55000000.0,62.0,5.7
Niall Leonard,2,214989010.0,110000000.0,64.0,9.1
E.L. James,3,381156240.0,150000000.0,110.0,13.3
Richard Phillips,1,107100855.0,55000000.0,82.0,7.8
Stephan Talty,1,107100855.0,55000000.0,82.0,7.8
Dana Olsen,2,119621290.0,95000000.0,101.0,11.5
Audrey Wells,5,333750285.0,143000000.0,273.0,33.300000000000004
Adam Herz,4,409241234.0,147000000.0,193.0,26.4
Joseph Oriolo,1,100328194.0,55000000.0,49.0,6.1
Michael Schiffer,3,150956501.0,140000000.0,158.0,19.8
Richard P. Henrick,1,91387195.0,55000000.0,66.0,7.3
Peter A. Dowling,2,111762612.0,67000000.0,107.0,12.7
Wim Wenders,1,78685114.0,55000000.0,54.0,6.7
Peter Handke,1,78685114.0,55000000.0,54.0,6.7
Richard Reitinger,1,78685114.0,55000000.0,54.0,6.7
Michael Bond,1,76271832.0,55000000.0,77.0,7.3
Randy Feldman,1,63408614.0,55000000.0,41.0,6.4
Martin Donovan,1,58422650.0,55000000.0,56.0,6.6
Scott Mosier,1,55750480.0,55000000.0,38.0,5.8
Jimmy Hayward,1,55750480.0,55000000.0,38.0,5.8
David I. Stern,2,nan,60000000.0,nan,11.8
Patricia Sullivan,1,nan,55000000.0,nan,6.7
Gaston Leroux,1,51293931.0,55000000.0,40.0,7.2
Joel Schumacher,4,134544325.0,99000000.0,182.0,24.8
James Bobin,1,51183113.0,55000000.0,61.0,6.4
Jim Henson,2,139814350.0,100000000.0,136.0,13.5
Tim Rice,1,50047179.0,55000000.0,45.0,6.3
Alan Parker,2,63089291.0,80000000.0,99.0,13.6
Marc Haimes,1,48023088.0,55000000.0,84.0,7.7
Shannon Tindle,1,48023088.0,55000000.0,84.0,7.7
Greg Russo,2,84652062.0,75000000.0,88.0,12.0
J.D. Zeik,1,41616262.0,55000000.0,67.0,7.2
Steve Antin,3,66447717.0,94000000.0,115.0,16.2
Art Monterastelli,2,76998202.0,102500000.0,86.0,13.0
Gerald Di Pego,5,282929332.0,205000000.0,205.0,30.599999999999998
Daniel Quinn,1,34105207.0,55000000.0,43.0,6.5
Charles B. Wessler,1,33832741.0,55000000.0,62.0,5.8
Bennett Yellin,2,60109206.0,85000000.0,81.0,9.2
Alex Garland,7,162550320.0,226000000.0,466.0,50.0
Jeff VanderMeer,1,32732301.0,55000000.0,79.0,6.8
Matthew Robbins,3,69247015.0,98000000.0,190.0,18.6
Gideon Defoe,1,31051126.0,55000000.0,73.0,6.7
Quiara Alegría Hudes,1,29975167.0,55000000.0,84.0,7.3
Lin-Manuel Miranda,1,29975167.0,55000000.0,84.0,7.3
Arne Schmidt,2,36993664.0,95000000.0,86.0,12.2
Rick Seaman,1,21226204.0,55000000.0,43.0,5.6
Peter Abrahams,1,18626419.0,55000000.0,32.0,5.9
Phoef Sutton,2,28708424.0,80000000.0,67.0,12.100000000000001
Michael Hirst,2,46466208.0,80000000.0,120.0,14.2
Chris Matheson,4,98085535.0,110000000.0,229.0,24.700000000000003
Jeff Shaara,1,12882934.0,55000000.0,30.0,6.2
Ron Maxwell,2,23652894.0,80000000.0,nan,13.8
Jonathan Brett,1,11538235.0,55000000.0,nan,4.9
Alessandro Camon,2,10599489.0,61500000.0,125.0,12.8
Alexis Nolent,1,9489829.0,55000000.0,48.0,5.7
Colin Wilson,2,21093374.0,80000000.0,98.0,11.8
Robert Penn Warren,1,7221458.0,55000000.0,37.0,6.1
Gerry Anderson,2,77189016.0,86000000.0,102.0,10.5
Sylvia Anderson,1,6880917.0,55000000.0,36.0,4.3
Peter Hewitt,1,6880917.0,55000000.0,36.0,4.3
Curtis Hanson,2,70375890.0,90000000.0,140.0,14.1
Vladimir Nabokov,2,nan,57000000.0,158.0,15.0
James B. Harris,2,nan,57000000.0,158.0,15.0
Howard Swindle,1,79161.0,55000000.0,nan,5.3
Michael LeSieur,2,90532536.0,94000000.0,80.0,11.5
Grant Nieporte,2,110664906.0,68000000.0,82.0,13.899999999999999
Francis Ford Coppola,10,nan,229100000.0,nan,74.7
Martin Brest,1,6087542.0,54000000.0,18.0,2.6
Ernest Tidyman,4,208068516.0,90712938.0,263.0,27.099999999999998
John Singleton,5,254422923.0,119512938.0,282.0,32.3
Shane Salerno,4,229847650.0,168012938.0,188.0,23.0
Gy Waldron,1,80270227.0,53000000.0,33.0,5.1
Jonathan L. Davis,1,80270227.0,53000000.0,33.0,5.1
Mark Mallouk,1,62575678.0,53000000.0,68.0,6.9
Dick Lehr,1,62575678.0,53000000.0,68.0,6.9
Susan Gauthier,1,58406347.0,53000000.0,61.0,7.1
Bruce Graham,1,58406347.0,53000000.0,61.0,7.1
Pierre La Mure,1,nan,53000000.0,nan,7.0
Anthony Veiller,2,nan,58000000.0,nan,13.1
John Huston,2,nan,57500000.0,nan,14.3
William S. Comanor,1,45246095.0,53000000.0,29.0,5.6
Gary Drucker,1,45246095.0,53000000.0,29.0,5.6
James Bradley,1,33602376.0,53000000.0,79.0,7.1
Robert Rodriguez,12,nan,265514000.0,nan,75.00000000000001
Rob Zombie,6,58836491.0,73000000.0,303.0,35.9
Toni Morrison,1,22852487.0,53000000.0,57.0,6.0
Akosua Busia,1,22852487.0,53000000.0,57.0,6.0
Frank Abagnale Jr.,1,164615351.0,52000000.0,75.0,8.1
Stan Redding,1,164615351.0,52000000.0,75.0,8.1
Catherine Johnson,1,144169664.0,52000000.0,51.0,6.5
Jeremy Garelick,2,183163486.0,75000000.0,80.0,12.399999999999999
Jay Lavender,2,183163486.0,75000000.0,80.0,12.399999999999999
Katherine Fugate,2,165073166.0,78000000.0,56.0,11.3
Abby Kohn,5,425135325.0,191000000.0,223.0,30.600000000000005
Marc Silverstein,5,425135325.0,191000000.0,223.0,30.600000000000005
Nicholas Pileggi,3,109762300.0,117000000.0,227.0,23.099999999999998
Scott Moore,6,561102830.0,185000000.0,295.0,37.7
James Jones,3,nan,63650000.0,238.0,22.9
Terrence Malick,4,65862652.0,120000000.0,325.0,28.9
Adi Hasak,3,57087889.0,125000000.0,nan,17.5
Mike Cerrone,2,134909223.0,81000000.0,105.0,11.7
Bobby Farrelly,5,239327413.0,158000000.0,234.0,27.5
Daniele Sebastian Wiedenhaupt,1,35857181.0,51000000.0,63.0,6.6
Albert Hughes,2,63769253.0,54500000.0,139.0,14.1
Matt Corman,1,35093569.0,51000000.0,28.0,5.0
Chris Ord,1,35093569.0,51000000.0,28.0,5.0
Tom Hanks,3,nan,82800000.0,176.0,20.1
C.S. Forester,1,nan,50300000.0,64.0,7.0
Rodney Rothman,2,221526597.0,90000000.0,106.0,13.4
Pen Densham,1,165493908.0,50000000.0,51.0,6.9
John Watson,1,165493908.0,50000000.0,51.0,6.9
Mark Andrus,4,198409154.0,106000000.0,175.0,27.0
Patch Adams,1,135026902.0,50000000.0,25.0,6.8
Maureen Mylander,1,135026902.0,50000000.0,25.0,6.8
Ike Barinholtz,1,127440871.0,50000000.0,52.0,6.3
David Stassen,1,127440871.0,50000000.0,52.0,6.3
Clarence Budington Kelland,1,126293452.0,50000000.0,24.0,5.8
Robert Riskin,4,nan,54869000.0,nan,28.799999999999997
Juel Taylor,1,115715889.0,50000000.0,66.0,7.1
Sascha Penn,1,115715889.0,50000000.0,66.0,7.1
Rob Lieber,3,228908206.0,113000000.0,158.0,18.4
Will Gluck,3,211557895.0,130000000.0,157.0,19.3
Beatrix Potter,2,155755141.0,95000000.0,94.0,12.8
Michele Alexander,1,105813373.0,50000000.0,45.0,6.5
Jeannie Long,1,105813373.0,50000000.0,45.0,6.5
Nick Schenk,3,299019097.0,125000000.0,178.0,22.5
Sam Dolnick,1,103804407.0,50000000.0,58.0,7.0
Jarrad Paul,2,98364127.0,53000000.0,nan,11.899999999999999
Andrew Mogel,2,98364127.0,53000000.0,nan,11.899999999999999
John W. Richardson,1,92168600.0,50000000.0,56.0,6.9
Christopher Roach,3,160888904.0,60500000.0,113.0,17.0
Gigi Levangie,1,91137662.0,50000000.0,58.0,6.8
Jessie Nelson,4,201223585.0,161000000.0,149.0,26.0
Steven Rogers,5,261214917.0,139000000.0,247.0,33.1
Tony Leondis,2,105618115.0,72000000.0,52.0,9.3
Eric Siegel,1,86089513.0,50000000.0,12.0,3.4
Mike White,7,408596198.0,173250000.0,381.0,41.5
Liz Hannah,2,112219729.0,90000000.0,150.0,14.0
Donald E. Westlake,4,160475157.0,135000000.0,158.0,24.300000000000004
John Patrick Shanley,3,151202480.0,102000000.0,146.0,19.9
Juliet Snowden,5,261840685.0,98000000.0,221.0,27.0
Stiles White,4,226696180.0,89000000.0,156.0,20.8
Hiroshi Takahashi,2,205359382.0,98000000.0,101.0,12.5
Aline Brosh McKenna,7,346289310.0,231000000.0,336.0,43.3
Benjamin Mee,1,75624550.0,50000000.0,58.0,7.1
Stan Chervin,1,75605492.0,50000000.0,87.0,7.6
John Grisham,6,579694949.0,262000000.0,321.0,40.2
Chris Columbus,4,288644501.0,129000000.0,226.0,25.900000000000002
David Lloyd,1,70511035.0,50000000.0,62.0,8.2
Laurence Dworet,1,67659560.0,50000000.0,64.0,6.6
Robert Roy Pool,1,67659560.0,50000000.0,64.0,6.6
Dana Stevens,4,188314479.0,168000000.0,185.0,25.799999999999997
Maria Bello,1,67328130.0,50000000.0,77.0,6.9
Alexander Key,1,67172594.0,50000000.0,52.0,5.7
Fredrik Backman,1,64267657.0,50000000.0,51.0,7.5
Hannes Holm,1,64267657.0,50000000.0,51.0,7.5
Margret Rey,1,58360760.0,50000000.0,62.0,6.5
Jon Hurwitz,3,113370799.0,71000000.0,170.0,20.2
Hayden Schlossberg,3,113370799.0,71000000.0,170.0,20.2
Tommy Wirkola,1,55703475.0,50000000.0,23.0,6.1
Marti Noxon,2,73403044.0,80000000.0,100.0,12.5
Claude Chabrol,3,53372101.0,63000000.0,nan,20.8
Gary Spinelli,1,51342000.0,50000000.0,65.0,7.1
Robert Baer,1,50824620.0,50000000.0,76.0,6.9
Jorge R. Gutiérrez,1,50151543.0,50000000.0,67.0,7.2
Doug Langdale,2,65740936.0,97000000.0,95.0,11.7
David Baldacci,1,50068310.0,50000000.0,52.0,6.7
Joe Forte,1,48751189.0,50000000.0,45.0,5.8
Danielle Alexandra,1,48169156.0,50000000.0,62.0,6.0
John Swetnam,1,47615959.0,50000000.0,44.0,5.8
Bill Dubuque,2,133379433.0,90000000.0,99.0,14.7
Bernard Waber,1,46888441.0,50000000.0,51.0,6.1
Matthew Cirulnick,1,44819352.0,50000000.0,26.0,6.1
Vince McKewin,1,44737059.0,50000000.0,30.0,6.6
James DeMonaco,8,452886829.0,178000000.0,400.0,48.1
Kevin Fox,1,44547681.0,50000000.0,62.0,7.3
Stephen Chin,1,43034523.0,50000000.0,57.0,7.1
Jason Smilovic,2,65529989.0,77000000.0,110.0,14.8
Danilo Bach,4,443988189.0,90000000.0,179.0,25.5
Daniel Petrie Jr.,3,431040426.0,85000000.0,130.0,19.4
Charles S. Haas,2,74482207.0,67000000.0,127.0,13.100000000000001
Leslie Cockburn,1,41263140.0,50000000.0,43.0,6.0
Andrew Cockburn,1,41263140.0,50000000.0,43.0,6.0
David Collard,1,41088845.0,50000000.0,63.0,6.5
Helen Fielding,3,136022062.0,110000000.0,169.0,19.3
John Hodge,7,72156699.0,137550000.0,401.0,46.5
Ed Horowitz,2,90349057.0,83000000.0,72.0,10.2
Robin U. Russin,1,38590458.0,50000000.0,33.0,4.6
Patrick J. Clifton,1,37486512.0,50000000.0,38.0,6.0
Beth Rigazio,1,37486512.0,50000000.0,38.0,6.0
Jack Amiel,2,57643812.0,90000000.0,99.0,12.5
Anthony Bagarozzi,1,36261763.0,50000000.0,70.0,7.4
Michael Shaara,2,45958600.0,75000000.0,nan,14.2
Steve Bloom,1,34562556.0,50000000.0,40.0,5.4
Tim Rasmussen,2,77444606.0,85000000.0,55.0,9.5
Vince Di Meglio,2,77444606.0,85000000.0,55.0,9.5
Brad Anderson,4,39624950.0,67500000.0,231.0,23.9
Carl Hiaasen,2,41227380.0,65000000.0,83.0,10.0
Andrew Bergman,2,152726406.0,52600000.0,110.0,12.2
Tony Gayton,3,55950323.0,92000000.0,135.0,19.5
Scott Cooper,3,80614269.0,80500000.0,211.0,21.1
Clayton Frohman,2,34341204.0,58000000.0,130.0,14.1
Nechama Tec,1,28644813.0,50000000.0,58.0,7.1
Alan Zweibel,1,27100031.0,50000000.0,37.0,6.0
Bong Joon Ho,1,2201923.0,50000000.0,85.0,7.1
Won-jun Ha,1,2201923.0,50000000.0,85.0,7.1
Chul-hyun Baek,1,2201923.0,50000000.0,85.0,7.1
Brad Ingelsby,3,38456218.0,82000000.0,179.0,20.6
Michael Connelly,2,84244281.0,90000000.0,127.0,13.7
Eric Warren Singer,3,193912317.0,128000000.0,214.0,21.299999999999997
John Carpenter,15,506878541.0,202925000.0,796.0,93.5
Debra Hill,12,448584092.0,162925000.0,611.0,72.9
Sarah Thorp,2,92259826.0,95000000.0,48.0,10.8
John Pearson,3,28859695.0,100000000.0,182.0,20.6
Wes Anderson,7,219866410.0,180000000.0,546.0,53.1
Tim McCanlies,3,66062605.0,82300000.0,nan,22.3
Ted Hughes,1,23315035.0,50000000.0,85.0,8.1
Danny McBride,4,136120296.0,117079000.0,172.0,25.4
Ben Best,2,21830731.0,50079000.0,94.0,11.7
Kieran Fitzgerald,2,24017508.0,66000000.0,126.0,13.899999999999999
Luke Harding,2,24842527.0,76000000.0,107.0,13.5
David Loucka,3,80707274.0,81900000.0,91.0,16.0
Leonard Hartman,1,20810036.0,50000000.0,53.0,6.9
Mark Neveldine,4,59030278.0,117000000.0,172.0,23.200000000000003
Brian Taylor,4,59030278.0,117000000.0,172.0,23.200000000000003
John J. McLaughlin,3,144271025.0,98000000.0,156.0,19.6
Scott Lobdell,3,103531681.0,64000000.0,150.0,18.200000000000003
Kami Garcia,1,19452138.0,50000000.0,52.0,6.1
Margaret Stohl,1,19452138.0,50000000.0,52.0,6.1
Matt Johnson,3,nan,90055000.0,151.0,16.8
Joseph Wilson,1,9540691.0,50000000.0,69.0,6.8
Todd Farmer,4,110763373.0,94000000.0,154.0,20.5
Tom Matthews,1,10541523.0,50000000.0,45.0,6.3
Eric Williams,1,10541523.0,50000000.0,45.0,6.3
Nathaniel Hawthorne,1,10382407.0,50000000.0,nan,5.3
Douglas Day Stewart,3,199031067.0,60500000.0,nan,18.1
Richard Kelly,4,26975052.0,96500000.0,215.0,24.8
Steve Barancik,1,10169202.0,50000000.0,36.0,5.9
Takashi Nishiyama,1,8742261.0,50000000.0,17.0,3.7
Hiroshi Matsumoto,1,8742261.0,50000000.0,17.0,3.7
James Higginson,1,8267544.0,50000000.0,68.0,6.1
Nick Park,3,171213005.0,122000000.0,243.0,20.7
David Chase,1,8237403.0,50000000.0,60.0,6.3
Ivan Atkinson,3,59905959.0,92000000.0,165.0,21.6
Marn Davies,3,59905959.0,92000000.0,165.0,21.6
Sebastian Gutierrez,4,131623567.0,135000000.0,174.0,21.6
Garry Shandling,1,6291602.0,50000000.0,41.0,5.6
Michael Leeson,1,6291602.0,50000000.0,41.0,5.6
Bob Barlen,5,182480187.0,186000000.0,nan,28.200000000000003
Cal Brunker,5,182480187.0,186000000.0,nan,28.200000000000003
Matthew Lyon,1,5801249.0,50000000.0,28.0,4.8
Mark Burnell,1,5437971.0,50000000.0,45.0,5.4
Tom Rob Smith,1,1224330.0,50000000.0,41.0,6.4
Juan Solanas,1,105095.0,50000000.0,45.0,6.3
Santiago Amigorena,1,105095.0,50000000.0,45.0,6.3
Pierre Magny,1,105095.0,50000000.0,45.0,6.3
Vassilis Vassilikos,1,nan,50000000.0,nan,7.3
Urmi Juvekar,1,nan,50000000.0,nan,7.3
Dibakar Banerjee,1,nan,50000000.0,nan,7.3
Glen Morgan,4,158221033.0,117000000.0,163.0,24.5
James Wong,3,151334944.0,97000000.0,102.0,18.4
Terri Tatchell,2,147215503.0,79000000.0,122.0,14.7
James Cappe,1,21413502.0,49000000.0,24.0,6.4
David Arnott,1,21413502.0,49000000.0,24.0,6.4
Tom Stoppard,4,125518931.0,115000000.0,272.0,27.799999999999997
Lev Tolstoy,2,nan,55000000.0,nan,13.3
Jeffrey Boam,6,477515846.0,161500000.0,358.0,41.900000000000006
Simon Moore,3,183648596.0,100000000.0,177.0,20.3
Alan Trustman,1,69305181.0,48000000.0,72.0,6.8
Jeffery Deaver,1,66518655.0,48000000.0,45.0,6.7
Jeremy Iacone,2,71015238.0,83000000.0,92.0,14.600000000000001
Andy Breckman,2,86974848.0,87000000.0,99.0,12.2
Halsted Welles,1,53606916.0,48000000.0,76.0,7.7
Gene Brewer,1,50338485.0,48000000.0,49.0,7.4
Peter Cook,1,37886980.0,48000000.0,49.0,6.1
