Actor,Instances,Total_Box_Office,Total_Production_Budget,Total_Metascore,Total_IMDB_Rating
Julia Ormond,3,40000687.0,113500000.0,133.0,18.6
Kevin Pollak,3,34919746.0,77300000.0,130.0,19.4
Serena Scott Thomas,1,34639939.0,75000000.0,44.0,6.5
Isaiah Washington,5,156091900.0,155000000.0,247.0,29.6
Miranda Otto,3,142176671.0,155000000.0,139.0,17.7
Jason Scott Lee,2,14899296.0,95000000.0,nan,12.4
Bingbing Fan,1,14570455.0,75000000.0,40.0,5.6
Donald Sutherland,16,nan,625700000.0,nan,100.20000000000002
William Baldwin,1,14036005.0,75000000.0,19.0,5.0
Bridget Fonda,5,110684014.0,184000000.0,276.0,30.9
Jim Gaffigan,2,1127240.0,75500000.0,62.0,10.9
Gabriel Bateman,5,nan,119500000.0,229.0,29.8
Jasmine Mathews,1,nan,75000000.0,34.0,5.8
Jon Hamm,7,nan,245000000.0,408.0,46.5
Tom Kenny,1,162994032.0,74000000.0,62.0,6.0
Bill Fagerbakke,2,167804822.0,134000000.0,127.0,11.9
Sacha Baron Cohen,6,nan,268000000.0,387.0,40.199999999999996
John Heard,3,64897809.0,109250000.0,nan,18.6
Dan Castellaneta,1,183135014.0,72500000.0,80.0,7.3
Julie Kavner,2,235231489.0,101500000.0,154.0,15.1
Nancy Cartwright,1,183135014.0,72500000.0,80.0,7.3
Kate Hudson,16,561985474.0,544000000.0,nan,98.59999999999998
Leslie Mann,11,557869239.0,400500000.0,565.0,66.3
Cedric The Entertainer,9,364989650.0,171500000.0,443.0,47.8
Kristen Wilson,1,112952899.0,72000000.0,49.0,4.7
Patrick McGoohan,2,118609945.0,80000000.0,144.0,15.9
Kip Pardue,2,33789383.0,81000000.0,58.0,8.8
Til Schweiger,1,32720065.0,72000000.0,29.0,4.6
Martin Landau,5,nan,120850000.0,nan,34.6
Bob Balaban,1,27807266.0,72000000.0,27.0,6.9
Jean-Claude Dreyfus,1,19176754.0,72000000.0,63.0,7.0
William Hurt,5,141276301.0,168082975.0,nan,31.6
Peter Boyle,1,144156605.0,71500000.0,46.0,5.4
Ossie Davis,4,178695482.0,80900000.0,280.0,27.200000000000003
Rory Culkin,4,236459575.0,82002619.0,225.0,26.700000000000003
Bonnie Hunt,5,565963207.0,236500000.0,252.0,31.800000000000004
Paul Newman,15,nan,228500000.0,1035.0,109.7
David Cross,3,274413038.0,113000000.0,nan,16.6
Asia Argento,1,142109382.0,70000000.0,48.0,5.8
Marton Csokas,3,nan,133000000.0,155.0,19.7
Diana Alvarez,1,nan,70000000.0,nan,7.1
Eli Roth,1,120540719.0,70000000.0,69.0,8.4
Micah Abbey,1,118613586.0,70000000.0,74.0,7.3
Shamon Brown Jr.,1,118613586.0,70000000.0,74.0,7.3
Nicolas Cantu,1,118613586.0,70000000.0,74.0,7.3
William Atherton,1,117540947.0,70000000.0,67.0,7.1
Bonnie Bedelia,2,201385040.0,98000000.0,139.0,15.299999999999999
Miranda Richardson,7,124764633.0,186000000.0,410.0,45.1
Sam Rockwell,15,321570972.0,304900000.0,nan,103.5
Marc Maron,1,97233630.0,70000000.0,64.0,6.8
Jeremy Irvine,3,nan,72500000.0,nan,19.5
Emily Watson,12,199031799.0,287000000.0,692.0,85.0
David Thewlis,8,163761437.0,323500000.0,426.0,49.5
Madeleine Stowe,3,210770033.0,139000000.0,215.0,22.8
Katie Crown,1,72800603.0,70000000.0,56.0,6.8
Kelsey Grammer,6,138631844.0,247000000.0,220.0,32.9
Jonathan Frakes,3,205469955.0,176000000.0,186.0,20.4
Brent Spiner,3,205469955.0,176000000.0,186.0,20.4
Albert Finney,6,nan,233000000.0,336.0,39.8
James Spader,7,200742020.0,222200000.0,nan,42.800000000000004
Michael Ealy,5,211324397.0,154000000.0,213.0,29.6
India Eisley,1,62321039.0,70000000.0,39.0,6.3
Dave Franco,4,129287920.0,135000000.0,221.0,25.2
Fred Armisen,2,63953667.0,80000000.0,101.0,11.6
Luke Evans,5,nan,140357373.0,204.0,32.2
Dominic Cooper,6,163482915.0,279600000.0,274.0,38.9
Sarah Gadon,2,nan,73100000.0,95.0,11.9
Sela Ward,3,267950053.0,134000000.0,173.0,20.299999999999997
Mary Elizabeth Mastrantonio,4,274409647.0,138300000.0,258.0,28.4
Michael Biehn,7,nan,157025000.0,nan,44.0
Winona Ryder,14,540931914.0,454250000.0,750.0,90.50000000000001
Charlie Cox,2,39704272.0,106000000.0,99.0,13.3
Claire Danes,8,225047940.0,230000000.0,478.0,53.6
Sienna Miller,8,456981081.0,264500000.0,476.0,54.599999999999994
Julianne Hough,2,109867733.0,98000000.0,81.0,12.5
Diego Boneta,1,38518613.0,70000000.0,47.0,5.9
Naveen Andrews,1,36793804.0,70000000.0,56.0,6.7
Famke Janssen,7,422656162.0,289000000.0,nan,41.400000000000006
Matthew Marsh,1,30160161.0,70000000.0,37.0,5.6
Christian Slater,11,nan,273600000.0,nan,57.39999999999999
Chris Klein,4,137594363.0,122000000.0,118.0,20.3
LL Cool J,5,86358767.0,164500000.0,181.0,27.099999999999998
Kellan Lutz,1,18848538.0,70000000.0,22.0,4.2
Gaia Weiss,1,18848538.0,70000000.0,22.0,4.2
Scott Adkins,2,nan,73000000.0,nan,9.3
Jane Fonda,9,nan,211000000.0,425.0,55.8
Lana Condor,1,15753600.0,70000000.0,50.0,5.7
Toni Collette,14,559612595.0,334300000.0,859.0,94.10000000000001
Talisa Soto,2,50235369.0,100000000.0,30.0,7.2
David Hyde Pierce,3,16158521.0,73000000.0,150.0,17.7
Lea Michele,2,20324745.0,79000000.0,73.0,10.6
Viola Davis,8,430892752.0,324000000.0,517.0,55.1
Tang Wei,1,8005980.0,70000000.0,51.0,5.5
David Morrissey,3,31249194.0,119000000.0,nan,16.9
Max Minghella,4,nan,127300000.0,nan,23.0
KiKi Layne,2,nan,82000000.0,157.0,13.8
Matthias Schoenaerts,3,nan,154495600.0,194.0,20.4
Pedro Casablanc,1,nan,70000000.0,nan,6.7
Manolo Solo,1,nan,70000000.0,nan,6.7
Pedro Civera,1,nan,70000000.0,nan,6.7
Russell Brand,4,454066162.0,212000000.0,214.0,25.0
Stephanie Szostak,1,73026337.0,69000000.0,56.0,5.9
Daniel Kaluuya,4,348760064.0,119000000.0,321.0,29.099999999999998
Brandon Perea,1,123277080.0,68000000.0,77.0,6.8
Ian Mongrain,1,118907036.0,68000000.0,45.0,6.4
Marlon Brando,7,nan,174210000.0,553.0,51.6
Christina Applegate,9,nan,286200000.0,403.0,54.5
Wesley Snipes,10,313729960.0,388000000.0,nan,61.2
Jennifer Lopez,18,809391167.0,637400000.0,nan,102.3
Thomas Jane,14,nan,307600000.0,nan,77.2
Janeane Garofalo,2,31556097.0,76000000.0,111.0,12.7
Hong Chau,1,24449754.0,68000000.0,64.0,5.8
Benjamin Walker,1,37519139.0,67500000.0,42.0,5.9
Maisie Williams,2,32120203.0,117000000.0,111.0,11.399999999999999
Charlie Heaton,2,30752994.0,77000000.0,68.0,10.1
Bruce Dern,8,nan,111100000.0,506.0,53.099999999999994
William Sanderson,1,18115927.0,67000000.0,44.0,6.4
Aishwarya Rai Bachchan,2,12539086.0,74000000.0,92.0,11.600000000000001
Mitch Pileggi,1,nan,66000000.0,nan,7.5
Chris Carter,1,nan,66000000.0,nan,7.5
Rob Bowman,1,nan,66000000.0,nan,7.5
Tom Taylor,1,50701325.0,66000000.0,34.0,5.6
Aaron Paul,2,62282231.0,79000000.0,112.0,13.7
Imogen Poots,3,47138918.0,76000000.0,184.0,19.1
Marisa Tomei,12,546914369.0,251500000.0,nan,75.1
Sally Field,5,532912132.0,136000000.0,275.0,32.0
Spencer Breslin,1,139236327.0,65000000.0,48.0,5.7
Elizabeth Mitchell,2,218449702.0,75000000.0,103.0,11.7
Jack O'Connell,3,159105605.0,117000000.0,152.0,19.9
Miyavi,1,115637895.0,65000000.0,59.0,7.2
Domhnall Gleeson,7,401823658.0,246000000.0,439.0,50.099999999999994
Melissa McCarthy,10,691614109.0,323000000.0,508.0,60.6
Rose Byrne,18,1008813364.0,475400000.0,1001.0,115.39999999999999
Clint Eastwood,15,899926473.0,429600000.0,979.0,107.2
Aileen Quinn,1,57059003.0,65000000.0,39.0,6.6
John Lithgow,6,292989526.0,130200000.0,342.0,39.7
Michael Rooker,6,122847847.0,165250000.0,336.0,38.5
Oakes Fegley,3,157798923.0,115000000.0,182.0,19.8
Samantha Mathis,1,70770147.0,65000000.0,61.0,6.1
Charles Chaplin,3,nan,73500000.0,nan,24.9
Edna Purviance,2,nan,72000000.0,nan,16.4
Jackie Coogan,2,nan,72000000.0,nan,16.4
Julia Stiles,10,nan,169800000.0,nan,60.0
Todd Field,3,nan,66400000.0,nan,20.8
Rodrigo Santoro,2,66090685.0,90000000.0,111.0,13.5
Kris Kristofferson,3,125983955.0,154000000.0,142.0,19.599999999999998
Parker Posey,7,109225525.0,128700000.0,381.0,42.6
Isabel Lucas,1,44806783.0,65000000.0,31.0,5.3
Anthony Mackie,10,nan,251300000.0,590.0,62.8
Ang Phula Sherpa,1,43482270.0,65000000.0,64.0,7.1
Thomas M. Wright,1,43482270.0,65000000.0,64.0,7.1
Leslie Jones,1,41667116.0,65000000.0,60.0,6.4
Meat Loaf,1,37030102.0,65000000.0,67.0,8.8
Yvonne Zima,1,33447612.0,65000000.0,44.0,6.8
Meg Ryan,11,440895822.0,392500000.0,565.0,68.5
David Morse,9,337825038.0,276000000.0,532.0,61.99999999999999
Jonah Bobo,1,29258869.0,65000000.0,67.0,6.2
Dax Shepard,6,139547341.0,136400000.0,253.0,35.9
Evan Rachel Wood,8,88900295.0,163000000.0,472.0,54.89999999999999
Goran Visnjic,2,33232831.0,68000000.0,112.0,11.2
Vincent Cassel,8,nan,136350000.0,nan,54.99999999999999
Danny Aiello,3,45398091.0,73000000.0,189.0,21.0
Andie MacDowell,7,198866668.0,151300000.0,nan,45.400000000000006
Lisa Kudrow,9,265005665.0,262500000.0,380.0,49.8
Barney Clark,1,2080321.0,65000000.0,65.0,6.8
Jeremy Swift,1,2080321.0,65000000.0,65.0,6.8
Ye Liu,1,nan,65000000.0,nan,3.2
Song Seung-heon,1,nan,65000000.0,nan,3.2
Bryon Lerum,1,nan,65000000.0,56.0,6.8
Ryder Lerum,1,nan,65000000.0,56.0,6.8
Amber Midthunder,1,nan,65000000.0,71.0,7.1
Dakota Beavers,1,nan,65000000.0,71.0,7.1
Dane DiLiegro,1,nan,65000000.0,71.0,7.1
Shawn Wayans,3,155138967.0,109000000.0,107.0,13.899999999999999
Kerry Washington,8,305585470.0,209000000.0,390.0,48.5
Darby Camp,3,nan,70500000.0,161.0,18.5
Jack Whitehall,1,48947356.0,64000000.0,55.0,5.9
Izaac Wang,1,48947356.0,64000000.0,55.0,5.9
Kristin Scott Thomas,8,187928832.0,197700000.0,437.0,52.7
Charles S. Dutton,6,112780681.0,196400000.0,nan,34.0
Alan Rickman,6,201847609.0,174700000.0,378.0,44.099999999999994
Elizabeth Perkins,3,267620449.0,116000000.0,160.0,18.6
Dylan O'Brien,7,nan,251546173.0,nan,44.3
