,ProductionBudget,Director_Avg_Rating,OMDB_Runtime,ReleaseMonth,Writer_Avg_Rating,OMDB_imdbRating,orig_index,actual,predictions
5215,700000,7.4,170.0,10.0,7.93,8.3,5317,8.3,8.120033
5216,700000,7.0,106.0,9.0,7.0,7.1,5319,7.1,7.12667
5217,700000,6.73,97.0,11.0,7.1,7.1,5320,7.1,7.0817847
5218,700000,7.2,100.0,8.0,7.2,7.2,5321,7.2,7.330056
5219,700000,6.2,107.0,1.0,6.2,6.2,5322,6.2,6.2499166
5220,700000,3.9,88.0,7.0,3.9,3.9,5323,3.9,3.7918305
5221,700000,5.4,94.0,5.0,5.4,5.4,5324,5.4,5.3445635
5222,672000,7.72,187.0,12.0,7.48,7.2,5325,7.2,7.9284673
5223,658000,6.41,113.0,5.0,5.6,5.5,5326,5.5,5.8851323
5224,650000,6.2,92.0,6.0,6.2,6.2,5327,6.2,6.2163444
5225,650000,6.8,89.0,7.0,6.8,6.8,5328,6.8,6.8722286
5226,650000,5.1,90.0,7.0,5.1,5.1,5329,5.1,5.023092
5227,650000,6.9,101.0,12.0,6.9,6.9,5331,6.9,6.996226
5228,650000,5.3,105.0,4.0,5.56,5.3,5332,5.3,5.398629
5229,640000,7.4,103.0,10.0,7.4,7.4,5334,7.4,7.5478053
5230,625000,3.1,67.0,9.0,3.1,3.1,5335,3.1,2.9676318
5231,600000,6.5,81.0,7.0,5.67,6.5,5336,6.5,5.8681936
