Writer,Instances,Total_Box_Office,Total_Production_Budget,Total_Metascore,Total_IMDB_Rating,Average_Box_Office,Average_IMDB_Rating,Success_Metric
Ari Handel,2,111344054.0,165000000,119.0,13.0,55672027.0,6.5,7.61344054
Hergé,1,77591831.0,130000000,68.0,7.3,77591831.0,7.3,8.85183662
Steven Moffat,1,77591831.0,130000000,68.0,7.3,77591831.0,7.3,8.85183662
Gary Whitta,2,155357156.0,210000000,86.0,11.6,77678578.0,5.8,7.35357156
Will Smith,1,60522097.0,130000000,33.0,4.8,60522097.0,4.8,6.01044194
Ronald Harwood,7,115709311.0,331000000,420.0,48.3,16529901.57142857,6.8999999999999995,7.2305980314285705
Phil Hay,9,655459708.0,418000000,403.0,53.8,72828856.44444445,5.977777777777778,7.434354906666667
Matt Manfredi,8,520521508.0,393000000,362.0,47.7,65065188.5,5.9625,7.263803770000001
David Dobkin,2,80738243.0,180000000,73.0,13.0,40369121.5,6.5,7.30738243
Thom Enriquez,1,137748063.0,127500000,56.0,6.4,137748063.0,6.4,9.15496126
John Harrison,1,137748063.0,127500000,56.0,6.4,137748063.0,6.4,9.15496126
Robert Nelson Jacobs,4,232759955.0,218500000,212.0,26.8,58189988.75,6.7,7.863799775
James Mangold,4,419571303.0,195000000,264.0,30.2,104892825.75,7.55,9.647856515
