Writer,Instances,Total_Box_Office,Total_Production_Budget,Total_Metascore,Total_IMDB_Rating,Average_Box_Office,Average_IMDB_Rating,Success_Metric
Wally Wood,1,37781197.0,80000000,52.0,6.4,37781197.0,6.4,7.15562394
Ed Decter,5,283836636.0,176000000,235.0,28.299999999999997,56767327.2,5.659999999999999,6.795346543999999
John J. Strauss,5,283836636.0,176000000,235.0,28.299999999999997,56767327.2,5.659999999999999,6.795346543999999
Mark Gibson,2,42664081.0,95000000,61.0,9.8,21332040.5,4.9,5.326640810000001
Gerry Swallow,4,270354106.0,215000000,149.0,21.9,67588526.5,5.475,6.826770529999999
David Skelly,1,36076121.0,80000000,37.0,5.2,36076121.0,5.2,5.9215224200000005
Ernest R. May,1,34592089.0,80000000,67.0,7.3,34592089.0,7.3,7.99184178
Philip D. Zelikow,1,34592089.0,80000000,67.0,7.3,34592089.0,7.3,7.99184178
Cory Goodman,4,104546342.0,180000000,122.0,22.5,26136585.5,5.625,6.14773171
Larry Doyle,3,45484224.0,138000000,146.0,17.0,15161408.0,5.666666666666667,5.969894826666667
Arthur Kopit,1,19676965.0,80000000,49.0,5.8,19676965.0,5.8,6.193539299999999
Jeff Maguire,2,57914766.0,110000000,80.0,12.6,28957383.0,6.3,6.87914766
Christophe Cheysson,1,19422319.0,80000000,75.0,7.7,19422319.0,7.7,8.08844638
Jacques Cluzaud,1,19422319.0,80000000,75.0,7.7,19422319.0,7.7,8.08844638
Laurent Debas,1,19422319.0,80000000,75.0,7.7,19422319.0,7.7,8.08844638
Mark Lamprell,1,18319860.0,80000000,68.0,5.8,18319860.0,5.8,6.1663972
David Brin,1,17626234.0,80000000,29.0,6.1,17626234.0,6.1,6.45252468
Chuck Pfarrer,3,86447175.0,215000000,89.0,17.1,28815725.0,5.7,6.2763145
David Kajganich,1,15074191.0,80000000,45.0,5.9,15074191.0,5.9,6.20148382
Jack Finney,1,15074191.0,80000000,45.0,5.9,15074191.0,5.9,6.20148382
David O. Russell,7,441749872.0,278000000,493.0,47.900000000000006,63107124.571428575,6.842857142857143,8.104999634285715
Ray Bradbury,1,1900451.0,80000000,24.0,4.2,1900451.0,4.2,4.23800902
Richard Holmes,2,nan,84000000,107.0,13.2,nan,6.6,nan
Tom Harper,1,nan,80000000,60.0,6.6,nan,6.6,nan
Jack Thorne,2,nan,100000000,126.0,14.5,nan,7.25,nan
Brian Gunn,2,121188187.0,86000000,85.0,11.8,60594093.5,5.9,7.11188187
Mark Gunn,2,121188187.0,86000000,85.0,11.8,60594093.5,5.9,7.11188187
Richard Outten,1,103887748.0,79000000,41.0,5.7,103887748.0,5.7,7.77775496
Ben Zook,1,74158157.0,79000000,23.0,3.3,74158157.0,3.3,4.78316314
Sylvia Nasar,1,170742341.0,78000000,72.0,8.2,170742341.0,8.2,11.61484682
Ted Tally,5,308007611.0,222000000,nan,33.8,61601522.2,6.76,7.992030444
Alan Moore,2,98067770.0,113000000,84.0,12.5,49033885.0,6.25,7.2306777
Kevin O'Neill,1,66465204.0,78000000,30.0,5.8,66465204.0,5.8,7.12930408
James Robinson,1,66465204.0,78000000,30.0,5.8,66465204.0,5.8,7.12930408
William Peter Blatty,2,nan,82000000,76.0,11.899999999999999,nan,5.949999999999999,nan
Caleb Carr,1,41821986.0,78000000,30.0,5.1,41821986.0,5.1,5.936439719999999
Irena Brignull,2,52176457.0,137500000,131.0,14.5,26088228.5,7.25,7.77176457
Bob Persichetti,1,1339152.0,77500000,70.0,7.7,1339152.0,7.7,7.72678304
Antoine de Saint-Exupéry,1,1339152.0,77500000,70.0,7.7,1339152.0,7.7,7.72678304
David Rich,1,9015164.0,77500000,42.0,5.4,9015164.0,5.4,5.580303280000001
Michael Sloan,2,203615100.0,132000000,107.0,13.9,101807550.0,6.95,8.986151
Richard Lindheim,2,203615100.0,132000000,107.0,13.9,101807550.0,6.95,8.986151
Michael Brandt,4,315278161.0,229000000,nan,25.700000000000003,78819540.25,6.425000000000001,8.001390805
Derek Haas,4,315278161.0,229000000,nan,25.700000000000003,78819540.25,6.425000000000001,8.001390805
Timothy J. Sexton,1,35552383.0,76000000,84.0,7.9,35552383.0,7.9,8.61104766
Simon Nye,1,nan,75000000,nan,3.8,nan,3.8,nan
Peter Gaulke,4,240853267.0,155000000,124.0,21.9,60213316.75,5.475,6.679266334999999
Jim Hecht,1,195330621.0,75000000,59.0,6.8,195330621.0,6.8,10.706612419999999
Billy Frolick,2,233722892.0,101000000,107.0,13.0,116861446.0,6.5,8.83722892
Chris Collins,1,171015687.0,75000000,73.0,7.4,171015687.0,7.4,10.82031374
Scott Aukerman,1,160861908.0,75000000,48.0,6.0,160861908.0,6.0,9.21723816
Tom DeSanto,1,157299718.0,75000000,64.0,7.3,157299718.0,7.3,10.44599436
Keenan Coogler,1,156248615.0,75000000,73.0,6.8,156248615.0,6.8,9.9249723
Zach Baylin,2,171377900.0,125000000,149.0,14.3,85688950.0,7.15,8.863779000000001
David Weisberg,3,265519765.0,146500000,134.0,20.2,88506588.33333333,6.733333333333333,8.5034651
Douglas Cook,3,265519765.0,146500000,134.0,20.2,88506588.33333333,6.733333333333333,8.5034651
Mark Rosner,1,134069511.0,75000000,58.0,7.4,134069511.0,7.4,10.08139022
Gil Kenan,1,129360575.0,75000000,45.0,7.1,129360575.0,7.1,9.6872115
Jason Reitman,4,251348993.0,125500000,251.0,28.9,62837248.25,7.225,8.481744964999999
George Wing,1,120908074.0,75000000,48.0,6.8,120908074.0,6.8,9.21816148
Leslie Dixon,8,705477447.0,311000000,475.0,55.099999999999994,88184680.875,6.887499999999999,8.651193617499999
John Waters,3,128051625.0,98000000,202.0,19.7,42683875.0,6.566666666666666,7.420344166666666
Mark O'Donnell,1,118946291.0,75000000,81.0,6.7,118946291.0,6.7,9.07892582
Edward Ricourt,1,117723989.0,75000000,50.0,7.2,117723989.0,7.2,9.554479780000001
Tom Eyen,1,103365956.0,75000000,76.0,6.6,103365956.0,6.6,8.66731912
A.A. Milne,3,162868008.0,115000000,177.0,19.9,54289336.0,6.633333333333333,7.719120053333333
Ernest Shepard,1,99215042.0,75000000,60.0,7.2,99215042.0,7.2,9.18430084
Alex Ross Perry,2,99470641.0,77500000,130.0,13.2,49735320.5,6.6,7.59470641
Andy Heyward,1,97403112.0,75000000,36.0,4.2,97403112.0,4.2,6.14806224
Jean Chalopin,1,97403112.0,75000000,36.0,4.2,97403112.0,4.2,6.14806224
Bruno Bianchi,1,97403112.0,75000000,36.0,4.2,97403112.0,4.2,6.14806224
Charley Parlapanides,2,nan,115000000,89.0,10.6,nan,5.3,nan
Vlas Parlapanides,2,nan,115000000,89.0,10.6,nan,5.3,nan
Andrew Niccol,5,277693588.0,248000000,324.0,37.6,55538717.6,7.5200000000000005,8.630774352
Sacha Gervasi,2,78060035.0,79000000,108.0,13.600000000000001,39030017.5,6.800000000000001,7.580600350000001
Jamie Delano,1,75976178.0,75000000,50.0,7.0,75976178.0,7.0,8.51952356
Garth Ennis,1,75976178.0,75000000,50.0,7.0,75976178.0,7.0,8.51952356
Kevin Brodbin,3,100808186.0,147000000,116.0,18.7,33602728.666666664,6.233333333333333,6.905387906666666
Dan Harmon,1,73661010.0,75000000,68.0,6.6,73661010.0,6.6,8.0732202
Rob Schrab,1,73661010.0,75000000,68.0,6.6,73661010.0,6.6,8.0732202
Pamela Pettler,2,105410904.0,105000000,128.0,13.6,52705452.0,6.8,7.85410904
Robert King,1,69243859.0,75000000,48.0,5.9,69243859.0,5.9,7.2848771800000005
Terry Hayes,4,218602765.0,170000000,219.0,25.9,54650691.25,6.475,7.5680138249999995
Aaron Sorkin,8,nan,355000000,607.0,59.2,nan,7.4,nan
George Crile,1,66661095.0,75000000,67.0,7.0,66661095.0,7.0,8.3332219
Elmore Leonard,6,nan,221250000,nan,37.6,nan,6.266666666666667,nan
Peter Steinfeld,4,184843735.0,186000000,147.0,24.0,46210933.75,6.0,6.924218675
Becky Johnston,3,166554855.0,175000000,179.0,20.5,55518285.0,6.833333333333333,7.943699033333333
Roberto Bentivegna,1,53809574.0,75000000,59.0,6.6,53809574.0,6.6,7.67619148
Sara Gay Forden,1,53809574.0,75000000,59.0,6.6,53809574.0,6.6,7.67619148
Tony Kushner,2,229611658.0,140000000,161.0,14.8,114805829.0,7.4,9.69611658
George Jonas,1,47403685.0,75000000,74.0,7.5,47403685.0,7.5,8.4480737
Bob DeRosa,1,47059963.0,75000000,21.0,5.4,47059963.0,5.4,6.341199260000001
Jeff Kleeman,1,45445109.0,75000000,56.0,7.2,45445109.0,7.2,8.10890218
Alex Lasker,2,90443152.0,96000000,92.0,12.5,45221576.0,6.25,7.15443152
Patrick Cirillo,1,43734876.0,75000000,48.0,6.6,43734876.0,6.6,7.474697519999999
James L. Brooks,3,374339894.0,197500000,195.0,21.4,124779964.66666667,7.133333333333333,9.628932626666666
Harley Peyton,1,41575141.0,75000000,60.0,6.5,41575141.0,6.5,7.33150282
Anna Leonowens,1,39263420.0,75000000,56.0,6.7,39263420.0,6.7,7.4852684
Steve Meerson,2,69366137.0,91000000,96.0,12.3,34683068.5,6.15,6.84366137
Peter Krikes,1,39263420.0,75000000,56.0,6.7,39263420.0,6.7,7.4852684
Steve Shibuya,1,36392502.0,75000000,33.0,6.0,36392502.0,6.0,6.72785004
Robert Crais,1,34639939.0,75000000,44.0,6.5,34639939.0,6.5,7.19279878
Doug Richardson,4,202082946.0,239000000,nan,24.6,50520736.5,6.15,7.16041473
Robert Souza,1,30940691.0,75000000,47.0,5.3,30940691.0,5.3,5.91881382
Ron Shelton,6,108697449.0,186000000,nan,34.3,18116241.5,5.716666666666666,6.078991496666666
Hans Bauer,3,120878116.0,145000000,125.0,16.2,40292705.333333336,5.3999999999999995,6.205854106666666
Ben Edlund,1,22753426.0,75000000,48.0,6.6,22753426.0,6.6,7.05506852
Lukas Heller,1,21009180.0,75000000,47.0,6.1,21009180.0,6.1,6.520183599999999
Edward Burns,7,nan,88559000,nan,43.699999999999996,nan,6.242857142857142,nan
David Webb Peoples,5,206700263.0,154100000,nan,36.6,41340052.6,7.32,8.146801052
Dennis Feldman,3,153928045.0,122000000,105.0,16.8,51309348.333333336,5.6000000000000005,6.626186966666667
Kaja Blackley,1,5411999.0,75000000,40.0,4.8,5411999.0,4.8,4.908239979999999
Lino DiSalvo,1,1115008.0,75000000,25.0,4.9,1115008.0,4.9,4.922300160000001
Blaise Hemingway,2,50062364.0,139000000,80.0,10.8,25031182.0,5.4,5.90062364
Robbie Fox,3,nan,145000000,88.0,17.2,nan,5.733333333333333,nan
Jason Blumenthal,1,nan,75000000,34.0,5.8,nan,5.8,nan
Stephen Hillenburg,1,162994032.0,74000000,62.0,6.0,162994032.0,6.0,9.25988064
Oren Uziel,6,487130415.0,241600000,nan,37.1,81188402.5,6.183333333333334,7.807101383333333
Dana Fox,6,478741157.0,230600000,262.0,36.0,79790192.83333333,6.0,7.595803856666667
Adam Nee,2,210688058.0,83600000,120.0,12.2,105344029.0,6.1,8.20688058
Will Ferrell,5,491654345.0,230000000,267.0,33.1,98330869.0,6.62,8.58661738
Jon Vitti,3,544450952.0,198000000,123.0,16.0,181483650.66666666,5.333333333333333,8.963006346666667
Mikael Hed,1,107509366.0,73000000,43.0,6.3,107509366.0,6.3,8.45018732
Mikko Pöllä,1,107509366.0,73000000,43.0,6.3,107509366.0,6.3,8.45018732
Brian De Palma,8,136447180.0,158900000,nan,50.800000000000004,17055897.5,6.3500000000000005,6.691117950000001
Stephen Hauser,1,37020277.0,73000000,35.0,6.1,37020277.0,6.1,6.84040554
Matt Groening,1,183135014.0,72500000,80.0,7.3,183135014.0,7.3,10.96270028
Al Jean,1,183135014.0,72500000,80.0,7.3,183135014.0,7.3,10.96270028
John Claflin,1,70231041.0,72500000,29.0,5.7,70231041.0,5.7,7.10462082
Daniel Zelman,1,70231041.0,72500000,29.0,5.7,70231041.0,5.7,7.10462082
Andy Tennant,3,nan,107900000,127.0,19.3,nan,6.433333333333334,nan
Hugh Lofting,2,257109504.0,143500000,95.0,10.100000000000001,128554752.0,5.050000000000001,7.62109504
Larry Levin,3,328549515.0,183500000,165.0,17.1,109516505.0,5.7,7.8903301
Anthony Swofford,1,62658220.0,72000000,58.0,7.0,62658220.0,7.0,8.2531644
Jan Skrentny,1,32720065.0,72000000,29.0,4.6,32720065.0,4.6,5.2544013
Neal Tabachnick,1,32720065.0,72000000,29.0,4.6,32720065.0,4.6,5.2544013
Michael Sloane,1,27807266.0,72000000,27.0,6.9,27807266.0,6.9,7.45614532
Joe Ranft,3,nan,117300000,nan,21.6,nan,7.2,nan
Jorgen Klubien,1,244082982.0,70000000,73.0,7.2,244082982.0,7.2,12.08165964
Stephen King,23,969382415.0,557000000,1179.0,154.30000000000004,42147061.52173913,6.7086956521739145,7.5516368826086975
Gary Dauberman,6,918507772.0,175500000,325.0,36.900000000000006,153084628.66666666,6.150000000000001,9.211692573333334
Josann McGibbon,1,152257509.0,70000000,39.0,5.6,152257509.0,5.6,8.64515018
Sara Parriott,1,152257509.0,70000000,39.0,5.6,152257509.0,5.6,8.64515018
Cyril Hume,1,136492681.0,70000000,60.0,6.7,136492681.0,6.7,9.42985362
Richard Maibaum,6,395379974.0,237500000,334.0,39.5,65896662.333333336,6.583333333333333,7.90126658
Richard Price,5,259345975.0,164000000,nan,33.300000000000004,51869195.0,6.660000000000001,7.697383900000001
Nick Castle,4,202040976.0,151000000,220.0,27.0,50510244.0,6.75,7.76020488
Jeff Rowe,1,118613586.0,70000000,74.0,7.3,118613586.0,7.3,9.67227172
Walter Wager,1,117540947.0,70000000,67.0,7.1,117540947.0,7.1,9.45081894
Robert Hamner,1,116934650.0,70000000,45.0,6.0,116934650.0,6.0,8.338693
Ron Mita,1,116934650.0,70000000,45.0,6.0,116934650.0,6.0,8.338693
Jim McClain,1,116934650.0,70000000,45.0,6.0,116934650.0,6.0,8.338693
Sean Anders,8,553104085.0,323000000,363.0,50.7,69138010.625,6.3375,7.7202602125
John Morris,8,553104085.0,323000000,363.0,50.7,69138010.625,6.3375,7.7202602125
Brian Burns,2,254386580.0,120000000,72.0,12.2,127193290.0,6.1,8.6438658
Washington Irving,1,101071502.0,70000000,65.0,7.3,101071502.0,7.3,9.32143004
Kevin Yagher,1,101071502.0,70000000,65.0,7.3,101071502.0,7.3,9.32143004
Alejandro Amenábar,4,197866949.0,177000000,206.0,27.200000000000003,49466737.25,6.800000000000001,7.789334745000001
Mateo Gil,2,101237767.0,140000000,100.0,14.0,50618883.5,7.0,8.01237767
Cameron Crowe,7,437740758.0,325500000,416.0,48.0,62534394.0,6.857142857142857,8.107830737142857
Aaron Blabey,1,97233630.0,70000000,64.0,6.8,97233630.0,6.8,8.7446726
Christopher Bertolini,1,83552429.0,70000000,37.0,5.7,83552429.0,5.7,7.37104858
Richard Curtis,10,476801664.0,335500000,605.0,70.5,47680166.4,7.05,8.003603328
Michael Morpurgo,1,79884879.0,70000000,72.0,7.2,79884879.0,7.2,8.79769758
Harold G. Moore,1,78122718.0,70000000,65.0,7.1,78122718.0,7.1,8.66245436
Joseph Lee Galloway,1,78122718.0,70000000,65.0,7.1,78122718.0,7.1,8.66245436
George Clooney,4,156327335.0,125000000,241.0,26.4,39081833.75,6.6,7.381636674999999
Grant Heslov,3,150552157.0,100000000,199.0,20.6,50184052.333333336,6.866666666666667,7.870347713333334
Robert M. Edsel,1,78031620.0,70000000,52.0,6.1,78031620.0,6.1,7.6606324
Rick Berman,4,281141080.0,214000000,241.0,27.0,70285270.0,6.75,8.1557054
Michael Piller,1,70187658.0,70000000,64.0,6.4,70187658.0,6.4,7.80375316
Daniel Wallace,1,66809693.0,70000000,58.0,8.0,66809693.0,8.0,9.33619386
Jim Harrison,2,131641480.0,100000000,nan,13.8,65820740.0,6.9,8.2164148
Len Wiseman,3,176610604.0,137000000,117.0,20.0,58870201.333333336,6.666666666666667,7.844070693333334
John Hlavin,1,62321039.0,70000000,39.0,6.3,62321039.0,6.3,7.54642078
J. Michael Straczynski,3,136183724.0,175000000,136.0,20.4,45394574.666666664,6.8,7.707891493333333
Bob Logan,1,59364177.0,70000000,55.0,6.0,59364177.0,6.0,7.18728354
Bram Stoker,4,152495690.0,156100000,nan,26.6,38123922.5,6.65,7.41247845
Ron L. Brinkerhoff,2,55090893.0,125000000,nan,12.2,27545446.5,6.1,6.65090893
Lawrence Wright,1,40981289.0,70000000,53.0,6.4,40981289.0,6.4,7.21962578
Menno Meyjes,3,336620958.0,133000000,196.0,22.3,112206986.0,7.433333333333334,9.677473053333333
Chris D'Arienzo,2,nan,73000000,75.0,11.7,nan,5.85,nan
Heinrich Harrer,1,37957682.0,70000000,55.0,7.1,37957682.0,7.1,7.85915364
Kerry Conran,1,37762677.0,70000000,64.0,6.1,37762677.0,6.1,6.85525354
Roderick Taylor,2,50136594.0,105000000,81.0,12.600000000000001,25068297.0,6.300000000000001,6.801365940000001
Bruce A. Taylor,1,36793804.0,70000000,56.0,6.7,36793804.0,6.7,7.43587608
Cynthia Mort,1,36793804.0,70000000,56.0,6.7,36793804.0,6.7,7.43587608
Morton S. Fine,1,33561137.0,70000000,35.0,5.4,33561137.0,5.4,6.0712227400000005
David Friedkin,1,33561137.0,70000000,35.0,5.4,33561137.0,5.4,6.0712227400000005
Gary M. Goodman,1,30160161.0,70000000,37.0,5.6,30160161.0,5.6,6.20320322
David Himmelstein,1,30160161.0,70000000,37.0,5.6,30160161.0,5.6,6.20320322
Jason Richman,3,61748161.0,136000000,108.0,17.0,20582720.333333332,5.666666666666667,6.078321073333334
Scott Silver,4,573415125.0,177000000,273.0,30.1,143353781.25,7.525,10.392075625
Paul Tamasy,3,144331066.0,84000000,nan,19.8,48110355.333333336,6.6000000000000005,7.562207106666667
Eric Johnson,2,121186567.0,81000000,137.0,14.5,60593283.5,7.25,8.46186567
Miles Chapman,1,25135965.0,70000000,49.0,6.7,25135965.0,6.7,7.2027193
Matt Sherring,1,25124966.0,70000000,44.0,6.4,25124966.0,6.4,6.90249932
Ranulph Fiennes,1,25124966.0,70000000,44.0,6.4,25124966.0,6.4,6.90249932
John Katzenbach,1,19077641.0,70000000,49.0,6.3,19077641.0,6.3,6.68155282
William Harrison,1,18990798.0,70000000,14.0,3.1,18990798.0,3.1,3.4798159600000003
Larry Ferguson,4,161405924.0,141000000,nan,23.1,40351481.0,5.775,6.58202962
John Pogue,4,141317814.0,165000000,113.0,20.799999999999997,35329453.5,5.199999999999999,5.906589069999999
Sean Hood,1,18848538.0,70000000,22.0,4.2,18848538.0,4.2,4.57697076
Daniel Giat,1,18848538.0,70000000,22.0,4.2,18848538.0,4.2,4.57697076
Renny Harlin,2,19194242.0,74000000,69.0,10.0,9597121.0,5.0,5.19194242
Gary Goldman,2,29311013.0,95000000,95.0,13.4,14655506.5,6.7,6.99311013
Paul Bernbaum,1,18211013.0,70000000,42.0,6.2,18211013.0,6.2,6.56422026
Pam Brady,5,119401825.0,145000000,284.0,33.6,23880365.0,6.720000000000001,7.1976073000000005
Brian C. Brown,2,16073576.0,97000000,86.0,10.600000000000001,8036788.0,5.300000000000001,5.46073576
Elliott DiGuiseppi,2,16073576.0,97000000,86.0,10.600000000000001,8036788.0,5.300000000000001,5.46073576
Alan B. McElroy,7,nan,157350000,nan,35.300000000000004,nan,5.042857142857144,nan
Marc Hyman,2,31453931.0,75500000,88.0,10.2,15726965.5,5.1,5.414539309999999
Roger S. Baum,1,8462347.0,70000000,25.0,5.0,8462347.0,5.0,5.16924694
Randi Barnes,1,8462347.0,70000000,25.0,5.0,8462347.0,5.0,5.16924694
Adam Balsam,1,8462347.0,70000000,25.0,5.0,8462347.0,5.0,5.16924694
Morgan Davis Foehl,1,8005980.0,70000000,51.0,5.5,8005980.0,5.5,5.6601196
Joe Eszterhas,6,151329721.0,192000000,nan,30.099999999999998,25221620.166666668,5.016666666666667,5.52109907
Leora Barish,1,5971336.0,70000000,26.0,4.4,5971336.0,4.4,4.51942672
Henry Bean,2,6388261.0,71500000,101.0,11.5,3194130.5,5.75,5.81388261
Greg Rucka,1,nan,70000000,70.0,6.7,nan,6.7,nan
Leandro Fernandez,1,nan,70000000,70.0,6.7,nan,6.7,nan
Jordi Casanovas,1,nan,70000000,nan,6.7,nan,6.7,nan
David Ilundain,1,nan,70000000,nan,6.7,nan,6.7,nan
Sergio Pablos,2,nan,109000000,137.0,15.799999999999999,nan,7.8999999999999995,nan
Francis Veber,1,73026337.0,69000000,56.0,5.9,73026337.0,5.9,7.36052674
Jason Matthews,1,46874505.0,69000000,53.0,6.6,46874505.0,6.6,7.537490099999999
Jordan Peele,4,495150178.0,108000000,306.0,27.6,123787544.5,6.9,9.37575089
Tom Clancy,5,497036395.0,265000000,298.0,33.8,99407279.0,6.76,8.74814558
Paul Attanasio,4,245140583.0,190000000,228.0,26.2,61285145.75,6.55,7.775702915
Seth MacFarlane,3,343431172.0,158000000,154.0,19.299999999999997,114477057.33333333,6.433333333333333,8.72287448
Alec Sulkin,3,343431172.0,158000000,154.0,19.299999999999997,114477057.33333333,6.433333333333333,8.72287448
Wellesley Wild,3,343431172.0,158000000,154.0,19.299999999999997,114477057.33333333,6.433333333333333,8.72287448
Daniel E. Taylor,1,71107711.0,68000000,71.0,6.8,71107711.0,6.8,8.22215422
Kario Salem,2,77110467.0,88000000,116.0,13.899999999999999,38555233.5,6.949999999999999,7.721104669999999
Lem Dobbs,6,117109355.0,140000000,358.0,38.3,19518225.833333332,6.383333333333333,6.77369785
Pete Jones,2,45195470.0,69500000,81.0,12.4,22597735.0,6.2,6.6519547
Peter Farrelly,10,665993720.0,366000000,515.0,60.099999999999994,66599372.0,6.01,7.34198744
Kevin Barnett,1,45060734.0,68000000,45.0,5.9,45060734.0,5.9,6.80121468
David Loughery,4,178375385.0,116000000,nan,22.5,44593846.25,5.625,6.516876925
William Goldman,6,nan,249000000,305.0,39.5,nan,6.583333333333333,nan
Bob Burden,1,29762011.0,68000000,65.0,6.1,29762011.0,6.1,6.69524022
Marie Brenner,2,51435454.0,113000000,152.0,15.3,25717727.0,7.65,8.16435454
Jim Taylor,5,179316570.0,129500000,393.0,34.4,35863314.0,6.88,7.5972662799999995
Lisa Joy,1,3900193.0,67972729,46.0,5.9,3900193.0,5.9,5.97800386
David Ignatius,1,39394666.0,67500000,57.0,7.0,39394666.0,7.0,7.78789332
Josh Boone,1,23852659.0,67000000,43.0,5.3,23852659.0,5.3,5.77705318
Knate Lee,2,54823699.0,88000000,87.0,11.2,27411849.5,5.6,6.14823699
Ryûzô Kikushima,1,18115927.0,67000000,44.0,6.4,18115927.0,6.4,6.762318540000001
Walter Hill,3,116040832.0,104000000,186.0,20.9,38680277.333333336,6.966666666666666,7.740272213333332
Tom Butterworth,2,11076070.0,80000000,88.0,11.4,5538035.0,5.7,5.8107607
Carlo Carlei,1,5933494.0,67000000,37.0,5.4,5933494.0,5.4,5.51866988
Michael Hertzberg,1,87704396.0,66000000,54.0,6.3,87704396.0,6.3,8.05408792
Spencer Davis Gray,1,nan,66000000,nan,7.5,nan,7.5,nan
Anders Thomas Jensen,5,121683520.0,146000000,276.0,33.4,24336704.0,6.68,7.1667340799999995
George Gatins,1,43577636.0,66000000,39.0,6.4,43577636.0,6.4,7.271552720000001
Josh Goldsmith,2,240043454.0,102000000,104.0,12.7,120021727.0,6.35,8.75043454
Cathy Yuspa,2,240043454.0,102000000,104.0,12.7,120021727.0,6.35,8.75043454
Diane Drake,1,182811707.0,65000000,47.0,6.4,182811707.0,6.4,10.05623414
Doris Kearns Goodwin,1,182207973.0,65000000,87.0,7.3,182207973.0,7.3,10.94415946
Jim Lovell,1,173837933.0,65000000,77.0,7.7,173837933.0,7.7,11.17675866
Jeffrey Kluger,1,173837933.0,65000000,77.0,7.7,173837933.0,7.7,11.17675866
Genndy Tartakovsky,1,167510016.0,65000000,54.0,6.3,167510016.0,6.3,9.65020032
Alain Boublil,1,148809770.0,65000000,63.0,7.5,148809770.0,7.5,10.4761954
Claude-Michel Schönberg,1,148809770.0,65000000,63.0,7.5,148809770.0,7.5,10.4761954
Joel Coen,15,687417561.0,391500000,1089.0,108.99999999999999,45827837.4,7.266666666666666,8.183223414666665
Ethan Coen,15,687417561.0,391500000,1089.0,108.99999999999999,45827837.4,7.266666666666666,8.183223414666665
Richard LaGravenese,13,551554494.0,434000000,nan,87.3,42427268.76923077,6.7153846153846155,7.563929990769231
Alan R. Cohen,1,100539043.0,65000000,51.0,6.5,100539043.0,6.5,8.51078086
Alan Freedland,1,100539043.0,65000000,51.0,6.5,100539043.0,6.5,8.51078086
John C. Reilly,1,100468793.0,65000000,51.0,6.9,100468793.0,6.9,8.90937586
Greg Taylor,2,127069988.0,78000000,nan,13.0,63534994.0,6.5,7.7706998800000004
Jim Strain,1,100499940.0,65000000,39.0,7.1,100499940.0,7.1,9.1099988
Johnston McCulley,1,94095523.0,65000000,63.0,6.8,94095523.0,6.8,8.68191046
Howard Klausner,2,92895508.0,65200000,116.0,12.7,46447754.0,6.35,7.278955079999999
Carol Sobieski,2,139477504.0,76000000,103.0,14.3,69738752.0,7.15,8.544775040000001
Thomas Meehan,2,95178486.0,87700000,85.0,13.7,47589243.0,6.85,7.80178486
Martin Charnin,1,57059003.0,65000000,39.0,6.6,57059003.0,6.6,7.74118006
John Long,1,84049211.0,65000000,60.0,6.5,84049211.0,6.5,8.18098422
David Lowery,5,171632513.0,95100000,385.0,33.199999999999996,34326502.6,6.639999999999999,7.326530051999999
Toby Halbrooks,2,152466302.0,75000000,142.0,13.4,76233151.0,6.7,8.22466302
Malcolm Marmorstein,2,152466302.0,75000000,142.0,13.4,76233151.0,6.7,8.22466302
Andrea Berloff,4,264440414.0,161000000,207.0,25.0,66110103.5,6.25,7.5722020699999995
John McLoughlin,1,70278893.0,65000000,66.0,6.0,70278893.0,6.0,7.40557786
Donna McLoughlin,1,70278893.0,65000000,66.0,6.0,70278893.0,6.0,7.40557786
Sacha Baron Cohen,4,255085547.0,160000000,245.0,25.9,63771386.75,6.475,7.750427735
Alec Berg,2,77421609.0,90000000,103.0,13.0,38710804.5,6.5,7.27421609
David Mandel,2,77421609.0,90000000,103.0,13.0,38710804.5,6.5,7.27421609
Kevin Hageman,2,127515890.0,93000000,117.0,13.100000000000001,63757945.0,6.550000000000001,7.825158900000001
Dan Hageman,3,385482012.0,153000000,200.0,20.8,128494004.0,6.933333333333334,9.503213413333334
Stanley Kubrick,3,147683236.0,114000000,212.0,24.200000000000003,49227745.333333336,8.066666666666668,9.051221573333335
Frederic Raphael,1,55691208.0,65000000,68.0,7.5,55691208.0,7.5,8.61382416
Arthur Schnitzler,1,55691208.0,65000000,68.0,7.5,55691208.0,7.5,8.61382416
Marcus Gautesen,1,54760791.0,65000000,31.0,6.3,54760791.0,6.3,7.39521582
Marv Wolfman,1,52411906.0,65000000,38.0,5.8,52411906.0,5.8,6.8482381199999995
Gene Colan,1,52411906.0,65000000,38.0,5.8,52411906.0,5.8,6.8482381199999995
Carl Ellsworth,6,269244173.0,159087000,288.0,37.6,44874028.833333336,6.266666666666667,7.164147243333334
Kevin Reynolds,3,81991886.0,105000000,nan,18.0,27330628.666666668,6.0,6.546612573333333
Jamie Linden,3,164572281.0,117000000,151.0,19.8,54857427.0,6.6000000000000005,7.697148540000001
Cory Helms,1,43545364.0,65000000,53.0,7.0,43545364.0,7.0,7.87090728
Paul W.S. Anderson,8,322752508.0,417500000,324.0,47.1,40344063.5,5.8875,6.69438127
Jonathon E. Stewart,1,41667116.0,65000000,60.0,6.4,41667116.0,6.4,7.23334232
Joe Klein,1,39001187.0,65000000,70.0,6.7,39001187.0,6.7,7.48002374
Elaine May,3,117562870.0,135000000,154.0,16.700000000000003,39187623.333333336,5.566666666666667,6.350419133333334
