tconst,averagerating,numvotes
tt0080664,5.6,23
tt0080667,7.6,303
tt0080669,3.6,74
tt0080671,6.8,1764
tt0080673,6.5,17
tt0080675,4.7,13
tt0080677,6.5,96
tt0080678,8.2,253401
tt0080679,7.0,7
tt0080680,5.0,23
tt0080681,4.7,102
tt0080682,6.5,50
tt0080683,5.4,96
tt0080684,8.7,1350586
tt0080685,7.4,55
tt0080686,6.7,37
tt0080687,4.1,11
tt0080688,6.0,102
tt0080691,7.4,121
tt0080693,2.8,18
tt0080695,4.1,112
tt0080698,7.1,113
tt0080700,7.2,109
tt0080701,4.8,78
tt0080703,7.2,23
tt0080705,6.0,113
tt0080706,7.0,44
tt0080707,5.7,6370
tt0080709,5.7,150
tt0080710,5.5,173
tt0080711,6.1,4867
tt0080714,5.0,443
tt0080715,7.2,1638
tt0080716,6.6,24224
tt0080717,6.8,903
tt0080718,5.2,132
tt0080719,7.1,3273
tt0080720,7.2,199
tt0080721,6.6,57
tt0080724,6.2,2326
tt0080725,6.6,289
tt0080726,6.7,145
tt0080728,7.5,5040
tt0080729,6.2,95
tt0080730,4.4,516
tt0080731,4.9,2345
tt0080734,6.4,9
tt0080735,4.6,162
tt0080736,6.6,26224
tt0080737,4.8,75
tt0080738,5.9,2217
tt0080739,4.3,709
tt0080741,2.4,1290
tt0080743,6.9,488
tt0080745,6.5,60147
tt0080746,5.8,42
tt0080747,4.3,37
tt0080748,6.5,400
tt0080749,6.8,81241
tt0080750,6.0,514
tt0080752,6.5,5331
tt0080753,7.0,50
tt0080754,5.6,2805
tt0080756,6.1,4908
tt0080761,6.4,154349
tt0080764,5.8,3010
tt0080765,4.2,100
tt0080766,5.8,25
tt0080768,6.2,2966
tt0080771,3.6,3318
tt0080773,6.6,159
tt0080774,3.9,30
tt0080775,6.8,19
tt0080776,7.3,853
tt0080778,6.8,30
tt0080779,6.4,15
tt0080780,7.3,108
tt0080784,5.8,27
tt0080785,4.5,180
tt0080787,4.3,263
tt0080790,6.9,851
tt0080793,5.2,128
tt0080794,6.0,171
tt0080798,7.1,11013
tt0080801,7.3,58601
tt0080802,5.2,1222
tt0080806,6.7,803
tt0080807,4.2,14
tt0080808,4.3,917
tt0080809,3.5,739
tt0080810,3.8,37
tt0080811,5.9,15
tt0080813,6.4,2370
tt0080815,4.9,44
tt0080821,6.4,82
tt0080822,4.7,31
tt0080823,7.4,57
tt0080824,7.3,59
tt0080825,7.3,22
tt0080826,4.7,140
tt0080827,7.0,2661
tt0080828,6.6,449
tt0080829,5.7,42
tt0080830,6.1,22
tt0080834,6.4,30
tt0080836,5.3,2887
tt0080837,5.2,296
tt0080838,2.5,50
tt0080839,3.8,1175
tt0080840,5.9,48
tt0080842,6.1,1653
tt0080843,7.6,665
tt0080845,6.6,75
tt0080846,5.3,3944
tt0080847,4.6,115
tt0080848,7.3,76
tt0080850,5.0,4070
tt0080851,4.0,146
tt0080852,7.2,113
tt0080853,4.9,2300
tt0080854,5.7,721
tt0080855,6.7,16641
tt0080856,8.8,2986
tt0080857,5.3,28
tt0080858,6.4,137
tt0080861,4.9,6132
tt0080862,6.9,41
tt0080863,5.9,1752
tt0080867,6.9,112
tt0080868,6.4,966
tt0080872,4.6,281
tt0080873,5.1,53
tt0080874,6.7,23
tt0080876,6.2,6
tt0080877,7.4,9
tt0080880,4.7,259
tt0080881,6.2,5012
tt0080882,5.5,48
tt0080883,4.8,36
tt0080886,7.0,106
tt0080887,6.1,60
tt0080888,6.3,1810
tt0080889,7.1,8721
tt0080890,5.2,21
tt0080892,4.4,326
tt0080893,4.4,60
tt0080894,7.8,36
tt0080895,6.0,1920
tt0080898,6.6,33
tt0080899,5.6,223
tt0080901,6.4,242
tt0080904,5.7,10176
tt0080905,7.1,1922
tt0080906,7.3,42
tt0080907,6.2,7027
tt0080908,5.1,610
tt0080910,6.6,651
tt0080911,6.8,142
tt0080912,7.0,121
tt0080913,6.9,1472
tt0080915,4.6,393
tt0080916,5.0,110
tt0080917,5.4,1159
tt0080920,6.5,285
tt0080923,6.5,23431
tt0080924,6.8,60
tt0080926,6.4,281
tt0080927,6.3,663
tt0080928,7.0,2219
tt0080929,6.2,2119
tt0080930,8.9,14
tt0080931,5.6,6607
tt0080933,4.3,552
tt0080934,5.3,4650
tt0080936,5.5,1098
tt0080939,7.1,164
tt0080941,7.7,73
tt0080943,3.3,10
tt0080944,6.1,17
tt0080945,4.6,297
tt0080946,5.3,13
tt0080948,5.9,4871
tt0080950,5.6,332
tt0080951,5.8,505
tt0080953,5.8,10
tt0080955,5.0,14
tt0080957,6.2,182
tt0080958,6.8,477
tt0080962,4.9,210
tt0080963,5.0,235
tt0080964,5.7,425
tt0080969,6.8,42
tt0080971,7.3,678
tt0080973,4.9,241
tt0080975,5.5,728
tt0080977,5.0,8
tt0080979,7.9,37489
tt0080982,7.8,575
tt0080983,6.7,125
tt0080984,3.3,114
tt0080985,4.8,17
tt0080992,2.8,39
tt0080995,6.2,64
tt0080996,5.9,124
tt0080997,5.4,544
tt0080998,6.6,265
tt0081001,3.1,152
tt0081006,6.3,134
tt0081009,5.6,21
tt0081010,6.9,86
tt0081012,7.0,65
tt0081013,6.7,97
tt0081014,5.9,31
tt0081015,5.2,88
tt0081018,4.9,114
tt0081019,6.4,560
tt0081020,4.1,25
tt0081021,3.7,29
tt0081022,5.4,51
tt0081024,6.9,33
tt0081025,6.0,37
tt0081026,6.5,11
tt0081027,3.1,3542
tt0081028,5.6,24
tt0081029,4.4,13
tt0081031,5.6,1509
tt0081032,5.4,720
tt0081034,3.7,189
tt0081043,4.8,151
tt0081044,5.1,70
tt0081045,7.8,25
tt0081047,4.5,206
tt0081048,6.2,27
tt0081051,4.8,159
tt0081053,7.2,330
tt0081055,6.7,1459
tt0081056,4.5,223
tt0081057,4.7,406
tt0081059,8.2,16947
tt0081060,6.5,6278
tt0081063,6.3,1654
tt0081064,5.8,37
tt0081065,5.0,30
tt0081066,5.2,162
tt0081067,3.8,27
tt0081070,7.6,24506
tt0081071,6.9,12424
tt0081073,6.0,914
tt0081076,6.7,3603
tt0081079,7.2,23
tt0081080,5.1,523
tt0081081,6.5,2153
tt0081083,6.2,174
tt0081084,4.8,23
tt0081086,5.5,263
tt0081087,6.0,35
tt0081088,4.7,279
tt0081089,5.6,147
tt0081090,5.5,37
tt0081092,6.8,88
tt0081093,5.5,18
tt0081094,4.7,26
tt0081097,6.0,108
tt0081099,6.4,1596
tt0081104,8.1,1541
tt0081106,6.7,88
tt0081107,2.8,478
tt0081109,6.0,1215
tt0081110,6.2,645
tt0081111,7.1,179
tt0081112,5.1,4456
tt0081113,6.9,114
tt0081114,6.4,19645
tt0081115,7.1,231
tt0081117,5.4,71
tt0081118,5.3,181
tt0081119,6.0,81
tt0081124,5.5,128
tt0081130,4.9,101
tt0081133,5.2,24
tt0081135,4.7,57
tt0081139,6.6,103
tt0081142,5.7,11
tt0081144,6.7,2272
tt0081145,5.4,287
tt0081146,5.9,50
tt0081148,7.5,1104
tt0081150,6.8,5191
tt0081157,5.5,380
tt0081159,6.3,3814
tt0081160,6.0,371
tt0081163,6.2,8999
tt0081164,7.6,31
tt0081165,6.2,957
tt0081168,6.6,208
tt0081169,7.1,169
tt0081170,5.7,456
tt0081174,6.9,43
tt0081175,3.8,61
tt0081176,7.6,6668
tt0081178,5.9,4371
tt0081181,4.6,50
tt0081182,6.6,3359
tt0081183,5.8,11
tt0081184,6.0,13269
tt0081186,5.3,5985
tt0081187,6.3,2558
tt0081188,3.2,9
tt0081189,6.2,27
tt0081192,5.4,158
tt0081193,5.6,345
tt0081195,7.0,41
tt0081197,5.7,70
tt0081199,3.0,12
tt0081200,5.3,11
tt0081203,5.4,899
tt0081204,7.4,1078
tt0081207,7.1,10610
tt0081211,7.9,42
tt0081213,4.8,49
tt0081214,6.8,69
tt0081216,5.7,122
tt0081218,6.6,798
tt0081219,6.4,26
tt0081220,5.3,26
tt0081221,8.0,32
tt0081228,4.8,338
tt0081229,4.7,2429
tt0081230,6.5,1018
tt0081232,5.5,863
tt0081233,4.6,833
tt0081235,6.6,817
tt0081236,3.4,292
tt0081237,6.8,8658
tt0081239,7.0,29
tt0081240,4.3,9
tt0081242,6.8,169
tt0081244,6.4,84
tt0081246,4.5,356
tt0081247,5.0,11
tt0081248,5.6,6079
tt0081249,5.1,3487
tt0081250,5.5,1993
tt0081254,7.3,382
tt0081255,5.6,37
tt0081258,3.6,10
tt0081259,5.0,6034
tt0081260,5.5,52
tt0081261,6.3,94
tt0081262,7.2,471
tt0081265,7.8,34
tt0081266,6.6,25
tt0081267,6.2,130
tt0081268,5.2,2463
tt0081269,5.4,2726
tt0081270,6.3,27
tt0081271,7.1,225
tt0081274,6.6,55
tt0081276,6.2,971
tt0081277,7.8,60
tt0081280,6.0,748
tt0081283,7.7,55441
tt0081286,5.3,897
tt0081287,5.8,17
tt0081288,6.9,103
tt0081289,6.0,8
tt0081291,7.2,3777
tt0081292,6.5,32
tt0081294,6.2,26
tt0081295,7.3,216
tt0081297,4.2,24
tt0081298,5.8,42
tt0081299,6.8,260
tt0081301,5.4,97
tt0081303,4.0,59
tt0081304,7.3,772
tt0081305,6.4,23
tt0081308,4.5,12
tt0081309,4.7,115
tt0081312,8.4,24
tt0081313,6.4,86
tt0081314,5.5,927
tt0081315,4.1,168
tt0081318,6.2,18926
tt0081319,5.4,13
tt0081323,6.1,5810
tt0081325,7.7,314
tt0081329,4.2,14
tt0081330,6.5,165
tt0081331,8.2,831
tt0081332,6.6,172
tt0081334,4.2,775
tt0081339,6.6,645
tt0081342,7.5,49
tt0081343,5.3,60
tt0081348,5.6,66
tt0081349,7.4,1688
tt0081350,7.2,278
tt0081353,5.3,33766
tt0081356,5.6,32
tt0081362,7.5,45
tt0081363,7.6,2626
tt0081366,4.5,634
tt0081367,7.2,77
tt0081368,5.1,230
tt0081369,5.5,31
tt0081370,4.9,90
tt0081371,3.8,15
tt0081372,6.0,42
tt0081373,4.2,114
tt0081375,6.2,28152
tt0081376,6.5,3510
tt0081378,6.2,31
tt0081379,7.4,417
tt0081380,4.8,48
tt0081383,5.3,20366
tt0081385,6.7,201
tt0081386,6.5,13
tt0081387,6.0,171
tt0081388,6.1,34
tt0081389,6.4,46
tt0081391,5.8,9
tt0081393,6.0,8
tt0081394,5.2,67
tt0081396,6.4,20
tt0081398,8.1,371866
tt0081400,5.1,5271
tt0081401,6.2,561
tt0081404,6.4,293
tt0081405,7.3,45
tt0081408,6.9,26
tt0081411,5.4,81
tt0081414,7.1,3354
tt0081415,5.8,1018
tt0081416,5.9,48
tt0081420,7.0,2186
tt0081421,3.7,788
tt0081426,4.9,13
tt0081427,7.4,2847
tt0081428,6.8,79
tt0081429,4.8,218
tt0081430,6.0,484
tt0081431,6.2,1144
tt0081432,4.8,1136
tt0081433,5.2,1437
tt0081435,5.8,17
tt0081438,8.5,10
tt0081439,5.6,1420
tt0081441,6.4,1522
tt0081445,4.9,441
tt0081446,6.4,71
tt0081447,4.6,191
tt0081449,6.0,72
tt0081452,5.3,85
tt0081453,7.1,81
tt0081455,6.7,60303
tt0081457,4.2,1081
tt0081459,5.0,1885
tt0081461,4.0,228
tt0081464,4.1,172
tt0081469,6.7,15
tt0081470,6.3,5120
tt0081471,4.3,398
tt0081476,5.7,51
tt0081477,5.7,209
tt0081479,5.3,87
tt0081480,6.7,10548
tt0081481,6.2,302
tt0081484,5.6,32
tt0081485,6.5,1111
tt0081486,6.5,34
tt0081488,4.9,88
tt0081489,4.4,65
tt0081491,7.0,2990
tt0081493,5.4,24
tt0081494,6.9,4166
tt0081496,5.7,51
tt0081497,6.4,55
tt0081498,5.2,29
tt0081499,7.1,7980
tt0081501,6.2,138
tt0081502,6.7,98
tt0081503,7.0,109
tt0081505,8.4,1080836
tt0081506,7.3,11025
tt0081507,6.3,75
tt0081509,4.2,34
tt0081511,5.6,65
tt0081512,7.0,135
tt0081513,5.3,188
tt0081517,5.5,609
tt0081518,6.3,983
tt0081519,4.7,382
tt0081520,6.4,443
tt0081521,5.7,8
tt0081522,6.1,229
tt0081523,6.1,160
tt0081527,6.4,9
tt0081528,5.9,494
tt0081529,5.2,17202
tt0081530,3.8,38
tt0081531,7.4,32
tt0081533,5.3,264
tt0081534,7.2,31688
tt0081535,6.5,30
tt0081536,6.1,518
tt0081538,4.8,90
tt0081541,6.5,4071
tt0081542,6.2,17
tt0081544,7.2,132
tt0081546,7.3,776
tt0081547,6.6,5766
tt0081549,6.8,229
tt0081550,6.4,37
tt0081554,7.2,23646
tt0081555,7.5,21
tt0081557,7.1,495
tt0081560,4.5,12
tt0081561,7.0,331
tt0081562,6.7,29851
tt0081568,7.0,10236
tt0081571,6.3,46
tt0081573,6.8,112793
tt0081574,7.1,39
tt0081575,6.0,11
tt0081577,6.6,19
tt0081578,6.0,73
tt0081579,3.8,155
tt0081584,4.4,14
tt0081585,5.4,163
tt0081586,6.1,61
tt0081589,6.6,9
tt0081590,7.2,8771
tt0081591,5.5,419
tt0081592,5.3,24
tt0081593,6.9,1903
tt0081594,6.6,25
tt0081596,6.5,261
tt0081605,5.2,24
tt0081606,6.5,1732
tt0081607,6.9,112
tt0081609,6.7,1292
tt0081611,6.3,225
tt0081614,5.4,2058
tt0081616,7.1,1777
tt0081617,5.8,13486
tt0081618,4.5,38
tt0081619,3.8,426
tt0081620,6.8,716
tt0081621,7.0,34
tt0081622,6.3,152
tt0081624,5.8,126
tt0081625,6.4,322
tt0081626,4.3,202
tt0081632,7.4,188
tt0081633,6.9,67046
tt0081635,6.6,1922
tt0081636,8.3,14
tt0081639,7.2,23
tt0081641,6.4,113
tt0081642,6.7,85
tt0081644,5.9,19
tt0081645,5.5,40
tt0081646,6.6,507
tt0081648,6.5,357
tt0081650,5.0,189
tt0081651,5.8,22
tt0081653,5.0,186
tt0081654,5.4,17
tt0081655,6.9,334
tt0081656,6.2,820
tt0081658,6.3,1939
tt0081659,5.9,127
tt0081662,7.0,1371
tt0081663,6.0,28
tt0081664,6.5,380
tt0081665,4.9,505
tt0081667,3.5,7
tt0081669,6.3,53
tt0081670,6.1,13
tt0081672,6.8,791
tt0081673,5.5,49
tt0081674,6.2,499
tt0081675,3.6,1033
tt0081677,4.3,3042
tt0081678,7.3,1367
tt0081679,6.9,205
tt0081680,6.3,129
tt0081681,4.1,320
tt0081682,5.0,47
tt0081684,6.1,192
tt0081685,5.7,98
tt0081686,6.7,697
tt0081687,6.0,448
tt0081689,5.9,266
tt0081690,7.2,44
tt0081692,6.1,41
tt0081693,2.2,4625
tt0081695,4.7,1853
tt0081696,6.4,16313
tt0081697,6.0,35
tt0081698,6.7,16362
tt0081699,5.0,11
tt0081701,6.9,603
tt0081703,7.1,42
tt0081704,4.9,40
tt0081705,5.3,120
tt0081706,4.8,343
tt0081708,2.7,6
tt0081709,5.5,45
tt0081711,6.9,94
tt0081713,5.4,79
tt0081714,5.9,50
tt0081715,4.2,136
tt0081716,5.7,38
tt0081717,4.2,31
tt0081718,3.8,8
tt0081721,6.2,328
tt0081724,4.4,247
tt0081725,6.3,80
tt0081727,4.1,474
tt0081728,4.2,46
tt0081729,7.0,710
tt0081730,7.9,2193
tt0081731,7.0,27
tt0081733,5.1,73
tt0081734,7.0,113
tt0081738,6.1,6864
tt0081743,7.6,534
tt0081744,6.1,23
tt0081745,3.1,158
tt0081747,4.5,3086
tt0081748,6.5,12504
tt0081751,4.7,2173
tt0081753,5.9,298
tt0081754,4.5,8
tt0081757,3.7,267
tt0081758,5.9,517
