,runtimeMinutes,averageRating,OMDB_Metascore,ProductionBudget,genres,User_rating,orig_index,actual,predictions
123,107,6.5,40.0,150000000.0,Action,7.7,62751,7.7,7.7879999999999985
124,152,9.0,84.0,185000000.0,Drama,9.5,63736,9.5,9.176
125,108,6.5,48.0,110000000.0,Comedy,7.5,64638,7.5,7.468000000000006
126,117,7.3,64.0,130000000.0,Comedy,8.7,64839,8.7,8.208000000000004
127,89,6.6,61.0,150000000.0,Comedy,7.9,64990,7.9,7.781333333333331
128,101,7.2,65.0,150000000.0,Horror,8.6,65024,8.6,8.325333333333344
129,92,5.6,45.0,120000000.0,Action,6.2,65630,6.2,6.461333333333329
130,88,6.1,35.0,82500000.0,Action,5.6,65885,5.6,6.013333333333339
131,122,6.9,62.0,85000000.0,Thriller,8.0,66684,8.0,7.826666666666667
132,150,6.5,62.0,225000000.0,Action,5.5,66930,5.5,6.2
133,162,7.9,83.0,237000000.0,Action,9.0,66948,9.0,8.818666666666665
134,157,7.8,76.0,100000000.0,Drama,8.2,67251,8.2,8.370666666666667
135,143,7.1,55.0,225000000.0,Action,7.2,67380,7.2,7.151999999999997
136,97,7.1,73.0,105000000.0,Comedy,8.3,67658,8.3,8.272000000000002
137,127,7.9,82.0,140000000.0,Action,7.7,68130,7.7,8.513333333333332
138,112,6.6,61.0,137500000.0,Action,6.7,68236,6.7,7.041333333333329
139,115,7.0,57.0,150000000.0,Action,8.2,68290,8.2,7.9173333333333344
140,123,6.7,32.0,160000000.0,Action,7.8,68338,7.8,7.756
141,118,5.9,47.0,95000000.0,Action,6.5,68873,6.5,6.466666666666667
142,169,8.7,74.0,165000000.0,Drama,9.0,69024,9.0,8.758666666666668
143,116,7.0,63.0,190000000.0,Horror,7.1,69026,7.1,7.284000000000007
144,106,6.6,58.0,230000000.0,Action,7.4,69600,7.4,6.880000000000002
145,90,6.9,66.0,100000000.0,Comedy,7.8,70076,7.8,7.91466666666667
146,118,5.8,49.0,80000000.0,Romance,7.1,70874,7.1,6.649333333333335
147,98,8.1,75.0,165000000.0,Action,8.5,71350,8.5,8.591999999999997
148,103,4.0,20.0,150000000.0,Action,5.0,72253,5.0,5.710666666666667
149,107,7.1,71.0,90000000.0,Comedy,7.6,72329,7.6,7.601333333333338
150,136,6.9,66.0,220000000.0,Action,7.8,72434,7.8,7.763999999999999
151,120,6.1,45.0,300000000.0,Action,6.0,73059,6.0,6.244000000000001
152,89,6.3,45.0,80000000.0,Thriller,5.5,73394,5.5,7.285333333333335
153,128,7.6,57.0,90000000.0,Action,7.8,73416,7.8,7.801333333333334
154,119,5.8,39.0,110000000.0,Comedy,7.0,73487,7.0,6.882666666666667
155,180,8.2,75.0,100000000.0,Comedy,8.4,73561,8.4,8.426666666666659
156,95,7.3,63.0,130000000.0,Comedy,8.3,73879,8.3,8.290666666666668
157,109,6.3,46.0,117000000.0,Comedy,6.8,74754,6.8,7.036000000000007
158,107,6.5,46.0,85000000.0,Thriller,7.9,74756,7.9,7.3213333333333335
159,96,8.3,88.0,175000000.0,Comedy,8.9,77786,8.9,8.889333333333324
160,118,6.6,43.0,80000000.0,Thriller,6.7,78645,6.7,6.929333333333331
161,118,6.2,57.0,250000000.0,Comedy,6.8,78993,6.8,6.894666666666673
162,143,7.8,81.0,200000000.0,Thriller,8.8,79835,8.8,8.682666666666664
163,148,8.2,71.0,200000000.0,Action,8.4,80672,8.4,8.417333333333326
164,106,6.4,55.0,110000000.0,Thriller,7.3,82653,7.3,7.385333333333339
165,138,8.2,63.0,80000000.0,Thriller,7.8,84173,7.8,8.194666666666665
166,114,5.5,39.0,200000000.0,Action,6.3,84412,6.3,6.6613333333333395
167,158,5.8,49.0,200000000.0,Action,5.6,88636,5.6,5.996000000000004
168,115,7.5,72.0,165000000.0,Action,8.4,90024,8.4,8.378666666666662
169,106,6.2,57.0,200000000.0,Comedy,7.3,90295,7.3,7.170666666666671
170,124,6.9,57.0,170000000.0,Action,7.4,91039,7.4,7.52399999999999
171,132,7.4,73.0,145000000.0,Thriller,7.8,91068,7.8,8.002666666666668
172,131,7.7,65.0,160000000.0,Action,8.4,93779,8.4,8.554666666666657
173,130,7.1,62.0,200000000.0,Action,6.7,95947,6.7,7.102666666666662
174,209,7.8,94.0,159000000.0,Drama,8.2,96025,8.2,8.364000000000003
175,105,7.6,68.0,93000000.0,Drama,7.9,97322,7.9,8.118666666666662
176,117,4.9,45.0,127500000.0,Drama,6.5,97890,6.5,6.733333333333334
177,117,6.3,57.0,135000000.0,Comedy,8.3,98992,8.3,7.990666666666668
178,143,7.2,55.0,190000000.0,Romance,7.5,99843,7.5,7.377333333333333
179,164,8.4,78.0,230000000.0,Thriller,7.8,100104,7.8,8.26533333333333
180,148,8.8,74.0,160000000.0,Action,8.9,102128,8.9,8.682666666666666
181,107,6.6,64.0,100000000.0,Comedy,8.0,102869,8.0,7.826666666666665
182,123,5.9,40.0,175000000.0,Action,7.3,102884,7.3,7.132000000000006
183,142,7.2,68.0,80000000.0,Action,8.6,103295,8.6,7.636000000000004
184,120,8.1,90.0,150000000.0,Action,8.8,103296,8.8,8.773333333333328
185,117,5.8,50.0,135000000.0,Comedy,7.5,103977,7.5,6.705333333333335
186,126,6.7,61.0,115000000.0,Action,7.0,105982,7.0,7.165333333333331
187,104,7.2,65.0,200000000.0,Comedy,7.2,107677,7.2,7.3986666666666645
188,143,6.8,55.0,160000000.0,Action,8.1,109382,8.1,7.813333333333341
189,129,7.4,48.0,125000000.0,Action,7.8,111970,7.8,7.906666666666665
