Director,Instances,Total_Box_Office,Total_Production_Budget,Total_Metascore,Total_IMDB_Rating
Adam Shankman,9,752235448.0,420000000.0,381.0,53.3
Eric Brevig,2,201950381.0,125000000.0,92.0,10.399999999999999
Anthony Minghella,3,255611199.0,155000000.0,236.0,22.0
Albert Hughes,4,190206878.0,169500000.0,246.0,27.599999999999998
Allen Hughes,4,174050861.0,153500000.0,232.0,27.1
Les Mayfield,5,191304293.0,191000000.0,174.0,27.6
Joe Pytka,1,90594962.0,80000000.0,59.0,6.5
Jason Reisig,1,83315531.0,80000000.0,60.0,6.6
Kelly Asbury,4,579676887.0,255000000.0,206.0,25.6
Lorna Cook,1,73280117.0,80000000.0,52.0,7.2
James Algar,3,239310667.0,83138000.0,246.0,22.1
Gaëtan Brizzi,2,61380909.0,92000000.0,120.0,14.1
Paul Brizzi,2,61380909.0,92000000.0,120.0,14.1
Jonathan Demme,6,336616464.0,209000000.0,424.0,41.6
Henry Jaglom,1,1086181.0,80000000.0,nan,6.8
Nora Ephron,3,167481101.0,185000000.0,131.0,16.9
Robert De Niro,1,59952835.0,80000000.0,61.0,6.7
Vincent Ward,1,55382927.0,80000000.0,44.0,6.9
James Gray,7,95255723.0,201000000.0,500.0,46.4
Steven Brill,5,265630111.0,210000000.0,150.0,26.900000000000002
Terry Gilliam,8,209445511.0,208900000.0,546.0,58.7
Steve 'Spaz' Williams,1,37384046.0,80000000.0,47.0,5.2
Joe Dante,6,318235110.0,192000000.0,nan,38.6
Eric Goldberg,2,162571137.0,135000000.0,122.0,12.5
Jacques Perrin,2,31111372.0,108000000.0,157.0,15.600000000000001
Jacques Cluzaud,2,31111372.0,108000000.0,157.0,15.600000000000001
Kevin Costner,3,260166336.0,125000000.0,168.0,21.5
Antony Hoffman,1,17480890.0,80000000.0,34.0,5.7
Oliver Hirschbiegel,1,15074191.0,80000000.0,45.0,5.9
David O. Russell,9,nan,315000000.0,592.0,59.8
Tom Harper,1,nan,80000000.0,60.0,6.6
Cody Cameron,1,119793567.0,78000000.0,59.0,6.3
Kris Pearn,1,119793567.0,78000000.0,59.0,6.3
Stephen Norrington,2,136552922.0,123000000.0,77.0,12.899999999999999
Jack Sholder,2,23245619.0,137500000.0,61.0,10.2
Pierre Coffin,4,1220293440.0,294000000.0,239.0,27.5
John Singleton,8,484159360.0,260512938.0,394.0,50.1
Des McAnuff,1,26005820.0,76000000.0,36.0,4.3
Julia Knowles,1,nan,75000000.0,nan,3.8
Max Webster,1,nan,75000000.0,nan,3.8
Eric Guillon,1,264624300.0,75000000.0,49.0,6.2
Vicky Jenson,3,435404938.0,140000000.0,167.0,19.2
Michael B. Jordan,1,156248615.0,75000000.0,73.0,6.8
Timur Bekmambetov,3,173772430.0,144800000.0,160.0,19.3
Jason Reitman,6,411155829.0,144500000.0,403.0,42.7
David Kellogg,1,97403112.0,75000000.0,36.0,4.2
Gil Kenan,2,81534017.0,113000000.0,126.0,13.0
Mike Nichols,6,nan,313000000.0,nan,39.900000000000006
Todd Wilderman,1,61270390.0,75000000.0,61.0,7.0
Robert Luketic,7,421047133.0,275000000.0,271.0,41.699999999999996
James L. Brooks,2,191204880.0,125000000.0,115.0,14.100000000000001
Barry Levinson,14,643651624.0,409000000.0,nan,90.79999999999998
Andy Tennant,7,nan,320900000.0,308.0,44.3
Jerry Zucker,4,395303335.0,148500000.0,239.0,27.2
Florent-Emilio Siri,1,34639939.0,75000000.0,44.0,6.5
Ron Shelton,5,108549331.0,181000000.0,217.0,28.4
Don Bluth,3,129252619.0,140300000.0,175.0,21.1
Gary Goldman,2,81159773.0,128000000.0,109.0,13.7
John Bruno,2,14582550.0,84300000.0,70.0,11.6
Henry Selick,2,87847594.0,135000000.0,120.0,12.5
Lino DiSalvo,1,1115008.0,75000000.0,25.0,4.9
Paul Tibbitt,1,162994032.0,74000000.0,62.0,6.0
Aaron Nee,2,210688058.0,83600000.0,120.0,12.2
Adam Nee,2,210688058.0,83600000.0,120.0,12.2
Clay Kaytis,1,107509366.0,73000000.0,43.0,6.3
Fergal Reilly,1,107509366.0,73000000.0,43.0,6.3
Judd Apatow,5,487830404.0,196000000.0,352.0,32.7
Steve Carr,7,466571357.0,231000000.0,273.0,37.2
Mel Gibson,4,564469125.0,177000000.0,254.0,31.4
Frank Darabont,4,218970786.0,170000000.0,228.0,31.9
Betty Thomas,4,434502842.0,254500000.0,168.0,21.4
Joe Ranft,1,244082982.0,70000000.0,73.0,7.2
Andy Muschietti,3,612125686.0,120000000.0,184.0,20.0
Garry Marshall,10,814952010.0,344000000.0,375.0,60.6
Gary Leva,1,nan,70000000.0,nan,7.1
Jeff Rowe,1,118613586.0,70000000.0,74.0,7.3
Kyler Spears,1,118613586.0,70000000.0,74.0,7.3
Clark Johnson,2,153215347.0,130000000.0,94.0,12.1
Sean Anders,6,421528748.0,284500000.0,249.0,37.8
Cameron Crowe,6,410647878.0,321000000.0,355.0,40.9
Pierre Perifel,1,97233630.0,70000000.0,64.0,6.8
Randall Wallace,4,286248828.0,152000000.0,221.0,26.6
Nicholas Stoller,6,431396234.0,223000000.0,376.0,38.4
Doug Sweetland,1,72800603.0,70000000.0,56.0,6.8
Jonathan Frakes,4,206086419.0,197000000.0,211.0,23.499999999999996
Måns Mårlind,1,62321039.0,70000000.0,39.0,6.3
Björn Stein,1,62321039.0,70000000.0,39.0,6.3
Charlie Bean,1,59364177.0,70000000.0,55.0,6.0
Paul Fisher,1,59364177.0,70000000.0,55.0,6.0
Bob Logan,1,59364177.0,70000000.0,55.0,6.0
Gary Shore,1,56280355.0,70000000.0,40.0,6.2
Kerry Conran,1,37762677.0,70000000.0,64.0,6.1
Neil Jordan,8,147904112.0,214000000.0,nan,52.9
Andrzej Bartkowiak,5,179398880.0,203000000.0,178.0,26.400000000000002
Craig Gillespie,6,132231729.0,178500000.0,nan,41.9
Mikael Håfström,4,166193302.0,151500000.0,191.0,26.1
Gary McKendry,1,25124966.0,70000000.0,44.0,6.4
Mikael Salomon,1,19870567.0,70000000.0,36.0,5.9
Gregory Hoblit,3,92775754.0,136000000.0,148.0,19.9
Faryn Pearl,1,15753600.0,70000000.0,50.0,5.7
Wych Kaosayananda,1,14307963.0,70000000.0,19.0,3.6
Bobby Farrelly,10,628025976.0,441000000.0,521.0,61.50000000000001
Peter Farrelly,11,713106147.0,464000000.0,590.0,69.7
Daniel St. Pierre,1,8462347.0,70000000.0,25.0,5.0
Michael Caton-Jones,4,114947527.0,198000000.0,167.0,23.799999999999997
Alejandro Amenábar,3,97248605.0,107000000.0,161.0,20.299999999999997
Gina Prince-Bythewood,5,nan,153000000.0,349.0,34.8
David Ilundain,1,nan,70000000.0,nan,6.7
David Slade,3,341125391.0,98950000.0,169.0,18.7
Jordan Peele,3,474558325.0,93000000.0,243.0,21.4
Phil Alden Robinson,1,118907036.0,68000000.0,45.0,6.4
Seth MacFarlane,3,343431172.0,158000000.0,154.0,19.299999999999997
Joseph Ruben,2,102564622.0,118000000.0,nan,11.5
Lawrence Kasdan,5,96309280.0,197700000.0,249.0,31.4
Kinka Usher,1,29762011.0,68000000.0,65.0,6.1
Alexander Payne,6,276110747.0,155500000.0,496.0,42.8
Lisa Joy,1,3900193.0,67972729.0,46.0,5.9
Josh Boone,2,148725009.0,79000000.0,112.0,13.0
Walter Hill,5,70396057.0,212000000.0,237.0,29.9
Doug Lefler,1,5933494.0,67000000.0,37.0,5.4
Nikolaj Arcel,1,50701325.0,66000000.0,34.0,5.6
Michael Lembeck,3,207344354.0,133000000.0,128.0,16.9
Angelina Jolie,3,116480232.0,98000000.0,159.0,17.2
Paul Feig,6,544869185.0,215500000.0,370.0,38.99999999999999
Clint Eastwood,24,1682444271.0,903800000.0,1607.0,171.0
John Huston,4,nan,126500000.0,nan,28.099999999999998
David Lowery,5,171632513.0,95100000.0,385.0,33.199999999999996
Charles Chaplin,3,nan,73500000.0,nan,24.9
Larry Charles,5,261755439.0,135000000.0,289.0,32.6
Stanley Kubrick,7,nan,192500000.0,543.0,55.60000000000001
Glenn Ficarra,4,163363340.0,163000000.0,246.0,27.200000000000003
John Requa,4,163363340.0,163000000.0,246.0,27.200000000000003
David S. Goyer,2,95082316.0,81000000.0,68.0,10.5
Dan Bradley,1,44806783.0,65000000.0,31.0,5.3
Baltasar Kormákur,5,248914272.0,222000000.0,280.0,32.4
Thurop Van Orman,1,41667116.0,65000000.0,60.0,6.4
John Rice,1,41667116.0,65000000.0,60.0,6.4
Taylor Hackford,8,322580856.0,278000000.0,419.0,54.0
Rob Bowman,3,70321967.0,126200000.0,101.0,17.1
Stuart Beattie,1,19075290.0,65000000.0,30.0,5.1
William Eubank,3,18492870.0,69050000.0,156.0,17.9
Michael Lehmann,3,97842942.0,121000000.0,96.0,16.9
Frank Miller,3,107667812.0,165000000.0,150.0,19.2
Ben Affleck,4,258883282.0,165500000.0,281.0,29.200000000000003
Roman Polanski,8,nan,257200000.0,552.0,58.5
Xiao Feng,1,nan,65000000.0,nan,3.2
Sam Hargrave,1,nan,65000000.0,56.0,6.8
Dan Trachtenberg,2,nan,80000000.0,147.0,14.3
Keenen Ivory Wayans,5,387197998.0,158000000.0,nan,27.700000000000003
Tim Hill,7,414260808.0,312000000.0,309.0,38.8
Michael Cuesta,3,39839356.0,68700000.0,178.0,20.200000000000003
Rob Reiner,13,545208094.0,349000000.0,nan,90.2
Marco Schnabel,1,32235793.0,62000000.0,24.0,3.8
Demian Lichtenstein,1,15749959.0,62000000.0,21.0,5.9
John Krasinski,2,348096622.0,78000000.0,153.0,14.7
Josh Gordon,4,248029909.0,175000000.0,209.0,24.4
Will Speck,4,248029909.0,175000000.0,209.0,24.4
Wes Ball,3,242157497.0,156000000.0,150.0,19.3
Charles Martin Smith,4,179460157.0,137000000.0,nan,25.2
Chia-Hsiang Wu,1,nan,60720000.0,nan,6.2
David Frankel,5,369650381.0,202000000.0,256.0,33.199999999999996
Peter Billingsley,1,109204945.0,60000000.0,23.0,5.5
Marc Lawrence,3,173507527.0,158000000.0,128.0,17.5
Ryan Murphy,2,87596837.0,72000000.0,102.0,11.899999999999999
Robert Redford,6,192743739.0,188200000.0,357.0,40.6
Jay Russell,3,127838347.0,82000000.0,174.0,20.1
Ol Parker,3,nan,68400000.0,nan,19.8
David McNally,2,127721232.0,105000000.0,43.0,10.2
Babak Najafi,2,83401273.0,90000000.0,63.0,10.9
William Friedkin,8,nan,214800000.0,485.0,54.00000000000001
Brian Robbins,6,196888175.0,221000000.0,233.0,33.5
Brian Levant,6,414545916.0,243000000.0,182.0,29.7
Stuart Baird,3,156991030.0,175000000.0,160.0,19.4
Steven Zaillian,2,63931439.0,115000000.0,105.0,12.7
Chris Butler,1,56003051.0,60000000.0,72.0,7.0
Jon Avnet,4,190802083.0,161000000.0,nan,25.7
Robert Stevenhagen,1,50877145.0,60000000.0,53.0,6.1
Graham Annable,1,50837305.0,60000000.0,61.0,6.8
Kevin Donovan,1,50547998.0,60000000.0,30.0,5.4
Geoff Murphy,1,50024083.0,60000000.0,52.0,5.5
Jean-Pierre Jeunet,3,49231301.0,135000000.0,178.0,20.3
Griffin Dunne,2,46845402.0,61000000.0,103.0,11.8
Harold Ramis,8,413760233.0,278600000.0,409.0,52.2
Jorge Blanco,1,42194060.0,60000000.0,39.0,6.0
Javier Abad,1,42194060.0,60000000.0,39.0,6.0
Marcos Martínez,1,42194060.0,60000000.0,39.0,6.0
Kevin Macdonald,4,78708278.0,93000000.0,275.0,28.9
Donald Petrie,7,302727157.0,232000000.0,277.0,40.8
Robert Lorenz,2,51329230.0,83000000.0,102.0,12.5
Joel Coen,13,529018362.0,321500000.0,978.0,94.69999999999999
Ethan Coen,13,529018362.0,321500000.0,978.0,94.69999999999999
Harold Becker,5,192949154.0,186000000.0,243.0,31.4
Hans Petter Moland,2,32203952.0,66500000.0,135.0,13.3
Harald Zwart,2,79103751.0,85000000.0,74.0,10.899999999999999
Scott Stewart,3,86723747.0,89500000.0,123.0,17.3
Patrick Gilmore,1,26483452.0,60000000.0,48.0,6.7
Walter Salles,2,26217648.0,85000000.0,108.0,11.6
Rod Lurie,4,39434427.0,82800000.0,207.0,26.9
Iain Softley,3,115549624.0,148000000.0,145.0,20.0
Francis Ford Coppola,14,nan,390100000.0,nan,98.2
Tony Bill,1,13090630.0,60000000.0,47.0,6.5
Akiva Goldsman,1,12600231.0,60000000.0,31.0,6.1
Stephen Herek,8,nan,244000000.0,nan,49.1
John Dahl,4,57484068.0,99000000.0,241.0,26.9
David Koepp,5,110505018.0,167000000.0,278.0,32.1
Uwe Boll,4,22609364.0,112000000.0,57.0,11.299999999999999
Tomasz Baginski,1,1090155.0,60000000.0,35.0,4.4
Andrea Di Stefano,2,496252.0,77000000.0,117.0,13.1
Craig Brewer,3,nan,77800000.0,172.0,19.5
Joe Cornish,2,17814965.0,72000000.0,141.0,12.8
Peter MacDonald,1,53715611.0,58000000.0,36.0,5.8
Billy Wilder,5,nan,69133848.0,nan,39.3
Anthony Hemingway,1,49876377.0,58000000.0,46.0,5.9
Mark Neveldine,4,101932080.0,132000000.0,156.0,21.6
Brian Taylor,3,100147317.0,119000000.0,118.0,16.9
John Madden,8,nan,167300000.0,494.0,54.300000000000004
Kevin Bray,2,72354036.0,70000000.0,78.0,12.1
Gabriele Muccino,5,259952813.0,185700000.0,207.0,33.4
Mike Gabriel,1,141579773.0,55000000.0,58.0,6.7
James Foley,5,253130370.0,147500000.0,261.0,29.5
Sam Weisman,4,188815882.0,142000000.0,159.0,21.9
Jesse Dylan,2,135743854.0,67000000.0,72.0,12.5
Wayne Wang,5,185076834.0,144000000.0,252.0,30.4
Andrey Konchalovskiy,1,63408614.0,55000000.0,41.0,6.4
Albert Magnoli,2,68254338.0,62000000.0,nan,11.2
Paul Bernard,1,nan,55000000.0,nan,6.7
Alan Parker,4,104247718.0,148000000.0,188.0,27.700000000000003
Simon McQuoid,2,84652062.0,75000000.0,88.0,12.0
John Frankenheimer,5,nan,148800000.0,262.0,30.8
Steve Antin,1,39440655.0,55000000.0,47.0,6.4
Stephen Hopkins,5,135789598.0,141000000.0,238.0,30.799999999999997
Akiva Schaffer,3,58930457.0,100000000.0,147.0,19.1
Kent Alterman,1,33479698.0,55000000.0,47.0,5.8
Alex Garland,2,58175259.0,68000000.0,157.0,14.5
Peter Lord,2,137885690.0,97000000.0,161.0,13.8
Jeff Newitt,1,31051126.0,55000000.0,73.0,6.7
Shekhar Kapur,3,64772374.0,115000000.0,169.0,20.700000000000003
Ron Maxwell,2,23652894.0,80000000.0,nan,13.8
Robert Butler,1,11538235.0,55000000.0,nan,4.9
Julien Lecat,1,nan,55000000.0,nan,7.4
Curtis Hanson,7,260585588.0,238000000.0,450.0,47.0
Jim Gillespie,2,72665295.0,72000000.0,nan,11.1
Richard Lester,5,nan,100560000.0,nan,32.6
Jay Chandrasekhar,5,153566877.0,93700000.0,213.0,29.9
Scott Cooper,4,143189947.0,133500000.0,279.0,28.0
Eli Roth,8,220927360.0,139800000.0,413.0,47.099999999999994
Phyllida Lloyd,2,174187656.0,66000000.0,103.0,12.9
David Dobkin,5,355745232.0,200000000.0,255.0,33.5
Terrence Malick,4,65862652.0,120000000.0,325.0,28.9
Milos Forman,3,195561734.0,74400000.0,229.0,24.5
Pierre Morel,4,215161888.0,142000000.0,161.0,26.5
Paul Hunter,1,23358708.0,52000000.0,40.0,5.4
John Whitesell,5,210964632.0,154000000.0,151.0,24.7
Aaron Schneider,2,nan,57300000.0,141.0,14.0
George Nolfi,3,nan,92200000.0,154.0,20.0
Will Gluck,4,269959359.0,138000000.0,229.0,26.3
Spike Lee,18,nan,276325000.0,1205.0,120.69999999999997
Tony Leondis,2,105618115.0,72000000.0,52.0,9.3
Brian Helgeland,5,236901520.0,172000000.0,274.0,35.3
Frank Marshall,4,252576755.0,153000000.0,209.0,26.2
Hideo Nakata,1,76231249.0,50000000.0,44.0,5.4
Bennett Miller,3,116452322.0,81000000.0,256.0,21.9
Joe Roth,2,167388212.0,96000000.0,66.0,11.100000000000001
James McTeigue,5,nan,152000000.0,210.0,32.0
Andy Fickman,6,365569468.0,180000000.0,218.0,34.6
Angela Robinson,2,66121262.0,53500000.0,89.0,10.3
Matthew O'Callaghan,1,58360760.0,50000000.0,62.0,6.5
Jon Hurwitz,2,95120249.0,62000000.0,106.0,13.2
Hayden Schlossberg,2,95120249.0,62000000.0,106.0,13.2
Tommy Wirkola,2,105760880.0,70000000.0,78.0,12.8
Adrian Lyne,3,302342661.0,71000000.0,169.0,19.8
Alexander Witt,1,51201453.0,50000000.0,35.0,6.1
Jorge R. Gutiérrez,1,50151543.0,50000000.0,67.0,7.2
Richard Loncraine,4,69855908.0,101200000.0,243.0,26.099999999999998
Steven Quale,2,90203602.0,90000000.0,94.0,11.7
Christophe Gans,1,46982632.0,50000000.0,31.0,6.5
Adrian Grunberg,1,44819352.0,50000000.0,26.0,6.1
Howard Deutch,3,80284780.0,100000000.0,88.0,17.9
John Landis,5,nan,90600000.0,260.0,33.6
Chuck Jones,1,41482207.0,50000000.0,69.0,6.4
Carl Franklin,3,105878602.0,122000000.0,174.0,19.8
Beeban Kidron,1,40226215.0,50000000.0,44.0,6.0
Danny Boyle,10,289498081.0,198050000.0,700.0,73.10000000000001
Steven Seagal,1,38590458.0,50000000.0,33.0,4.6
Troy Miller,2,60839021.0,80000000.0,59.0,8.8
Andrew Bergman,2,36072208.0,86000000.0,71.0,9.8
Barbet Schroeder,2,46888171.0,90000000.0,122.0,12.0
Peter Webber,2,39341957.0,62000000.0,107.0,13.0
Bong Joon Ho,2,6765573.0,90000000.0,169.0,14.2
John Carpenter,12,313505048.0,227425000.0,756.0,84.2
Philip Kaufman,3,53456032.0,90500000.0,187.0,20.3
Wes Anderson,7,219866410.0,180000000.0,546.0,53.1
David Gordon Green,13,364256012.0,239542000.0,nan,79.5
Jim Sheridan,4,109376006.0,129000000.0,196.0,25.6
Richard LaGravenese,5,122815858.0,115000000.0,279.0,33.0
John Stockwell,5,nan,103200000.0,nan,29.799999999999997
David Cronenberg,7,81861592.0,148652000.0,521.0,49.400000000000006
Patrick Read Johnson,2,32196975.0,53000000.0,nan,11.5
Reinaldo Marcus Green,1,15129285.0,50000000.0,76.0,7.5
Patrick Lussier,4,nan,102000000.0,nan,21.400000000000002
Costa-Gavras,1,10541523.0,50000000.0,45.0,6.3
Roland Joffé,3,46152032.0,102000000.0,nan,18.8
Danny DeVito,4,75792748.0,150000000.0,210.0,25.799999999999997
Nick Park,3,171213005.0,122000000.0,243.0,20.7
Richard Curtis,3,83036982.0,107000000.0,168.0,22.7
George Armitage,2,34573833.0,65000000.0,118.0,12.2
Aaron Woodley,1,5801249.0,50000000.0,28.0,4.8
Reed Morano,1,5437971.0,50000000.0,45.0,5.4
Juan Solanas,1,105095.0,50000000.0,45.0,6.3
Dibakar Banerjee,1,nan,50000000.0,nan,7.3
James Wong,4,160697729.0,127000000.0,147.0,20.9
Olivier Megaton,4,297491627.0,173000000.0,167.0,24.700000000000003
Brad Furman,3,92762654.0,117500000.0,165.0,19.9
Warren Beatty,4,252289848.0,125500000.0,291.0,27.200000000000003
Alastair Fothergill,1,32011576.0,47000000.0,72.0,7.9
Mark Linfield,1,32011576.0,47000000.0,72.0,7.9
Penny Marshall,5,329355544.0,174000000.0,303.0,35.1
Paul Bolger,1,15589393.0,47000000.0,28.0,4.5
Yvette Kaplan,1,15589393.0,47000000.0,28.0,4.5
Greg Tiernan,2,113275079.0,66000000.0,94.0,10.6
Andrei Tarkovsky,1,22168.0,47000000.0,93.0,8.0
Stephen Frears,11,248187113.0,214600000.0,796.0,77.3
Jaco Van Dormael,1,3622.0,46500000.0,63.0,7.7
P.J. Hogan,1,127120029.0,46000000.0,50.0,6.3
