Actor,Instances,Total_Box_Office,Total_Production_Budget,Total_Metascore,Total_IMDB_Rating,Average_Box_Office,Average_IMDB_Rating,Success_Metric
Elizabeth Banks,16,801053633.0,582350000,897.0,105.79999999999998,50065852.0625,6.612499999999999,7.613817041249999
Daniel Day-Lewis,9,452042773.0,377900000,691.0,64.4,50226974.777777776,7.155555555555556,8.160095051111112
Billy Crudup,8,177317364.0,294500000,500.0,56.0,22164670.5,7.0,7.44329341
Lily James,4,469709250.0,155900000,254.0,27.0,117427312.5,6.75,9.09854625
Tom Sizemore,5,nan,340000000,284.0,33.1,nan,6.62,nan
Sarah Jessica Parker,14,nan,594500000,626.0,80.5,nan,5.75,nan
Kim Cattrall,7,397377893.0,227000000,261.0,38.6,56768270.428571425,5.514285714285714,6.649651122857143
Kristin Davis,2,156471261.0,155000000,70.0,8.9,78235630.5,4.45,6.01471261
Logan Lerman,8,328589934.0,440000000,nan,51.599999999999994,41073741.75,6.449999999999999,7.271474834999999
Kevin McKidd,2,134781037.0,135000000,84.0,11.7,67390518.5,5.85,7.197810369999999
Jason Sudeikis,7,472335085.0,381000000,351.0,45.0,67476440.71428572,6.428571428571429,7.778100242857143
Milla Jovovich,16,nan,629500000,680.0,94.4,nan,5.9,nan
Rosie Perez,2,nan,99500000,75.0,11.2,nan,5.6,nan
Saoirse Ronan,8,412198301.0,266000000,588.0,56.599999999999994,51524787.625,7.074999999999999,8.1054957525
Julianne Moore,29,1048810860.0,994300000,nan,195.6,36165891.72413793,6.744827586206896,7.468145420689655
Alexander Gould,1,380843261.0,94000000,90.0,8.2,380843261.0,8.2,15.81686522
Viggo Mortensen,15,1086906472.0,632000000,1017.0,106.2,72460431.46666667,7.08,8.529208629333333
Iain Glen,3,180161580.0,144600000,97.0,16.6,60053860.0,5.533333333333334,6.734410533333334
Sam Neill,14,969036361.0,540200000,767.0,91.19999999999999,69216882.92857143,6.514285714285713,7.898623372857142
William H. Macy,9,253043293.0,197700000,602.0,59.7,28115921.444444444,6.633333333333334,7.195651762222223
Freida Pinto,3,318235384.0,111000000,201.0,21.8,106078461.33333333,7.266666666666667,9.388235893333333
Sarah Bolger,1,71195053.0,92500000,62.0,6.5,71195053.0,6.5,7.92390106
David Strathairn,7,338103392.0,223800000,527.0,48.6,48300484.571428575,6.942857142857143,7.908866834285715
Jai Courtney,3,85709413.0,144500000,124.0,18.2,28569804.333333332,6.066666666666666,6.638062753333333
Sebastian Koch,1,67349198.0,92000000,28.0,5.2,67349198.0,5.2,6.54698396
Emilio Echevarría,3,50238389.0,106000000,177.0,20.1,16746129.666666666,6.7,7.0349225933333335
Matthew Modine,3,100682189.0,127300000,167.0,19.6,33560729.666666664,6.533333333333334,7.204547926666668
Frank Langella,7,68282499.0,216500000,nan,44.1,9754642.714285715,6.3,6.495092854285714
Jon Daly,1,58236838.0,91000000,54.0,7.3,58236838.0,7.3,8.46473676
Karen Gillan,2,432235417.0,95000000,119.0,13.4,216117708.5,6.7,11.02235417
Linda Fiorentino,3,291195039.0,150000000,166.0,19.9,97065013.0,6.633333333333333,8.574633593333333
John Lone,3,302211951.0,155000000,174.0,20.4,100737317.0,6.8,8.81474634
Vanessa Hudgens,10,nan,264100000,nan,57.4,nan,5.74,nan
James Marsden,12,783228938.0,479000000,nan,72.8,65269078.166666664,6.066666666666666,7.37204823
Ben Schwartz,3,nan,182000000,nan,19.5,nan,6.5,nan
Katharine Towne,1,155464351.0,90000000,51.0,6.6,155464351.0,6.6,9.70928702
George Lopez,3,241753123.0,111000000,154.0,18.0,80584374.33333333,6.0,7.611687486666667
Jack Nicholson,16,1304501891.0,719500000,nan,112.4,81531368.1875,7.025,8.65562736375
Rooney Mara,8,233309666.0,152100000,582.0,56.1,29163708.25,7.0125,7.595774165
Christopher Plummer,13,257758281.0,365650000,851.0,92.1,19827560.076923076,7.084615384615384,7.481166586153845
Tom Skerritt,4,146077071.0,144500000,nan,24.9,36519267.75,6.225,6.955385355
Adam Sandler,26,nan,1647500000,1059.0,158.8,nan,6.107692307692308,nan
John Turturro,7,329638887.0,311000000,nan,43.0,47091269.571428575,6.142857142857143,7.084682534285715
Emmanuelle Chriqui,3,115455106.0,112000000,117.0,17.299999999999997,38485035.333333336,5.766666666666666,6.5363673733333325
Ethan Hawke,23,651143934.0,471400000,1403.0,157.39999999999998,28310605.826086957,6.843478260869564,7.409690377391303
Jason Lee,9,592839178.0,364800000,nan,51.300000000000004,65871019.777777776,5.7,7.017420395555556
Matthew Gray Gubler,2,218997729.0,170000000,57.0,9.2,109498864.5,4.6,6.7899772899999995
Jim Varney,2,128085858.0,115000000,89.0,11.9,64042929.0,5.95,7.2308585800000005
Corey Burton,1,84056472.0,90000000,52.0,6.9,84056472.0,6.9,8.58112944
Bill Nighy,9,313874201.0,375000000,458.0,61.5,34874911.222222224,6.833333333333333,7.530831557777778
Carice van Houten,4,91201751.0,122587000,180.0,24.0,22800437.75,6.0,6.456008755
Kevin James,10,1093726718.0,641000000,349.0,57.199999999999996,109372671.8,5.72,7.907453435999999
Marsha Thomason,2,109274237.0,125000000,66.0,10.100000000000001,54637118.5,5.050000000000001,6.142742370000001
Kevin Bacon,20,883545565.0,519200000,1116.0,134.0,44177278.25,6.7,7.5835455650000005
Elisabeth Shue,15,nan,428200000,689.0,95.39999999999999,nan,6.359999999999999,nan
Sean Penn,20,nan,646500000,1199.0,137.2,nan,6.859999999999999,nan
Catherine Keener,14,334169599.0,299000000,949.0,95.4,23869257.07142857,6.814285714285715,7.291670855714286
Brandon T. Jackson,3,131194847.0,139000000,111.0,15.100000000000001,43731615.666666664,5.033333333333334,5.907965646666668
Chris Barrie,1,65660196.0,90000000,43.0,5.5,65660196.0,5.5,6.81320392
Robert Redford,14,563500064.0,506100000,nan,93.00000000000001,40250004.571428575,6.642857142857144,7.447857234285715
Catherine McCormack,4,64572152.0,196000000,nan,24.099999999999998,16143038.0,6.0249999999999995,6.34786076
Rade Serbedzija,3,112299218.0,183000000,157.0,16.6,37433072.666666664,5.533333333333334,6.281994786666667
Gary Sinise,8,619905793.0,419000000,388.0,50.2,77488224.125,6.275,7.824764482500001
Dominic West,10,199257989.0,324300000,528.0,63.6,19925798.9,6.36,6.758515978
Walton Goggins,1,58250803.0,90000000,48.0,6.3,58250803.0,6.3,7.46501606
Embeth Davidtz,3,72405528.0,102000000,181.0,21.200000000000003,24135176.0,7.066666666666667,7.549370186666668
Anne Heche,6,247459423.0,213000000,368.0,37.3,41243237.166666664,6.216666666666666,7.041531409999999
Gaby Hoffmann,3,90327787.0,106000000,205.0,19.3,30109262.333333332,6.433333333333334,7.03551858
Tom Bateman,1,45630104.0,90000000,52.0,6.3,45630104.0,6.3,7.21260208
Annette Bening,17,nan,422200000,nan,113.10000000000001,nan,6.652941176470589,nan
Margaret Colin,2,43333658.0,91000000,129.0,12.8,21666829.0,6.4,6.83333658
Sam Spruell,1,35168966.0,90000000,58.0,6.7,35168966.0,6.7,7.40337932
Peter Stebbings,1,35168966.0,90000000,58.0,6.7,35168966.0,6.7,7.40337932
Ray Stevenson,5,140478384.0,239000000,200.0,30.599999999999998,28095676.8,6.119999999999999,6.681913536
Charlotte Le Bon,2,18361790.0,125000000,119.0,13.399999999999999,9180895.0,6.699999999999999,6.883617899999999
Ella Purnell,1,nan,90000000,57.0,5.8,nan,5.8,nan
Ana de la Reguera,4,nan,140300000,205.0,23.1,nan,5.775,nan
Helen Hunt,7,890127978.0,347000000,427.0,49.7,127161139.71428572,7.1000000000000005,9.643222794285714
Cary Elwes,10,nan,281200000,nan,65.8,nan,6.58,nan
Craig Bierko,3,164277192.0,144000000,145.0,20.1,54759064.0,6.7,7.79518128
Boyd Holbrook,2,nan,90000000,96.0,11.5,nan,5.75,nan
Trevante Rhodes,3,nan,109300000,198.0,19.299999999999997,nan,6.433333333333333,nan
Jacob Tremblay,6,292670786.0,161000000,nan,39.4,48778464.333333336,6.566666666666666,7.542235953333333
Michael Chiklis,3,202440684.0,137500000,123.0,18.5,67480228.0,6.166666666666667,7.516271226666667
Joey King,6,178185566.0,130900000,240.0,33.99999999999999,29697594.333333332,5.666666666666665,6.260618553333332
Paul Sanchez,1,233632142.0,85000000,73.0,7.8,233632142.0,7.8,12.472642839999999
Brittany Murphy,8,nan,196800000,nan,47.10000000000001,nan,5.887500000000001,nan
Franka Potente,3,350894399.0,175000000,193.0,23.0,116964799.66666667,7.666666666666667,10.00596266
Glenn Close,9,nan,317200000,473.0,58.800000000000004,nan,6.533333333333334,nan
Carol Burnett,4,268396107.0,171500000,200.0,25.5,67099026.75,6.375,7.716980535
Austin Butler,1,151040048.0,85000000,64.0,7.3,151040048.0,7.3,10.32080096
Olivia DeJonge,2,216246153.0,90000000,119.0,13.5,108123076.5,6.75,8.91246153
Andy Samberg,9,649102291.0,444500000,462.0,57.50000000000001,72122476.77777778,6.388888888888889,7.831338424444445
Susan Sarandon,20,nan,421710000,1190.0,128.4,nan,6.42,nan
Robert Patrick,3,147669064.0,105000000,157.0,18.3,49223021.333333336,6.1000000000000005,7.084460426666667
Meryl Streep,24,1413568535.0,872200000,1552.0,162.9,58898688.958333336,6.7875000000000005,7.965473779166667
Gene Hackman,20,1123799867.0,774550000,1180.0,131.7,56189993.35,6.584999999999999,7.708799866999999
Ashton Kutcher,14,676524109.0,491000000,504.0,83.3,48323150.64285714,5.95,6.916463012857143
Debra Messing,4,230950375.0,142880000,196.0,25.799999999999997,57737593.75,6.449999999999999,7.604751875
Casey Affleck,15,214167378.0,305100000,nan,96.5,14277825.2,6.433333333333334,6.718889837333333
Gérard Depardieu,5,77834260.0,192000000,nan,25.8,15566852.0,5.16,5.47133704
Lily Collins,4,128722897.0,200000000,152.0,23.3,32180724.25,5.825,6.468614485
Lucas Black,3,127178475.0,172000000,149.0,19.2,42392825.0,6.3999999999999995,7.247856499999999
Zachery Ty Bryan,1,62514415.0,85000000,45.0,6.0,62514415.0,6.0,7.2502883
Shad Moss,6,240597171.0,179000000,275.0,31.9,40099528.5,5.316666666666666,6.1186572366666665
Ziyi Zhang,4,198515611.0,124000000,315.0,30.1,49628902.75,7.525,8.517578055
Joseph Fiennes,9,nan,356000000,nan,60.1,nan,6.677777777777778,nan
Art Carney,1,50016394.0,85000000,44.0,6.5,50016394.0,6.5,7.50032788
Seann William Scott,11,683069794.0,459000000,496.0,66.6,62097254.0,6.054545454545454,7.296490534545454
Christopher Walken,12,541863865.0,453000000,nan,82.4,45155322.083333336,6.866666666666667,7.769773108333334
Donnie Yen,1,44898413.0,85000000,42.0,5.2,44898413.0,5.2,6.09796826
Deepika Padukone,4,50474026.0,108600000,nan,24.099999999999998,12618506.5,6.0249999999999995,6.2773701299999995
Claire Forlani,4,91332015.0,159000000,155.0,24.4,22833003.75,6.1,6.556660075
Francesca Neri,1,40077257.0,85000000,33.0,5.5,40077257.0,5.5,6.30154514
Rene Russo,12,nan,540750000,662.0,74.8,nan,6.233333333333333,nan
Armand Assante,5,nan,186000000,nan,28.2,nan,5.64,nan
Rob Schneider,8,388509694.0,310000000,nan,41.300000000000004,48563711.75,5.1625000000000005,6.133774235000001
Michael Cera,9,nan,323700000,nan,57.20000000000001,nan,6.355555555555557,nan
Kieran Culkin,5,64716304.0,121100000,nan,34.2,12943260.8,6.840000000000001,7.098865216000001
Hilary Swank,10,349473431.0,322500000,603.0,68.1,34947343.1,6.81,7.508946861999999
Delroy Lindo,6,186909637.0,203700000,nan,38.699999999999996,31151606.166666668,6.449999999999999,7.073032123333332
Adam Brooks,1,nan,85000000,nan,5.8,nan,5.8,nan
Matthew Kennedy,1,nan,85000000,nan,5.8,nan,5.8,nan
Conor Sweeney,1,nan,85000000,nan,5.8,nan,5.8,nan
Zac Efron,16,nan,417700000,nan,97.10000000000001,nan,6.0687500000000005,nan
Matthew Lillard,6,383676838.0,209000000,210.0,33.4,63946139.666666664,5.566666666666666,6.845589459999999
Freddie Prinze Jr.,10,425249831.0,269000000,279.0,50.599999999999994,42524983.1,5.06,5.910499661999999
Sarah Michelle Gellar,11,nan,241500000,nan,60.99999999999999,nan,5.545454545454545,nan
Janet Jackson,5,303855751.0,154000000,236.0,27.4,60771150.2,5.4799999999999995,6.695423003999999
Larry Miller,3,140785416.0,103000000,nan,12.2,46928472.0,4.066666666666666,5.005236106666667
Helen Mirren,19,474670090.0,423857373,nan,124.30000000000001,24982636.315789472,6.542105263157896,7.041757989473685
John Malkovich,16,nan,587000000,nan,106.39999999999999,nan,6.6499999999999995,nan
Hayden Christensen,9,nan,207100000,nan,54.4,nan,6.044444444444444,nan
Ron Perlman,9,nan,421500000,nan,50.50000000000001,nan,5.611111111111112,nan
Selma Blair,7,nan,243500000,nan,44.0,nan,6.285714285714286,nan
Doug Jones,3,195234419.0,192500000,222.0,20.6,65078139.666666664,6.866666666666667,8.168229460000001
Burt Reynolds,6,309261887.0,218500000,296.0,37.1,51543647.833333336,6.183333333333334,7.21420629
Michael Rapaport,4,nan,92500000,nan,23.8,nan,5.95,nan
Jennifer Aniston,21,nan,730500000,1024.0,131.7,nan,6.2714285714285705,nan
Pierre Coffin,1,369695210.0,80000000,56.0,6.5,369695210.0,6.5,13.8939042
Alan Arkin,8,609901958.0,226000000,nan,51.800000000000004,76237744.75,6.4750000000000005,7.999754895000001
Ed Helms,7,470631890.0,222000000,355.0,43.49999999999999,67233127.14285715,6.2142857142857135,7.558948257142856
Selena Gomez,6,411190119.0,203000000,282.0,34.9,68531686.5,5.816666666666666,7.187300396666666
Danny DeVito,16,654432527.0,490150000,873.0,101.39999999999999,40902032.9375,6.3374999999999995,7.15554065875
Garry Shandling,2,161310942.0,130000000,108.0,12.3,80655471.0,6.15,7.76310942
Daveigh Chase,1,145794338.0,80000000,74.0,7.3,145794338.0,7.3,10.21588676
Chris Sanders,1,145794338.0,80000000,74.0,7.3,145794338.0,7.3,10.21588676
Tia Carrere,1,145794338.0,80000000,74.0,7.3,145794338.0,7.3,10.21588676
Robert Duvall,13,560895367.0,526000000,nan,85.4,43145797.461538464,6.56923076923077,7.4321467184615395
Jesse McCartney,2,151230382.0,81000000,nan,9.3,75615191.0,4.65,6.16230382
Mel Brooks,3,197992402.0,113700000,157.0,20.3,65997467.333333336,6.766666666666667,8.086616013333334
Emily Mortimer,8,168730406.0,168400000,487.0,57.60000000000001,21091300.75,7.200000000000001,7.621826015000001
Vince Vaughn,19,nan,615200000,988.0,121.79999999999997,nan,6.410526315789472,nan
Mary Steenburgen,4,472850447.0,225000000,195.0,26.700000000000003,118212611.75,6.675000000000001,9.039252235000001
Courteney Cox,10,753000777.0,367000000,479.0,62.599999999999994,75300077.7,6.26,7.766001554
Tyler Hoechlin,1,104454762.0,80000000,72.0,7.7,104454762.0,7.7,9.78909524
Rob Maxey,1,104454762.0,80000000,72.0,7.7,104454762.0,7.7,9.78909524
Marcia Gay Harden,5,127476514.0,112300000,286.0,32.5,25495302.8,6.5,7.009906056
Christopher McDonald,3,138643383.0,100000000,106.0,18.4,46214461.0,6.133333333333333,7.057622553333333
Catherine Zeta-Jones,11,816971442.0,627000000,646.0,71.60000000000001,74270131.0909091,6.50909090909091,7.994493530909091
Michael Jordan,2,109245483.0,87000000,116.0,13.9,54622741.5,6.95,8.04245483
Wayne Knight,1,90594962.0,80000000,59.0,6.5,90594962.0,6.5,8.31189924
Theresa Randle,2,95534901.0,92000000,103.0,11.8,47767450.5,5.9,6.85534901
Leslie Bibb,5,239703039.0,177200000,172.0,29.5,47940607.8,5.9,6.858812156
Kathy Bates,13,712801712.0,372700000,679.0,81.80000000000001,54830900.92307692,6.292307692307693,7.388925710769231
James Cromwell,3,193380738.0,125000000,225.0,21.400000000000002,64460246.0,7.133333333333334,8.422538253333334
Daniel Studi,1,73280117.0,80000000,52.0,7.2,73280117.0,7.2,8.66560234
James Levine,1,60655420.0,80000000,59.0,7.1,60655420.0,7.1,8.313108399999999
Itzhak Perlman,1,60655420.0,80000000,59.0,7.1,60655420.0,7.1,8.313108399999999
William Hurt,6,210393930.0,248082975,nan,36.8,35065655.0,6.133333333333333,6.834646433333333
Matt LeBlanc,3,nan,105100000,92.0,15.2,nan,5.066666666666666,nan
Victoria Foyt,1,1086181.0,80000000,nan,6.8,1086181.0,6.8,6.82172362
Vanessa Redgrave,6,98871215.0,191500000,nan,40.4,16478535.833333334,6.733333333333333,7.06290405
Shirley MacLaine,5,125887759.0,191000000,228.0,29.8,25177551.8,5.96,6.463551036
Yancey Arias,1,56832494.0,80000000,42.0,6.0,56832494.0,6.0,7.13664988
Mark Addy,5,202281399.0,217500000,221.0,28.900000000000002,40456279.8,5.78,6.589125596000001
Annabella Sciorra,3,nan,93100000,nan,18.1,nan,6.033333333333334,nan
Ruth Negga,3,nan,99000000,244.0,20.2,nan,6.733333333333333,nan
Rufus Sewell,7,237431458.0,313500000,300.0,41.6,33918779.71428572,5.942857142857143,6.621232737142858
Madeleine Yuna Voyles,1,39600241.0,80000000,nan,7.1,39600241.0,7.1,7.8920048199999995
Patricia Arquette,6,158644504.0,167500000,378.0,40.800000000000004,26440750.666666668,6.800000000000001,7.328815013333334
Harvey Keitel,12,247746700.0,261100000,nan,77.8,20645558.333333332,6.483333333333333,6.8962445
Radha Mitchell,9,nan,224000000,nan,54.4,nan,6.044444444444444,nan
David Duchovny,10,nan,266000000,nan,62.1,nan,6.21,nan
Orlando Jones,4,130096654.0,149000000,149.0,22.4,32524163.5,5.6,6.250483269999999
Monica Bellucci,5,466044703.0,224400000,246.0,33.6,93208940.6,6.720000000000001,8.584178812000001
Kiefer Sutherland,16,nan,519900000,823.0,101.8,nan,6.3625,nan
Jim Belushi,2,38884046.0,84500000,116.0,12.600000000000001,19442023.0,6.300000000000001,6.688840460000001
Eddie Izzard,3,46828254.0,155000000,114.0,15.900000000000002,15609418.0,5.300000000000001,5.612188360000001
Charlie Rowe,1,36076121.0,80000000,37.0,5.2,36076121.0,5.2,5.9215224200000005
Angourie Rice,3,78439960.0,134900000,159.0,19.0,26146653.333333332,6.333333333333333,6.8562664
Shawn Driscoll,1,34592089.0,80000000,67.0,7.3,34592089.0,7.3,7.99184178
Amy Brenneman,1,33023469.0,80000000,47.0,5.9,33023469.0,5.9,6.560469380000001
Rose Leslie,2,31282911.0,88000000,82.0,11.7,15641455.5,5.85,6.16282911
Kit Harington,2,25041998.0,90000000,117.0,12.7,12520999.0,6.35,6.60041998
Emily Browning,5,63361318.0,207000000,nan,30.499999999999996,12672263.6,6.1,6.353445272
Jenna Elfman,3,80471141.0,169000000,172.0,18.299999999999997,26823713.666666668,6.099999999999999,6.636474273333332
Jacques Perrin,2,31111372.0,108000000,157.0,15.600000000000001,15555686.0,7.800000000000001,8.11111372
Pedro Armendáriz Jr.,2,nan,82400000,nan,14.5,nan,7.25,nan
Magda Szubanski,3,110421344.0,122500000,201.0,18.1,36807114.666666664,6.033333333333334,6.769475626666667
Elizabeth Daily,4,236369635.0,145000000,239.0,24.799999999999997,59092408.75,6.199999999999999,7.381848174999999
Mickey Rooney,1,18319860.0,80000000,68.0,5.8,18319860.0,5.8,6.1663972
Will Patton,4,176025256.0,150000000,nan,25.199999999999996,44006314.0,6.299999999999999,7.180126279999999
Larenz Tate,5,93634444.0,137500000,nan,33.2,18726888.8,6.640000000000001,7.014537776000001
Jeremy Northam,4,70452160.0,120700000,203.0,24.8,17613040.0,6.2,6.5522608
Edward Burns,10,102489478.0,206559000,nan,57.8,10248947.8,5.779999999999999,5.984978955999999
Himesh Patel,1,nan,80000000,60.0,6.6,nan,6.6,nan
Katie Holmes,10,nan,222700000,nan,54.2,nan,5.42,nan
Will Forte,5,nan,118500000,nan,28.500000000000004,nan,5.700000000000001,nan
Omar Sharif,1,67303450.0,78000000,54.0,6.7,67303450.0,6.7,8.046069
Zuleikha Robinson,1,67303450.0,78000000,54.0,6.7,67303450.0,6.7,8.046069
Sean Connery,13,973665757.0,601000000,726.0,88.7,74897365.92307693,6.823076923076924,8.321024241538462
Stuart Townsend,3,97177265.0,117000000,107.0,17.6,32392421.666666668,5.866666666666667,6.514515100000001
Peta Wilson,1,66465204.0,78000000,30.0,5.8,66465204.0,5.8,7.12930408
Stellan Skarsgård,5,64707119.0,132000000,264.0,32.0,12941423.8,6.4,6.658828476
Izabella Scorupco,3,191313909.0,198000000,134.0,18.5,63771303.0,6.166666666666667,7.442092726666667
James D'Arcy,1,41821986.0,78000000,30.0,5.1,41821986.0,5.1,5.936439719999999
Lou Diamond Phillips,7,207936383.0,163750000,345.0,41.300000000000004,29705197.57142857,5.9,6.494103951428571
Jami Gertz,1,9015164.0,77500000,42.0,5.4,9015164.0,5.4,5.580303280000001
Pedro Pascal,2,122384519.0,107000000,118.0,13.7,61192259.5,6.85,8.07384519
Ashton Sanders,2,108042677.0,102000000,104.0,12.7,54021338.5,6.35,7.4304267699999995
Cole Hauser,6,nan,230000000,nan,35.6,nan,5.933333333333334,nan
Piper Perabo,7,nan,219700000,nan,37.3,nan,5.328571428571428,nan
Louis C.K.,1,368384330.0,75000000,61.0,6.5,368384330.0,6.5,13.867686599999999
Eric Stonestreet,1,368384330.0,75000000,61.0,6.5,368384330.0,6.5,13.867686599999999
Matthew Morrison,2,nan,112500000,nan,9.5,nan,4.75,nan
Denis O'Hare,1,nan,75000000,nan,3.8,nan,3.8,nan
Booboo Stewart,1,nan,75000000,nan,3.8,nan,3.8,nan
Seth MacFarlane,5,884588022.0,233084000,272.0,33.5,176917604.4,6.7,10.238352088000001
Trey Parker,4,350050279.0,117000000,234.0,27.200000000000003,87512569.75,6.800000000000001,8.550251395
Pete Postlethwaite,2,229152427.0,79000000,nan,12.4,114576213.5,6.2,8.49152427
Jonathan Majors,3,166722649.0,103000000,210.0,20.1,55574216.333333336,6.7,7.811484326666667
Carrie Coon,1,129360575.0,75000000,45.0,7.1,129360575.0,7.1,9.6872115
Finn Wolfhard,3,473708331.0,122000000,149.0,18.299999999999997,157902777.0,6.099999999999999,9.258055539999999
Queen Latifah,12,668383040.0,334500000,660.0,75.4,55698586.666666664,6.283333333333334,7.397305066666667
Nikki Blonsky,1,118946291.0,75000000,81.0,6.7,118946291.0,6.7,9.07892582
Common,5,155362672.0,189000000,252.0,32.5,31072534.4,6.5,7.1214506879999995
Bronte Carmichael,1,99215042.0,75000000,60.0,7.2,99215042.0,7.2,9.18430084
Rupert Everett,6,nan,150100000,291.0,34.6,nan,5.766666666666667,nan
Joely Fisher,1,97403112.0,75000000,36.0,4.2,97403112.0,4.2,6.14806224
John Hurt,10,nan,242430000,nan,65.89999999999999,nan,6.589999999999999,nan
Chi McBride,3,92968587.0,86500000,152.0,20.4,30989529.0,6.8,7.41979058
Matt Smith,4,nan,133000000,190.0,24.2,nan,6.05,nan
Adria Arjona,2,84032350.0,80000000,79.0,11.3,42016175.0,5.65,6.490323500000001
Mitchel Musso,1,73661010.0,75000000,68.0,6.6,73661010.0,6.6,8.0732202
Sam Lerner,1,73661010.0,75000000,68.0,6.6,73661010.0,6.6,8.0732202
Spencer Locke,2,nan,85000000,113.0,12.2,nan,6.1,nan
Scott Glenn,7,460181215.0,242000000,nan,49.5,65740173.571428575,7.071428571428571,8.386232042857143
Philip Seymour Hoffman,15,259691706.0,301000000,1086.0,107.69999999999999,17312780.4,7.179999999999999,7.526255607999999
Chloe Bennet,1,61270390.0,75000000,61.0,7.0,61270390.0,7.0,8.2254078
Albert Tsai,1,61270390.0,75000000,61.0,7.0,61270390.0,7.0,8.2254078
Tenzing Norgay Trainor,1,61270390.0,75000000,61.0,7.0,61270390.0,7.0,8.2254078
Uma Thurman,9,nan,273000000,451.0,55.199999999999996,nan,6.133333333333333,nan
Lady Gaga,2,269142696.0,111000000,147.0,14.2,134571348.0,7.1,9.791426959999999
Marie-Josée Croze,1,47403685.0,75000000,74.0,7.5,47403685.0,7.5,8.4480737
Katherine Heigl,10,518297986.0,338000000,408.0,58.00000000000001,51829798.6,5.800000000000001,6.8365959720000005
Tom Selleck,5,148934953.0,145250000,nan,29.700000000000003,29786990.6,5.94,6.535739812
Paz Vega,2,87546221.0,125000000,74.0,12.5,43773110.5,6.25,7.12546221
Chow Yun-Fat,7,235916627.0,232000000,382.0,41.7,33702375.28571428,5.957142857142857,6.631190362857143
Bai Ling,1,39263420.0,75000000,56.0,6.7,39263420.0,6.7,7.4852684
Richard Gere,18,nan,614000000,nan,113.6,nan,6.311111111111111,nan
Julia Ormond,3,40000687.0,113500000,133.0,18.6,13333562.333333334,6.2,6.4666712466666665
Kevin Pollak,3,34919746.0,77300000,130.0,19.4,11639915.333333334,6.466666666666666,6.699464973333333
Serena Scott Thomas,1,34639939.0,75000000,44.0,6.5,34639939.0,6.5,7.19279878
Isaiah Washington,5,156091900.0,155000000,247.0,29.6,31218380.0,5.92,6.5443676
Miranda Otto,3,142176671.0,155000000,139.0,17.7,47392223.666666664,5.8999999999999995,6.847844473333333
Jason Scott Lee,2,14899296.0,95000000,nan,12.4,7449648.0,6.2,6.34899296
Bingbing Fan,1,14570455.0,75000000,40.0,5.6,14570455.0,5.6,5.8914091
Donald Sutherland,16,nan,629200000,nan,98.50000000000001,nan,6.156250000000001,nan
William Baldwin,1,14036005.0,75000000,19.0,5.0,14036005.0,5.0,5.2807201
Bridget Fonda,5,110684014.0,184000000,276.0,30.9,22136802.8,6.18,6.622736056
Jim Gaffigan,2,1127240.0,75500000,62.0,10.9,563620.0,5.45,5.4612724
Gabriel Bateman,5,nan,119500000,229.0,29.8,nan,5.96,nan
Jasmine Mathews,1,nan,75000000,34.0,5.8,nan,5.8,nan
Jon Hamm,7,nan,245000000,408.0,46.5,nan,6.642857142857143,nan
Tom Kenny,1,162994032.0,74000000,62.0,6.0,162994032.0,6.0,9.25988064
Bill Fagerbakke,2,167804822.0,134000000,127.0,11.9,83902411.0,5.95,7.62804822
Sacha Baron Cohen,6,nan,268000000,387.0,40.199999999999996,nan,6.699999999999999,nan
John Heard,3,64897809.0,109250000,nan,18.6,21632603.0,6.2,6.63265206
Dan Castellaneta,1,183135014.0,72500000,80.0,7.3,183135014.0,7.3,10.96270028
Julie Kavner,2,235231489.0,101500000,154.0,15.1,117615744.5,7.55,9.90231489
Nancy Cartwright,1,183135014.0,72500000,80.0,7.3,183135014.0,7.3,10.96270028
Kate Hudson,16,561985474.0,544000000,nan,98.59999999999998,35124092.125,6.162499999999999,6.864981842499999
Leslie Mann,11,557869239.0,400500000,565.0,66.3,50715385.36363637,6.027272727272727,7.0415804345454545
Cedric The Entertainer,9,364989650.0,171500000,443.0,47.8,40554405.55555555,5.311111111111111,6.122199222222222
Kristen Wilson,1,112952899.0,72000000,49.0,4.7,112952899.0,4.7,6.959057980000001
Patrick McGoohan,1,75609945.0,72000000,68.0,8.3,75609945.0,8.3,9.8121989
Kip Pardue,2,33789383.0,81000000,58.0,8.8,16894691.5,4.4,4.73789383
Til Schweiger,1,32720065.0,72000000,29.0,4.6,32720065.0,4.6,5.2544013
Martin Landau,5,nan,120850000,nan,34.6,nan,6.92,nan
Bob Balaban,1,27807266.0,72000000,27.0,6.9,27807266.0,6.9,7.45614532
Jean-Claude Dreyfus,1,19176754.0,72000000,63.0,7.0,19176754.0,7.0,7.38353508
Peter Boyle,1,144156605.0,71500000,46.0,5.4,144156605.0,5.4,8.2831321
Ossie Davis,5,nan,81900000,nan,32.800000000000004,nan,6.5600000000000005,nan
Rory Culkin,4,236459575.0,82002619,225.0,26.700000000000003,59114893.75,6.675000000000001,7.857297875
Bonnie Hunt,5,565963207.0,236500000,252.0,31.800000000000004,113192641.4,6.360000000000001,8.623852828
Paul Newman,6,445542723.0,185000000,405.0,42.6,74257120.5,7.1000000000000005,8.58514241
David Cross,3,274413038.0,113000000,nan,16.6,91471012.66666667,5.533333333333334,7.362753586666668
