Actor,Instances,Total_Box_Office,Total_Production_Budget,Total_Metascore,Total_IMDB_Rating,Average_Box_Office,Average_IMDB_Rating,Success_Metric
Tilda Swinton,10,243711041.0,388100000,676.0,68.5,24371104.1,6.85,7.337422082
Nicolas Cage,44,nan,2314203077,2171.0,269.1000000000001,nan,6.115909090909093,nan
Richard Dreyfuss,5,189936224.0,255000000,233.0,30.0,37987244.8,6.0,6.759744896
Kurt Russell,21,nan,1010000000,nan,143.7,nan,6.8428571428571425,nan
Emmy Rossum,3,298709547.0,340000000,137.0,19.4,99569849.0,6.466666666666666,8.458063646666666
Travis Fimmel,2,48528346.0,168000000,112.0,13.9,24264173.0,6.95,7.43528346
Paula Patton,9,269219999.0,313500000,388.0,53.1,29913333.222222224,5.9,6.4982666644444445
Ben Foster,11,nan,520000000,652.0,74.4,nan,6.763636363636365,nan
Al Pacino,22,nan,956500000,1272.0,144.8,nan,6.581818181818182,nan
Joe Pesci,11,nan,503000000,655.0,79.2,nan,7.2,nan
LaKeith Stanfield,5,nan,241950000,nan,31.1,nan,6.220000000000001,nan
Rosario Dawson,16,737396802.0,840700000,nan,101.30000000000001,46087300.125,6.331250000000001,7.252996002500001
Douglas M. Griffin,1,61433527.0,156000000,68.0,7.1,61433527.0,7.1,8.32867054
Rebecca Hall,9,333870817.0,335900000,595.0,60.5,37096757.44444445,6.722222222222222,7.464157371111112
Jason Clarke,4,nan,290000000,271.0,28.1,nan,7.025,nan
John Boyega,4,98186683.0,226000000,239.0,24.9,24546670.75,6.225,6.715933414999999
Scott Eastwood,6,nan,227000000,nan,33.8,nan,5.633333333333333,nan
Cailee Spaeny,1,59874525.0,155000000,44.0,5.6,59874525.0,5.6,6.797490499999999
Colin Farrell,25,nan,1014500000,1439.0,163.89999999999998,nan,6.555999999999999,nan
Steve Zahn,12,nan,476700000,nan,76.19999999999999,nan,6.349999999999999,nan
Josh Hartnett,14,nan,580900000,nan,88.4,nan,6.314285714285715,nan
Issa Rae,3,nan,182000000,201.0,19.2,nan,6.3999999999999995,nan
Kristen Bell,11,1324089879.0,548500000,nan,67.80000000000001,120371807.18181819,6.163636363636365,8.571072507272728
Idina Menzel,2,878326587.0,300000000,139.0,14.2,439163293.5,7.1,15.883265869999999
Josh Gad,10,nan,497000000,482.0,64.5,nan,6.45,nan
Robin Wright,10,1026918123.0,428743106,643.0,71.3,102691812.3,7.13,9.183836246
Jonathan Groff,2,436350989.0,170000000,138.0,13.5,218175494.5,6.75,11.11350989
Ginnifer Goodwin,4,593787792.0,254000000,233.0,28.0,148446948.0,7.0,9.96893896
Jason Bateman,15,1212964308.0,618500000,782.0,95.19999999999999,80864287.2,6.346666666666666,7.963952410666666
Laurence Fishburne,15,1058436664.0,761500000,nan,102.39999999999999,70562444.26666667,6.826666666666666,8.237915552
Alice Braga,2,270187845.0,182000000,97.0,13.5,135093922.5,6.75,9.45187845
Charlie Tahan,2,287555555.0,194000000,102.0,13.600000000000001,143777777.5,6.800000000000001,9.67555555
Auli'i Cravalho,1,248757044.0,150000000,81.0,7.6,248757044.0,7.6,12.57514088
Rachel House,1,248757044.0,150000000,81.0,7.6,248757044.0,7.6,12.57514088
Simu Liu,1,224543292.0,150000000,71.0,7.4,224543292.0,7.4,11.89086584
Awkwafina,5,nan,379203077,nan,35.2,nan,7.040000000000001,nan
Tony Leung Chiu-wai,4,280324946.0,244000000,307.0,30.0,70081236.5,7.5,8.90162473
Freddie Highmore,6,349476353.0,408500000,324.0,40.3,58246058.833333336,6.716666666666666,7.881587843333333
David Kelly,3,231344097.0,157500000,188.0,20.400000000000002,77114699.0,6.800000000000001,8.34229398
Brad Garrett,1,206445654.0,150000000,96.0,8.1,206445654.0,8.1,12.22891308
Lou Romano,1,206445654.0,150000000,96.0,8.1,206445654.0,8.1,12.22891308
Patton Oswalt,4,414948441.0,264000000,288.0,27.3,103737110.25,6.825,8.899742205
Ken Watanabe,4,389237332.0,388000000,268.0,31.1,97309333.0,7.775,9.72118666
Jeremy Renner,14,1046095023.0,767000000,921.0,97.0,74721073.07142857,6.928571428571429,8.42299289
Fionn Whitehead,2,190837732.0,150027000,169.0,14.6,95418866.0,7.3,9.20837732
Barry Keoghan,1,189740665.0,150000000,94.0,7.8,189740665.0,7.8,11.5948133
Mark Rylance,3,317538189.0,330000000,241.0,21.7,105846063.0,7.233333333333333,9.350254593333332
Ben Stiller,26,2663556082.0,1704000000,nan,164.3,102444464.6923077,6.31923076923077,8.368120063076924
Chris Rock,14,1117423334.0,810700000,685.0,83.6,79815952.42857143,5.971428571428571,7.56774762
David Schwimmer,4,453602153.0,313000000,nan,24.4,113400538.25,6.1,8.368010765
Liev Schreiber,8,423317605.0,461500000,447.0,52.4,52914700.625,6.55,7.6082940125
Justice Smith,2,150276644.0,154900000,105.0,12.9,75138322.0,6.45,7.95276644
Kathryn Newton,2,153205423.0,156000000,120.0,12.8,76602711.5,6.4,7.93205423
Tye Sheridan,5,166531792.0,208000000,290.0,33.3,33306358.4,6.659999999999999,7.326127167999999
Olivia Cooke,7,nan,177450000,441.0,45.9,nan,6.557142857142857,nan
Zach Braff,4,167506865.0,159500000,209.0,26.6,41876716.25,6.65,7.487534325
Garry Marshall,2,139725906.0,155000000,105.0,11.100000000000001,69862953.0,5.550000000000001,6.94725906
Michelle Monaghan,12,599753286.0,599500000,606.0,79.3,49979440.5,6.608333333333333,7.607922143333333
Ayelet Zurer,1,133375846.0,150000000,48.0,6.7,133375846.0,6.7,9.36751692
Eric Bana,9,479850520.0,562000000,487.0,59.300000000000004,53316724.44444445,6.5888888888888895,7.655223377777778
Noah Ringer,1,131772187.0,150000000,20.0,4.0,131772187.0,4.0,6.6354437399999995
Jackson Rathbone,1,131772187.0,150000000,20.0,4.0,131772187.0,4.0,6.6354437399999995
Jerry Seinfeld,1,126631277.0,150000000,54.0,6.1,126631277.0,6.1,8.63262554
Renée Zellweger,20,1173557356.0,874500000,1122.0,131.2,58677867.8,6.56,7.7335573559999995
Will Arnett,11,981800894.0,692000000,446.0,62.8,89254626.72727273,5.709090909090909,7.494183443636364
Zach Galifianakis,10,1068924788.0,646000000,555.0,65.0,106892478.8,6.5,8.637849576
John Travolta,24,nan,1326000000,nan,150.10000000000002,nan,6.254166666666667,nan
Miley Cyrus,5,nan,224000000,nan,23.5,nan,4.7,nan
Susie Essman,1,114053579.0,150000000,67.0,6.8,114053579.0,6.8,9.08107158
Stephanie Beatriz,1,96093622.0,150000000,75.0,7.2,96093622.0,7.2,9.12187244
María Cecilia Botero,1,96093622.0,150000000,75.0,7.2,96093622.0,7.2,9.12187244
John Leguizamo,20,nan,1017000000,nan,119.9,nan,5.995,nan
Regé-Jean Page,1,93277026.0,150000000,72.0,7.3,93277026.0,7.3,9.16554052
Rosamund Pike,9,563527229.0,668000000,495.0,59.5,62614136.55555555,6.611111111111111,7.863393842222222
Ray Winstone,9,nan,263240000,nan,52.8,nan,5.866666666666666,nan
Crispin Glover,5,nan,207900000,nan,32.0,nan,6.4,nan
Michelle Pfeiffer,19,1015715153.0,847200000,nan,129.99999999999997,53458692.2631579,6.842105263157893,7.91127910842105
Eva Green,8,nan,621000000,495.0,55.3,nan,6.9125,nan
Maggie Gyllenhaal,6,nan,185900000,381.0,40.1,nan,6.683333333333334,nan
LeBron James,1,70592228.0,150000000,36.0,4.5,70592228.0,4.5,5.9118445600000005
Don Cheadle,13,533749311.0,445403082,765.0,88.9,41057639.307692304,6.838461538461539,7.659614324615385
Cedric Joe,1,70592228.0,150000000,36.0,4.5,70592228.0,4.5,5.9118445600000005
Benicio Del Toro,12,376554833.0,446500000,727.0,83.2,31379569.416666668,6.933333333333334,7.560924721666667
Matt Damon,41,3283337716.0,2494200000,2659.0,288.50000000000006,80081407.70731707,7.03658536585366,8.63821352
Tian Jing,1,45540830.0,150000000,42.0,5.9,45540830.0,5.9,6.810816600000001
Levi Miller,1,35088320.0,150000000,36.0,5.7,35088320.0,5.7,6.4017664000000005
Seth Green,7,350107425.0,299200000,254.0,41.300000000000004,50015346.428571425,5.9,6.900306928571429
John Bradley,1,19060660.0,150000000,41.0,5.1,19060660.0,5.1,5.4812132
Mélanie Laurent,5,nan,201200000,258.0,30.5,nan,6.1,nan
Manuel Garcia-Rulfo,1,nan,150000000,41.0,6.1,nan,6.1,nan
Jada Pinkett Smith,11,701577079.0,369000000,nan,69.4,63779734.45454545,6.3090909090909095,7.584685598181819
Simon Pegg,9,785905774.0,484000000,606.0,65.1,87322863.77777778,7.2333333333333325,8.979790608888887
Tony Goldwyn,5,281367349.0,247087000,256.0,32.3,56273469.8,6.459999999999999,7.585469395999999
Minnie Driver,7,247851154.0,221000000,425.0,46.0,35407307.71428572,6.571428571428571,7.279574725714285
Brian Blessed,1,171091819.0,145000000,79.0,7.3,171091819.0,7.3,10.72183638
Ty Burrell,3,162912745.0,216800000,170.0,19.5,54304248.333333336,6.5,7.586084966666666
Max Charles,1,111506430.0,145000000,59.0,6.8,111506430.0,6.8,9.0301286
Alec Baldwin,22,1112652511.0,1111000000,nan,144.1,50575114.13636363,6.55,7.561502282727273
Isla Fisher,7,283672562.0,399000000,nan,44.1,40524651.71428572,6.3,7.110493034285714
Dan Aykroyd,16,1050853558.0,578400000,866.0,103.5,65678347.375,6.46875,7.7823169475
Bruce Willis,42,nan,2231243106,nan,268.8,nan,6.4,nan
Billy Bob Thornton,18,602859595.0,624833610,994.0,116.0,33492199.722222224,6.444444444444445,7.114288438888889
Hugo Weaving,5,318809365.0,400000000,267.0,33.3,63761873.0,6.659999999999999,7.93523746
Dustin Hoffman,14,898716249.0,667700000,834.0,94.29999999999998,64194017.78571428,6.735714285714285,8.01959464142857
Mel Gibson,26,nan,1112902619,nan,175.4,nan,6.746153846153846,nan
Danny Glover,13,622908017.0,422200000,nan,87.39999999999999,47916001.307692304,6.723076923076922,7.681396949230768
Adrianne Palicki,1,122523060.0,140000000,41.0,5.7,122523060.0,5.7,8.1504612
Jim Carrey,21,2368649515.0,1251000000,nan,140.5,112792834.04761904,6.690476190476191,8.946332871428572
Téa Leoni,11,586354957.0,517000000,568.0,70.0,53304996.09090909,6.363636363636363,7.4297362854545455
Ruby Barnhill,1,55483770.0,140000000,66.0,6.3,55483770.0,6.3,7.409675399999999
Penelope Wilton,3,86584027.0,151100000,182.0,20.2,28861342.333333332,6.733333333333333,7.31056018
Mary Elizabeth Winstead,5,212219963.0,268000000,288.0,33.1,42443992.6,6.62,7.468879852000001
Brenton Thwaites,5,105140876.0,174050000,241.0,30.3,21028175.2,6.0600000000000005,6.480563504000001
Nikolaj Coster-Waldau,2,102781644.0,155000000,82.0,11.600000000000001,51390822.0,5.800000000000001,6.827816440000001
Lou Ferrigno,1,nan,140000000,nan,3.5,nan,3.5,nan
Shari Shattuck,1,nan,140000000,nan,3.5,nan,3.5,nan
Walter Abbot,1,nan,140000000,nan,3.5,nan,3.5,nan
Jackie Earle Haley,2,108755940.0,145000000,107.0,12.5,54377970.0,6.25,7.3375594
